0,1,2,3,4,5,6
56,137,504,555,1.0,46,280003
113,4318,14805,25562,1.0,3405,410003
161,635,2210,2611,1.0,222,610003
17,26,72,80,1.0,10,50003
17,26,72,80,1.0,10,50003
16,108,303,405,1.0,65,110003
32,375,1082,1646,1.0,260,160003
19,134,346,491,1.0,83,140003
27,229,654,946,1.0,159,160003
54,467,1553,2295,1.0,446,260003
395,8272,30960,48651,1.0,9049,790003
143,3213,11224,17747,1.0,3360,370003
40,554,1599,2487,1.0,383,220003
17,26,72,80,1.0,10,50003
328,10472,40144,63444,1.0,12671,780003
20,50,133,174,1.0,28,80003
185,7058,24857,41843,1.0,5349,570003
192,5665,20720,33750,1.0,5708,500003
58,848,2340,3614,1.0,509,420003
40,103,373,405,1.0,61,210003
84,274,966,1082,1.0,135,400003
38,99,394,420,1.0,40,260003
65,2236,6662,11114,1.0,1600,440003
17,26,72,80,1.0,10,50003
56,147,518,558,1.0,49,280003
20,50,133,174,1.0,28,80003
36,347,885,1306,1.0,211,310003
17,26,72,80,1.0,10,50003
17,26,72,80,1.0,10,50003
21,109,289,426,1.0,65,110003
20,50,133,174,1.0,28,80003
19,103,317,412,1.0,52,90003
584,16145,59686,98215,1.0,19030,1100003
110,246,816,957,1.0,88,370003
74,940,3272,4969,1.0,928,300003
100,3078,10838,18042,1.0,2363,380003
43,132,480,537,1.0,69,220003
25,186,486,732,1.0,101,150003
20,50,133,174,1.0,28,80003
148,212,670,785,1.0,35,430003
17,26,72,80,1.0,10,50003
177,268,821,963,1.0,61,500003
28,284,839,1303,1.0,205,120003
71,929,3097,4725,1.0,755,310003
17,26,72,80,1.0,10,50003
70,1197,3982,6214,1.0,992,260003
42,630,1808,2849,1.0,474,220003
32,393,1130,1816,1.0,293,140003
17,26,72,80,1.0,10,50003
85,134,454,511,1.0,38,320003
17,26,72,80,1.0,10,50003
18,123,342,464,1.0,69,130003
40,122,497,540,1.0,48,280003
42,337,1176,1588,1.0,229,220003
17,26,72,80,1.0,10,50003
17,26,72,80,1.0,10,50003
24,70,179,242,1.0,45,100003
50,114,387,430,1.0,58,230003
20,50,133,174,1.0,28,80003
17,26,72,80,1.0,10,50003
74,823,2738,4141,1.0,828,300003
90,2483,7979,13102,1.0,1919,380003
17,26,72,80,1.0,10,50003
17,26,72,80,1.0,10,50003
241,8360,30236,49549,1.0,6802,630003
17,26,72,80,1.0,10,50003
17,26,72,80,1.0,10,50003
20,50,133,174,1.0,28,80003
17,26,72,80,1.0,10,50003
17,26,72,80,1.0,10,50003
64,142,502,556,1.0,73,290003
20,50,133,174,1.0,28,80003
20,50,133,174,1.0,28,80003
17,26,72,80,1.0,10,50003
17,26,72,80,1.0,10,50003
74,1074,3710,5757,1.0,979,300003
28,93,235,333,1.0,60,120003
31,281,769,1142,1.0,190,200003
17,26,72,80,1.0,10,50003
30,354,1059,1591,1.0,259,140003
689,12253,45215,71817,1.0,13525,1170003
17,26,72,80,1.0,10,50003
20,50,133,174,1.0,28,80003
39,394,1004,1471,1.0,243,340003
178,5148,18226,30221,1.0,4737,500003
127,227,768,882,1.0,97,480003
56,144,490,537,1.0,44,230003
144,2083,6668,10764,1.0,1930,500003
17,26,72,80,1.0,10,50003
581,5395,19007,30187,1.0,4514,910003
29,264,673,986,1.0,164,240003
20,50,133,174,1.0,28,80003
23,177,513,756,1.0,133,120003
