0,1,2,3,4,5,6
25,197,623,767,1.0,67,170004
48,891,2404,3343,1.0,74,400004
25,332,949,1238,1.0,76,170004
27,347,967,1301,1.0,78,190004
70,462,1661,1909,1.0,84,620004
40,607,1585,2223,1.0,118,320004
29,494,1348,1931,1.0,77,210004
22,143,477,577,1.0,68,140004
15,42,124,134,1.0,9,80004
27,347,967,1301,1.0,78,190004
60,1701,4475,7127,1.0,76,520004
39,303,1008,1236,1.0,67,310004
22,278,777,1067,1.0,74,140004
51,538,1653,2161,1.0,66,430004
29,424,1142,1616,1.0,86,210004
22,330,881,1306,1.0,92,140004
28,403,1107,1533,1.0,81,200004
27,195,675,796,1.0,66,190004
22,164,539,657,1.0,67,140004
20,214,623,794,1.0,75,120004
31,476,1315,1847,1.0,79,230004
14,133,390,552,1.0,70,60004
23,300,870,1122,1.0,85,150004
22,235,653,869,1.0,68,140004
35,282,955,1176,1.0,85,270004
28,296,920,1098,1.0,75,200004
34,165,600,678,1.0,30,260004
39,324,1085,1388,1.0,105,310004
21,209,626,769,1.0,67,130004
27,164,573,690,1.0,66,190004
22,244,729,943,1.0,83,140004
27,380,1080,1402,1.0,70,190004
17,130,368,458,1.0,39,90004
15,102,297,342,1.0,58,80004
21,156,510,652,1.0,66,130004
18,130,373,431,1.0,70,110004
21,209,626,769,1.0,67,130004
23,233,659,850,1.0,70,150004
18,207,579,817,1.0,87,100004
19,151,468,620,1.0,102,110004
25,166,546,673,1.0,67,170004
23,300,870,1122,1.0,85,150004
14,71,222,252,1.0,31,60004
35,259,893,1042,1.0,67,270004
15,99,307,398,1.0,67,70004
22,143,477,577,1.0,68,140004
34,233,798,925,1.0,67,260004
15,55,178,211,1.0,30,70004
32,227,767,898,1.0,66,240004
48,404,1279,1587,1.0,66,400004
26,252,779,1070,1.0,66,180004
31,477,1330,1869,1.0,90,230004
17,153,441,587,1.0,66,90004
22,235,653,869,1.0,68,140004
32,251,847,1039,1.0,67,240004
18,187,569,720,1.0,70,100004
19,199,542,718,1.0,55,110004
50,813,2172,3010,1.0,106,420004
98,2694,6807,11004,1.0,95,900004
17,104,329,420,1.0,67,90004
58,1062,3016,4148,1.0,71,500004
22,227,645,838,1.0,81,140004
18,164,486,642,1.0,86,100004
15,42,124,134,1.0,9,80004
31,451,1206,1653,1.0,50,230004
34,285,966,1185,1.0,67,260004
24,223,707,950,1.0,67,160004
22,331,924,1292,1.0,77,140004
36,427,1239,1678,1.0,66,280004
20,76,257,291,1.0,30,120004
14,37,108,116,1.0,7,70004
54,411,1457,1657,1.0,66,460004
16,106,305,351,1.0,55,90004
19,172,476,597,1.0,33,110004
38,291,981,1131,1.0,67,300004
16,57,192,221,1.0,30,80004
21,194,600,819,1.0,138,130004
29,467,1316,1769,1.0,71,210004
22,279,821,1070,1.0,68,140004
11,25,72,77,1.0,7,40004
14,37,108,116,1.0,7,70004
20,250,731,976,1.0,66,120004
16,57,192,221,1.0,30,80004
24,436,1174,1778,1.0,77,160004
32,468,1313,1810,1.0,80,240004
24,315,912,1191,1.0,96,160004
22,278,773,1055,1.0,74,140004
40,340,1146,1410,1.0,85,320004
14,37,108,116,1.0,7,70004
30,438,1192,1778,1.0,109,220004
31,469,1307,1762,1.0,77,230004
17,104,329,420,1.0,67,90004
20,232,661,871,1.0,75,120004
15,99,307,398,1.0,67,70004
16,104,339,431,1.0,66,80004
18,79,232,259,1.0,27,110004
13,73,214,249,1.0,44,60004
19,132,376,460,1.0,32,110004
14,37,108,116,1.0,7,70004
21,225,640,855,1.0,66,130004
22,206,560,731,1.0,69,140004
34,741,2066,3189,1.0,257,260004
30,603,1648,2471,1.0,75,220004
18,162,503,673,1.0,76,100004
22,259,749,999,1.0,66,140004
15,99,307,398,1.0,67,70004
14,37,108,116,1.0,7,70004
30,228,766,947,1.0,69,220004
19,172,476,597,1.0,33,110004
17,71,238,277,1.0,30,90004
15,99,307,398,1.0,67,70004
18,187,569,720,1.0,70,100004
15,99,307,398,1.0,67,70004
28,429,1164,1664,1.0,88,200004
17,165,497,658,1.0,69,90004
21,89,317,356,1.0,30,130004
37,271,923,1091,1.0,67,290004
16,134,376,485,1.0,37,80004
124,3452,9066,13891,1.0,74,1160004
16,104,339,431,1.0,66,80004
16,110,351,462,1.0,84,80004
20,214,623,794,1.0,75,120004
14,37,108,116,1.0,7,70004
44,278,894,1118,1.0,112,360004
20,129,430,528,1.0,67,120004
16,134,376,485,1.0,37,80004
22,168,539,684,1.0,66,140004
38,313,1057,1273,1.0,124,300004
19,193,580,777,1.0,123,110004
67,591,1859,2240,1.0,66,590004
15,70,233,266,1.0,31,70004
28,224,744,928,1.0,30,200004
14,133,390,552,1.0,70,60004
131,2504,6832,8921,1.0,98,1230004
31,626,1728,2794,1.0,337,230004
20,209,594,775,1.0,77,120004
13,73,214,249,1.0,44,60004
17,104,329,420,1.0,67,90004
20,214,623,794,1.0,75,120004
28,229,755,939,1.0,66,200004
15,99,307,398,1.0,67,70004
21,221,600,783,1.0,55,130004
19,207,579,808,1.0,85,110004
18,144,432,528,1.0,33,100004
19,132,423,531,1.0,30,110004
12,58,168,191,1.0,35,50004
17,153,441,587,1.0,66,90004
23,165,542,681,1.0,67,150004
26,419,1143,1632,1.0,79,180004
21,228,671,862,1.0,68,130004
34,527,1455,1961,1.0,36,260004
40,714,1949,2650,1.0,73,320004
22,279,821,1070,1.0,68,140004
15,99,307,398,1.0,67,70004
37,633,1704,2401,1.0,81,290004
39,651,1777,2508,1.0,75,310004
42,1055,2683,4470,1.0,115,340004
15,99,307,398,1.0,67,70004
16,104,339,431,1.0,66,80004
23,275,780,1020,1.0,71,150004
51,1453,3639,6177,1.0,75,430004
20,85,292,341,1.0,30,120004
84,1936,5091,7747,1.0,86,760004
21,329,932,1434,1.0,141,130004
33,467,1367,1983,1.0,75,250004
23,414,1102,1697,1.0,79,150004
19,303,840,1259,1.0,73,110004
29,223,748,901,1.0,66,210004
22,145,471,584,1.0,69,140004
23,196,562,718,1.0,69,150004
13,73,214,249,1.0,44,60004
19,258,725,1013,1.0,71,110004
15,42,124,134,1.0,9,80004
34,256,870,1069,1.0,66,260004
24,357,1012,1378,1.0,72,160004
17,134,372,478,1.0,45,90004
14,37,108,116,1.0,7,70004
33,549,1465,2050,1.0,71,250004
60,1765,4526,7426,1.0,79,520004
15,99,307,398,1.0,67,70004
28,134,491,543,1.0,30,200004
29,384,1150,1517,1.0,180,210004
68,612,2111,2545,1.0,67,600004
14,37,108,116,1.0,7,70004
32,524,1418,1974,1.0,73,240004
28,304,902,1217,1.0,87,200004
30,243,823,996,1.0,103,220004
19,172,476,597,1.0,33,110004
31,331,955,1214,1.0,48,230004
25,319,877,1185,1.0,68,170004
19,168,502,630,1.0,67,110004
30,255,759,1025,1.0,66,220004
16,104,339,431,1.0,66,80004
