0,1,2,3,4,5,6
20,55,183,201,1.0,47,50006
18,46,148,166,1.0,39,40006
20,60,202,240,1.0,53,50006
19,57,180,208,1.0,50,50006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
21,60,175,213,1.0,49,50006
17,46,146,167,1.0,40,50006
20,60,202,240,1.0,53,50006
17,46,146,167,1.0,40,50006
18,46,148,166,1.0,39,40006
14,32,103,117,1.0,26,30006
29,109,296,382,1.0,74,60006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
30,77,236,281,1.0,62,60006
18,46,148,166,1.0,39,40006
21,60,175,213,1.0,49,50006
18,46,148,166,1.0,39,40006
21,60,175,213,1.0,49,50006
18,46,148,166,1.0,39,40006
19,57,180,208,1.0,50,50006
23,49,150,185,1.0,38,40006
19,57,180,208,1.0,50,50006
29,109,296,382,1.0,74,60006
20,60,202,240,1.0,53,50006
21,60,175,213,1.0,49,50006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
37,170,426,585,1.0,107,80006
26,82,243,282,1.0,65,60006
29,109,296,382,1.0,74,60006
21,60,175,213,1.0,49,50006
21,60,175,213,1.0,49,50006
18,46,148,166,1.0,39,40006
30,135,338,472,1.0,89,70006
29,109,296,382,1.0,74,60006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
21,60,175,213,1.0,49,50006
42,159,405,561,1.0,101,80006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
22,74,212,262,1.0,60,60006
29,109,296,382,1.0,74,60006
27,63,195,234,1.0,50,50006
21,60,175,213,1.0,49,50006
53,209,550,737,1.0,131,100006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
22,74,212,262,1.0,60,60006
21,60,175,213,1.0,49,50006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
29,129,345,472,1.0,84,60006
21,60,175,213,1.0,49,50006
18,46,148,166,1.0,39,40006
14,32,103,117,1.0,26,30006
18,46,148,166,1.0,39,40006
22,74,212,262,1.0,60,60006
20,46,144,164,1.0,36,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
14,32,103,117,1.0,26,30006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
21,60,175,213,1.0,49,50006
34,98,283,351,1.0,72,70006
18,46,148,166,1.0,39,40006
19,57,180,208,1.0,50,50006
18,46,148,166,1.0,39,40006
21,60,175,213,1.0,49,50006
18,46,148,166,1.0,39,40006
21,60,175,213,1.0,49,50006
19,57,180,208,1.0,50,50006
27,63,195,234,1.0,50,50006
24,69,210,249,1.0,58,60006
18,46,148,166,1.0,39,40006
28,109,294,383,1.0,75,70006
21,60,175,213,1.0,49,50006
18,46,148,166,1.0,39,40006
19,57,180,208,1.0,50,50006
18,46,148,166,1.0,39,40006
30,152,406,537,1.0,102,80006
18,46,148,166,1.0,39,40006
34,94,284,339,1.0,72,70006
23,49,150,185,1.0,38,40006
29,109,296,382,1.0,74,60006
29,109,296,382,1.0,74,60006
27,63,195,234,1.0,50,50006
20,46,144,164,1.0,36,40006
14,32,103,117,1.0,26,30006
14,32,103,117,1.0,26,30006
18,46,148,166,1.0,39,40006
15,40,134,151,1.0,35,40006
18,46,148,166,1.0,39,40006
38,117,340,414,1.0,83,70006
19,57,180,208,1.0,50,50006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
29,109,296,382,1.0,74,60006
18,46,148,166,1.0,39,40006
27,63,195,234,1.0,50,50006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
29,85,266,318,1.0,73,70006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
21,60,175,213,1.0,49,50006
42,159,405,561,1.0,101,80006
21,60,175,213,1.0,49,50006
29,109,296,382,1.0,74,60006
24,69,210,249,1.0,58,60006
21,60,175,213,1.0,49,50006
53,235,584,825,1.0,146,110006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
19,57,180,208,1.0,50,50006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
23,49,150,185,1.0,38,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
29,109,296,382,1.0,74,60006
17,46,146,167,1.0,40,50006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
18,46,148,166,1.0,39,40006
