0,1,2,3,4,5,6
9,38,522,522,1.0,2,330004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
10,34,463,463,1.0,1,280004
4,8,32,32,1.0,1,80004
12,46,825,825,1.0,1,380004
4,8,32,32,1.0,1,80004
14,38,516,516,1.0,1,280004
4,8,32,32,1.0,1,80004
14,36,483,483,1.0,6,260004
10,32,411,411,1.0,2,260004
10,32,411,411,1.0,3,260004
9,35,473,473,1.0,1,300004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
14,36,487,487,1.0,6,260004
9,36,489,489,1.0,2,310004
4,8,32,32,1.0,1,80004
12,46,785,785,1.0,1,380004
10,31,394,394,1.0,4,250004
4,8,32,32,1.0,1,80004
14,35,467,467,1.0,6,250004
4,8,32,32,1.0,1,80004
10,31,394,394,1.0,4,250004
12,46,785,785,1.0,1,380004
12,33,429,429,1.0,5,250004
10,32,411,411,1.0,1,260004
10,34,463,463,1.0,1,280004
12,46,785,785,1.0,1,380004
12,34,445,445,1.0,2,260004
9,35,473,473,1.0,2,300004
4,8,32,32,1.0,1,80004
4,8,31,31,1.0,1,80004
10,32,411,411,1.0,1,260004
14,38,518,518,1.0,6,280004
11,43,636,636,1.0,1,360004
10,34,463,463,1.0,4,280004
12,34,445,445,1.0,3,260004
12,46,825,825,1.0,1,380004
4,8,32,32,1.0,1,80004
14,35,467,467,1.0,3,250004
10,34,463,463,1.0,3,280004
10,32,411,411,1.0,3,260004
4,8,32,32,1.0,1,80004
13,35,466,466,1.0,6,260004
12,46,825,825,1.0,1,380004
14,36,487,487,1.0,3,260004
10,32,411,411,1.0,1,260004
10,31,378,378,1.0,2,250004
4,8,32,32,1.0,1,80004
11,43,636,636,1.0,1,360004
15,42,606,606,1.0,2,310004
10,34,463,463,1.0,4,280004
10,34,443,443,1.0,4,280004
12,46,825,825,1.0,1,380004
4,8,32,32,1.0,1,80004
12,46,825,825,1.0,1,380004
12,46,773,773,1.0,1,380004
4,8,32,32,1.0,1,80004
4,8,28,28,1.0,1,80004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
12,46,785,785,1.0,1,380004
16,38,527,527,1.0,1,260004
12,36,478,478,1.0,1,280004
10,34,463,463,1.0,4,280004
11,43,636,636,1.0,1,360004
4,8,32,32,1.0,1,80004
12,46,825,825,1.0,1,380004
10,34,460,460,1.0,1,280004
16,38,496,496,1.0,1,260004
4,8,32,32,1.0,1,80004
11,43,636,636,1.0,1,360004
14,36,487,487,1.0,6,260004
12,46,825,825,1.0,1,380004
12,33,432,432,1.0,2,250004
4,8,32,32,1.0,1,80004
12,33,429,429,1.0,5,250004
12,46,825,825,1.0,1,380004
11,43,636,636,1.0,1,360004
14,36,490,490,1.0,3,260004
4,8,32,32,1.0,1,80004
10,34,443,443,1.0,1,280004
4,8,32,32,1.0,1,80004
10,34,463,463,1.0,1,280004
11,43,636,636,1.0,1,360004
12,33,429,429,1.0,4,250004
4,8,32,32,1.0,1,80004
14,35,469,469,1.0,4,250004
4,8,32,32,1.0,1,80004
10,34,463,463,1.0,2,280004
12,33,429,429,1.0,4,250004
15,42,602,602,1.0,7,310004
11,43,636,636,1.0,1,360004
12,46,785,785,1.0,1,380004
14,35,474,474,1.0,3,250004
10,34,463,463,1.0,3,280004
10,34,463,463,1.0,3,280004
4,8,31,31,1.0,1,80004
10,31,394,394,1.0,2,250004
12,46,785,785,1.0,1,380004
10,31,394,394,1.0,4,250004
4,8,32,32,1.0,1,80004
10,32,411,411,1.0,1,260004
4,8,32,32,1.0,1,80004
14,36,490,490,1.0,2,260004
14,35,467,467,1.0,6,250004
11,43,636,636,1.0,1,360004
12,46,825,825,1.0,1,380004
4,8,32,32,1.0,1,80004
12,46,785,785,1.0,1,380004
12,46,825,825,1.0,1,380004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
14,36,483,483,1.0,4,260004
14,36,483,483,1.0,5,260004
11,43,634,634,1.0,1,360004
14,35,467,467,1.0,3,250004
12,33,429,429,1.0,4,250004
9,35,473,473,1.0,2,300004
14,35,469,469,1.0,1,250004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
10,31,394,394,1.0,2,250004
4,8,32,32,1.0,1,80004
12,46,785,785,1.0,1,380004
12,46,825,825,1.0,1,380004
12,46,785,785,1.0,1,380004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
10,31,381,381,1.0,1,250004
12,46,785,785,1.0,1,380004
4,8,32,32,1.0,1,80004
12,46,825,825,1.0,1,380004
4,8,32,32,1.0,1,80004
12,46,785,785,1.0,1,380004
14,38,523,523,1.0,2,280004
4,8,32,32,1.0,1,80004
10,31,394,394,1.0,2,250004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
10,32,411,411,1.0,5,260004
9,35,473,473,1.0,3,300004
10,31,394,394,1.0,3,250004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
9,38,522,522,1.0,4,330004
15,42,606,606,1.0,2,310004
10,34,443,443,1.0,2,280004
4,8,31,31,1.0,1,80004
4,8,32,32,1.0,1,80004
12,33,429,429,1.0,3,250004
12,34,445,445,1.0,3,260004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
10,32,410,410,1.0,1,260004
4,8,32,32,1.0,1,80004
12,46,825,825,1.0,1,380004
14,35,469,469,1.0,2,250004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
10,32,411,411,1.0,7,260004
9,36,489,489,1.0,2,310004
4,8,32,32,1.0,1,80004
12,46,785,785,1.0,1,380004
4,8,32,32,1.0,1,80004
11,43,636,636,1.0,1,360004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
12,46,825,825,1.0,1,380004
11,43,636,636,1.0,1,360004
9,36,489,489,1.0,2,310004
12,46,785,785,1.0,1,380004
12,34,445,445,1.0,4,260004
14,36,487,487,1.0,8,260004
9,35,473,473,1.0,2,300004
13,35,466,466,1.0,8,260004
11,43,636,636,1.0,1,360004
10,34,463,463,1.0,3,280004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
10,31,394,394,1.0,1,250004
4,8,32,32,1.0,1,80004
14,35,467,467,1.0,5,250004
4,8,32,32,1.0,1,80004
4,8,32,32,1.0,1,80004
