0,1,2,3,4,5,6
30,988,7186,9921,1.0,2196,240017
18,620,5059,6628,1.0,1881,100017
17,974,8875,11173,1.0,3253,130017
18,673,5499,7283,1.0,2111,100017
25,1914,13186,18861,1.0,4293,190017
19,1050,9872,12240,1.0,3637,150017
18,673,5499,7283,1.0,2111,100017
35,2750,21366,28136,1.0,6869,310017
32,2028,15503,21844,1.0,5199,260017
24,2286,18665,24313,1.0,5861,200017
19,1150,9113,12045,1.0,3207,110017
23,824,7666,9234,1.0,2666,190017
21,472,3656,4661,1.0,1118,150017
19,450,1983,3146,1.0,565,70017
23,1427,10928,14781,1.0,3699,170017
21,2196,12957,20187,1.0,3862,130017
20,1441,10055,13935,1.0,3195,140017
21,952,9110,11193,1.0,3404,170017
23,734,7054,8535,1.0,2773,190017
33,799,6089,7656,1.0,1916,270017
19,137,952,1239,1.0,210,70017
21,2370,15749,23613,1.0,4879,130017
17,20,121,121,1.0,1,50017
25,904,8399,10335,1.0,3052,210017
19,2083,12726,19099,1.0,3838,130017
19,231,1079,1444,1.0,233,70017
21,1194,5225,9174,1.0,1041,110017
18,410,3175,4145,1.0,1065,100017
21,1841,8256,16111,1.0,2514,110017
17,300,2094,2712,1.0,700,90017
21,1285,8291,11182,1.0,2485,130017
22,1818,13494,18837,1.0,4591,160017
29,1100,10226,12556,1.0,3747,250017
30,1512,8581,12068,1.0,2370,240017
18,673,5499,7283,1.0,2111,100017
20,2043,12339,18304,1.0,3690,140017
18,485,3973,5043,1.0,1235,120017
19,591,3676,5028,1.0,1184,90017
20,517,2401,3305,1.0,494,80017
34,2750,15153,24645,1.0,4226,240017
23,2095,15609,22405,1.0,5245,170017
20,1507,11568,16212,1.0,4105,140017
19,1364,10986,14243,1.0,3760,150017
20,2031,15306,21742,1.0,5133,140017
20,1890,8824,16074,1.0,2841,80017
22,1132,8233,10727,1.0,2662,160017
19,231,1079,1444,1.0,233,70017
27,1850,12612,18197,1.0,3827,210017
20,2237,14412,21604,1.0,4475,140017
20,1809,13965,19784,1.0,4873,140017
21,1111,10440,12906,1.0,3807,170017
18,72,613,654,1.0,141,100017
19,1181,10345,13151,1.0,3700,150017
29,3440,14191,23693,1.0,2118,230017
22,1959,9594,17180,1.0,3057,120017
20,1062,7662,10483,1.0,2386,140017
28,1897,14212,20368,1.0,4806,220017
