concept:name,case:concept:name,time:timestamp
Activity A,0,2023-05-11
Activity E,0,2023-05-11
Activity G,0,2023-05-11
Activity L,0,2023-05-11
Activity K,0,2023-05-11
Activity M,0,2023-05-11
Activity J,0,2023-05-11
Activity I,0,2023-05-11
Activity H,0,2023-05-11
Activity F,0,2023-05-11
Activity T,0,2023-05-11
Activity AB,0,2023-05-11
Activity AE,0,2023-05-11
Activity AD,0,2023-05-11
Activity AC,0,2023-05-11
Activity U,0,2023-05-11
Activity AF,0,2023-05-11
Activity A,1,2023-05-11
Activity C,1,2023-05-11
Activity AH,0,2023-05-11
Activity D,1,2023-05-11
Activity AI,0,2023-05-11
Activity B,1,2023-05-11
Activity AJ,0,2023-05-11
Activity AK,0,2023-05-11
Activity AO,0,2023-05-11
Activity AM,0,2023-05-11
Activity AP,0,2023-05-11
Activity AN,0,2023-05-11
Activity AQ,0,2023-05-11
Activity AL,0,2023-05-11
Activity AG,0,2023-05-11
Activity B,0,2023-05-11
Activity A,2,2023-05-11
Activity AR,2,2023-05-11
Activity BI,2,2023-05-11
Activity BL,2,2023-05-11
Activity BO,2,2023-05-11
Activity BK,2,2023-05-11
Activity BN,2,2023-05-11
Activity BM,2,2023-05-11
Activity BP,2,2023-05-11
Activity BJ,2,2023-05-11
Activity BQ,2,2023-05-11
Activity BT,2,2023-05-11
Activity BU,2,2023-05-11
Activity BS,2,2023-05-11
Activity BR,2,2023-05-11
Activity AS,2,2023-05-11
Activity CI,2,2023-05-11
Activity CK,2,2023-05-11
Activity CQ,2,2023-05-11
Activity CN,2,2023-05-11
Activity CR,2,2023-05-11
Activity CM,2,2023-05-11
Activity CP,2,2023-05-11
Activity CO,2,2023-05-11
Activity CL,2,2023-05-11
Activity CJ,2,2023-05-11
Activity CS,2,2023-05-11
Activity CW,2,2023-05-11
Activity CU,2,2023-05-11
Activity CX,2,2023-05-11
Activity CV,2,2023-05-11
Activity CT,2,2023-05-11
Activity CY,2,2023-05-11
Activity B,2,2023-05-11
Activity A,3,2023-05-11
Activity C,3,2023-05-11
Activity D,3,2023-05-11
Activity B,3,2023-05-11
Activity A,4,2023-05-11
Activity C,4,2023-05-11
