CaseIds,Labels
173688,41
173691,50
173694,55
173697,0
173700,0
173703,95
173706,6
173709,5
173712,66
173715,3
173718,56
173721,39
173724,90
173727,0
173730,56
173733,2
173736,29
173739,53
173742,96
173745,10
173748,30
173751,25
173754,78
173757,0
173760,41
173763,2
173766,68
173769,0
173772,0
173775,54
173778,2
173781,51
173784,70
173787,11
173790,60
173793,77
173796,35
173799,82
173802,2
173805,1
173808,0
173811,63
173814,13
173817,74
173820,0
173823,3
173826,90
173829,42
173832,0
173835,7
173838,0
173841,19
173844,41
173847,90
173850,0
173853,0
173856,33
173859,80
173862,2
173865,0
173868,60
173871,77
173874,0
173877,0
173880,4
173883,0
173886,0
173889,2
173892,0
173895,0
173898,24
173901,2
173904,2
173907,0
173910,0
173913,60
173916,83
173919,10
173922,0
173925,42
173928,70
173931,0
173934,2
173937,85
173940,53
173943,48
173946,80
173949,63
173952,0
173955,20
173958,31
173961,2
173964,22
173979,25
173982,10
173985,75
173988,80
173991,0
173994,0
173997,62
174000,96
174003,0
174006,2
174009,26
174012,1
174015,2
174018,92
174021,2
174024,6
174027,2
174030,55
174033,0
174036,4
174039,67
174042,78
174045,12
174048,51
174051,33
174054,0
174057,0
174060,70
174063,0
174066,0
174069,4
174072,2
174075,2
174078,7
174081,0
174084,17
174087,62
174090,62
174093,11
174096,4
174099,1
174102,83
174105,92
174108,0
174111,5
174114,2
174117,2
174120,31
174123,2
174126,2
174129,2
174132,70
174135,2
174138,66
174141,57
174144,60
174147,23
174150,11
174153,81
174156,0
174159,55
174162,2
174165,0
174168,49
174171,0
174174,0
174177,60
174180,68
174183,0
174186,13
174189,0
174192,0
174195,22
174198,84
174201,84
174204,2
174207,10
174210,0
174213,90
174216,89
174219,42
174222,0
174225,0
174228,2
174231,10
174234,2
174237,58
174240,13
174243,13
174246,2
174249,11
174252,49
174255,7
174258,13
174261,32
174264,56
174267,0
174270,61
174273,2
174276,0
174279,84
174282,2
174285,38
174288,33
174291,23
174294,94
174297,42
174300,2
174303,42
174319,17
174322,11
174325,18
174328,0
174331,13
174334,7
174337,43
174340,0
174343,12
174346,2
174349,11
174352,2
174355,2
174358,43
174361,86
174364,2
174367,24
174370,0
174373,0
174376,35
174379,69
174382,4
174385,86
174388,45
174391,0
174394,90
174397,20
174400,13
174403,50
174406,87
174409,44
174412,0
174415,64
174418,4
174421,35
174424,50
174427,0
174430,64
174433,16
174436,4
174439,0
174442,33
174445,82
174448,38
174451,5
174454,0
174457,31
174460,0
174463,12
174466,0
174469,9
174472,2
174475,95
174478,15
174481,7
174484,6
174487,25
174490,31
174493,23
174496,46
174499,2
174502,65
174505,45
174508,31
174511,56
174514,0
174517,56
174520,0
174523,0
174526,2
174529,8
174532,2
174535,62
174538,52
174541,1
174544,0
174547,67
174559,4
174562,24
174565,24
174568,23
174571,10
174574,2
174577,56
174599,0
174602,9
174605,41
174608,51
174611,13
174614,36
174617,0
174620,7
174623,2
174626,33
174629,60
174632,0
174635,60
174638,93
174641,0
174644,71
174647,2
174650,47
174653,52
174656,79
174659,44
174662,0
174665,2
174668,33
174671,67
174674,0
174677,0
174680,0
174683,60
174686,60
174689,40
174692,0
174695,62
174698,0
174701,0
174704,0
174707,1
174710,85
174713,13
174716,28
174719,73
174722,21
174725,0
174728,2
174731,33
174734,33
174737,23
174740,36
174743,33
174746,33
174749,1
174752,41
174755,33
174758,18
174761,17
174764,15
174767,9
174770,33
174773,7
174776,0
174779,41
174782,2
174785,88
174788,0
174791,0
174794,2
174797,0
174800,3
174803,0
174806,67
174809,0
174812,0
174815,47
174818,71
174821,54
174824,79
174827,10
174830,0
174833,0
174836,2
174839,0
174842,0
174845,53
174848,3
174851,43
174854,10
174857,10
174860,6
174863,76
174866,0
174869,7
174872,20
174875,64
174878,60
174881,57
174884,63
174887,0
174890,83
174893,95
174896,44
174899,0
174902,42
174905,52
174908,33
174911,60
174914,92
174917,72
174920,59
174923,50
174926,79
174929,69
174932,84
174935,18
174938,18
174941,13
174944,20
174947,9
174950,19
174953,92
174956,2
174959,1
174962,18
174965,37
174968,18
174979,72
174982,54
174985,9
174988,0
174991,66
174994,2
174997,51
175000,5
175003,0
175006,0
175009,0
175012,13
175015,58
175018,75
175021,0
175024,86
175027,49
175030,0
175033,2
175036,0
175039,1
175042,2
175045,62
175048,57
175051,0
175054,59
175057,2
175060,29
175063,2
175066,2
175069,0
175072,0
175075,42
175078,43
175081,34
175084,0
175087,2
175090,0
175093,61
175096,56
175099,77
175102,2
175105,59
175108,2
175111,13
175114,25
175117,2
175120,62
175123,0
175126,2
175129,0
175132,2
175135,57
175138,0
175141,35
175144,0
175147,12
175150,2
175153,41
175156,33
175159,2
175162,31
175165,0
175168,2
175171,81
175174,31
175177,63
175180,79
175183,26
175186,13
175189,42
175192,12
175195,48
175198,28
175201,2
175204,38
175219,83
175222,0
175225,2
175228,2
175231,55
175234,21
175239,7
175242,0
175245,2
175248,50
175251,35
175254,88
175257,2
175260,31
175263,57
175266,24
175269,0
175272,0
175275,55
175278,35
175281,56
175284,2
175287,17
175290,0
175293,44
175296,0
175299,19
175302,41
175305,26
175308,0
175311,61
175314,2
175317,0
175320,0
175323,18
175326,0
175329,43
175332,23
175335,18
175338,23
175341,84
175344,17
175347,74
175350,0
175353,20
175356,0
175359,13
175362,0
