CaseIds,Labels
173688,12
173691,1
173694,44
173697,5
173700,5
173703,27
173706,6
173709,42
173712,13
173715,75
173718,37
173721,55
173724,98
173727,5
173730,99
173733,2
173736,83
173739,60
173742,41
173745,17
173748,70
173751,95
173754,88
173757,5
173760,12
173763,2
173766,10
173769,5
173772,5
173775,52
173778,2
173781,3
173784,8
173787,54
173790,53
173793,30
173796,40
173799,9
173802,2
173805,84
173808,5
173811,50
173814,57
173817,86
173820,5
173823,48
173826,98
173829,74
173832,5
173835,78
173838,5
173841,51
173844,12
173847,98
173850,5
173853,5
173856,81
173859,46
173862,2
173865,5
173868,53
173871,30
173874,5
173877,5
173880,61
173883,5
173886,5
173889,2
173892,5
173895,5
173898,0
173901,2
173904,2
173907,5
173910,5
173913,53
173916,59
173919,82
173922,5
173925,74
173928,8
173931,5
173934,2
173937,22
173940,60
173943,32
173946,46
173949,50
173952,5
173955,65
173958,85
173961,2
173964,14
173979,95
173982,82
173985,87
173988,46
173991,5
173994,5
173997,62
174000,41
174003,5
174006,2
174009,69
174012,84
174015,2
174018,85
174021,2
174024,6
174027,2
174030,91
174033,5
174036,61
174039,50
174042,90
174045,33
174048,3
174051,81
174054,5
174057,5
174060,96
174063,5
174066,5
174069,61
174072,2
174075,2
174078,78
174081,5
174084,88
174087,62
174090,62
174093,18
174096,61
174099,84
174102,59
174105,85
174108,5
174111,42
174114,2
174117,2
174120,85
174123,2
174126,2
174129,2
174132,96
174135,2
174138,13
174141,80
174144,49
174147,72
174150,77
174153,58
174156,5
174159,44
174162,2
174165,5
174168,90
174171,5
174174,5
174177,15
174180,10
174183,5
174186,57
174189,5
174192,5
174195,14
174198,97
174201,97
174204,2
174207,24
174210,5
174213,98
174216,92
174219,74
174222,5
174225,5
174228,2
174231,82
174234,2
174237,83
174240,57
174243,57
174246,2
174249,77
174252,90
174255,67
174258,57
174261,90
174264,99
174267,5
174270,91
174273,2
174276,5
174279,97
174282,2
174285,23
174288,35
174291,72
174294,21
174297,74
174300,2
174303,74
174319,88
174322,18
174325,68
174328,5
174331,57
174334,67
174337,31
174340,5
174343,33
174346,2
174349,54
174352,2
174355,2
174358,31
174361,38
174364,2
174367,0
174370,5
174373,5
174376,89
174379,93
174382,61
174385,38
174388,7
174391,5
174394,98
174397,65
174400,57
174403,1
174406,32
174409,66
174412,5
174415,93
174418,61
174421,89
174424,1
174427,5
174430,93
174433,43
174436,61
174439,5
174442,81
174445,9
174448,23
174451,42
174454,5
174457,85
174460,5
174463,39
174466,5
174469,87
174472,2
174475,27
174478,29
174481,78
174484,6
174487,95
174490,85
174493,72
174496,56
174499,2
174502,50
174505,7
174508,36
174511,63
174514,5
174517,37
174520,5
174523,5
174526,2
174529,34
174532,2
174535,62
174538,100
174541,84
174544,5
174547,50
174559,61
174562,0
174565,0
174568,72
174571,82
174574,2
174577,63
174599,5
174602,28
174605,12
174608,3
174611,57
174614,11
174617,5
174620,78
174623,2
174626,81
174629,53
174632,5
174635,53
174638,36
174641,5
174644,21
174647,2
174650,66
174653,100
174656,45
174659,66
174662,5
174665,2
174668,81
174671,50
174674,5
174677,5
174680,5
174683,15
174686,49
174689,64
174692,5
174695,12
174698,5
174701,5
174704,5
174707,88
174710,22
174713,57
174716,20
174719,76
174722,21
174725,5
174728,2
174731,81
174734,81
174737,72
174740,11
174743,81
174746,81
174749,64
174752,12
174755,81
174758,73
174761,1
174764,39
174767,28
174770,81
174773,78
174776,5
174779,12
174782,2
174785,33
174788,5
174791,5
174794,2
174797,5
174800,75
174803,5
174806,50
174809,5
174812,5
174815,66
174818,21
174821,52
174824,45
174827,82
174830,5
174833,5
174836,2
174839,5
174842,5
174845,60
174848,75
174851,31
174854,82
174857,24
174860,6
174863,72
174866,5
174869,78
174872,65
174875,93
174878,49
174881,80
174884,50
174887,5
174890,59
174893,27
174896,66
174899,5
174902,74
174905,100
174908,81
174911,49
174914,85
174917,25
174920,16
174923,1
174926,45
174929,93
174932,97
174935,73
174938,68
174941,57
174944,65
174947,28
174950,51
174953,85
174956,2
174959,84
174962,68
174965,61
174968,73
174979,25
174982,52
174985,28
174988,5
174991,13
174994,2
174997,3
175000,42
175003,5
175006,5
175009,5
175012,57
175015,83
175018,87
175021,5
175024,93
175027,90
175030,5
175033,2
175036,5
175039,84
175042,2
175045,62
175048,80
175051,5
175054,16
175057,2
175060,83
175063,2
175066,2
175069,5
175072,5
175075,74
175078,31
