CaseIds,Labels
173688,64
173691,80
173694,68
173697,0
173700,0
173703,37
173706,83
173709,71
173712,83
173715,50
173718,35
173721,10
173724,25
173727,0
173730,35
173733,2
173736,18
173739,84
173742,81
173745,13
173748,69
173751,57
173754,48
173757,0
173760,64
173763,2
173766,40
173769,0
173772,0
173775,47
173778,2
173781,39
173784,31
173787,41
173790,22
173793,60
173796,5
173799,9
173802,2
173805,73
173808,0
173811,84
173814,54
173817,10
173820,0
173823,50
173826,25
173829,71
173832,0
173835,65
173838,0
173841,72
173844,88
173847,20
173850,0
173853,0
173856,3
173859,34
173862,2
173865,0
173868,90
173871,10
173874,0
173877,0
173880,18
173883,0
173886,0
173889,2
173892,0
173895,0
173898,61
173901,2
173904,2
173907,0
173910,0
173913,22
173916,78
173919,38
173922,0
173925,71
173928,31
173931,0
173934,2
173937,23
173940,84
173943,96
173946,34
173949,93
173952,0
173955,87
173958,53
173961,2
173964,78
173979,57
173982,79
173985,90
173988,34
173991,0
173994,0
173997,36
174000,81
174003,0
174006,2
174009,10
174012,73
174015,2
174018,53
174021,2
174024,83
174027,2
174030,26
174033,0
174036,18
174039,8
174042,48
174045,8
174048,39
174051,3
174054,0
174057,0
174060,31
174063,0
174066,0
174069,12
174072,2
174075,2
174078,51
174081,0
174084,76
174087,64
174090,36
174093,41
174096,18
174099,76
174102,78
174105,6
174108,0
174111,71
174114,2
174117,2
174120,53
174123,2
174126,2
174129,2
174132,31
174135,2
174138,83
174141,95
174144,22
174147,60
174150,77
174153,10
174156,0
174159,68
174162,2
174165,0
174168,85
174171,0
174174,0
174177,61
174180,40
174183,0
174186,54
174189,0
174192,0
174195,78
174198,74
174201,74
174204,2
174207,38
174210,0
174213,25
174216,58
174219,71
174222,0
174225,0
174228,2
174231,79
174234,2
174237,18
174240,54
174243,54
174246,2
174249,77
174252,91
174255,51
174258,54
174261,93
174264,35
174267,0
174270,26
174273,2
174276,0
174279,74
174282,2
174285,49
174288,3
174291,60
174294,28
174297,71
174300,2
174303,71
174319,76
174322,41
174325,96
174328,0
174331,54
174334,51
174337,59
174340,0
174343,8
174346,2
174349,77
174352,2
174355,2
174358,52
174361,11
174364,2
174367,61
174370,0
174373,0
174376,5
174379,11
174382,16
174385,57
174388,90
174391,0
174394,20
174397,52
174400,54
174403,85
174406,96
174409,70
174412,0
174415,57
174418,92
174421,5
174424,80
174427,0
174430,57
174433,9
174436,16
174439,0
174442,3
174445,9
174448,49
174451,71
174454,0
174457,53
174460,0
174463,8
174466,0
174469,50
174472,2
174475,37
174478,84
174481,65
174484,83
174487,57
174490,53
174493,60
174496,21
174499,2
174502,84
174505,88
174508,20
174511,59
174514,0
174517,35
174520,0
174523,0
174526,2
174529,85
174532,2
174535,64
174538,17
174541,73
174544,0
174547,8
174559,12
174562,45
174565,61
174568,60
174571,79
174574,2
174577,35
174599,0
174602,64
174605,64
174608,39
174611,54
174614,1
174617,0
174620,51
174623,2
174626,3
174629,22
174632,0
174635,22
174638,53
174641,0
174644,86
174647,2
174650,92
174653,17
174656,93
174659,70
174662,0
174665,2
174668,3
174671,8
174674,0
174677,0
174680,0
174683,61
174686,22
174689,75
174692,0
174695,36
174698,0
174701,0
174704,0
174707,85
174710,23
174713,54
174716,74
174719,89
174722,27
174725,0
174728,2
174731,3
174734,3
174737,60
174740,1
174743,3
174746,3
174749,91
174752,64
174755,3
174758,58
174761,93
174764,93
174767,24
174770,3
174773,51
174776,0
174779,88
174782,2
174785,18
174788,0
174791,0
174794,2
174797,0
174800,50
174803,0
174806,8
174809,0
174812,0
174815,92
174818,86
174821,47
174824,32
174827,79
174830,0
174833,0
174836,2
174839,0
174842,0
174845,84
174848,50
174851,59
174854,79
174857,38
174860,83
174863,32
174866,0
174869,65
174872,52
174875,57
174878,22
174881,62
174884,96
174887,0
174890,78
174893,37
174896,70
174899,0
174902,71
174905,89
174908,3
174911,22
174914,53
174917,44
174920,89
174923,80
174926,32
174929,57
174932,74
174935,58
174938,58
174941,54
174944,87
174947,24
174950,72
174953,42
174956,2
174959,73
174962,58
174965,27
174968,96
174979,82
174982,47
174985,24
174988,0
174991,83
174994,2
174997,39
175000,71
175003,0
175006,0
175009,0
175012,54
175015,18
175018,90
175021,0
175024,11
175027,93
175030,0
175033,2
175036,0
175039,73
175042,2
175045,50
175048,30
175051,0
175054,56
175057,2
175060,28
175063,2
175066,2
175069,0
175072,0
175075,71
175078,12
175081,93
175084,0
175087,2
175090,0
175093,12
175096,35
175099,60
175102,2
175105,56
175108,2
175111,54
175114,57
175117,2
175120,36
175123,0
175126,2
175129,0
175132,2
175135,30
175138,0
175141,5
175144,0
175147,8
175150,2
175153,88
175156,3
175159,2
175162,20
175165,0
175168,2
175171,60
175174,6
175177,84
175180,32
175183,56
175186,54
175189,71
175192,8
175195,96
175198,74
175201,2
175204,49
175219,78
175222,0
175225,2
175228,2
175231,26
175234,27
175239,65
175242,0
175245,2
175248,80
175251,5
175254,18
175257,2
175260,53
175263,62
175266,45
175269,0
175272,0
175275,68
175278,5
175281,59
175284,2
175287,85
175290,0
175293,70
175296,0
175299,72
175302,64
175305,10
175308,0
175311,26
175314,2
175317,0
175320,0
175323,58
175326,0
175329,12
175332,60
175335,58
175338,60
175341,74
175344,76
175347,40
175350,0
175353,12
175356,0
175359,54
175362,0
175365,24
175368,3
175371,21
175374,93
175377,26
175380,53
175383,64
175386,62
175389,37
175392,70
175395,65
175398,2
175401,61
175404,0
175407,51
175410,91
175413,74
175416,0
175419,65
175422,2
175425,80
175428,85
175431,0
175434,53
175437,70
175440,0
175443,0
175446,2
175449,0
175452,2
175455,10
175458,0
175461,0
175464,0
175467,0
175470,0
175473,71
175476,83
175479,78
175482,0
175485,64
175488,74
175491,49
175494,90
175497,76
175500,0
175519,71
175522,3
175525,61
175528,79
175531,54
175534,73
175537,21
175540,0
175543,67
175546,22
175549,48
175552,10
175555,34
175558,0
175561,0
175564,54
175567,22
175570,2
175573,27
175576,21
175579,0
175582,49
175585,67
175588,78
175591,82
175594,9
175597,18
175600,61
175603,2
175606,51
175609,0
175612,0
175615,61
175618,0
175621,0
175624,57
175627,49
175630,77
175633,0
175636,0
175639,0
175642,24
175645,0
175648,2
175651,12
175654,2
175657,32
175660,2
175663,2
175666,21
175669,41
175672,34
175675,77
175678,2
175681,11
175684,84
175687,53
175690,79
175693,79
175696,2
175699,62
175702,60
175705,3
175708,0
175711,78
175714,38
175717,21
175720,60
175723,0
175726,60
175729,2
175732,0
175735,12
175738,2
175741,94
175744,75
175747,2
175750,74
175753,0
175756,94
175759,25
175762,0
175765,83
175768,54
175771,47
175774,53
175777,0
175780,69
175783,0
175786,2
175789,13
175792,73
175795,0
175798,17
175801,32
175804,96
175807,60
175810,2
175813,90
175816,0
175819,47
175822,60
175825,90
175828,0
175831,72
175834,22
175837,3
175840,4
175843,45
175846,2
175859,66
175862,0
175865,2
175868,0
175871,78
175874,0
175877,2
175880,2
175883,10
175886,2
175889,2
175892,59
175895,0
175898,83
175901,2
175904,0
175907,50
175910,82
175913,50
175916,2
175919,0
175922,38
175925,0
175928,54
175931,2
175934,2
175937,79
175940,0
175943,0
175946,37
175949,0
175952,47
175955,0
175958,79
175961,0
175964,0
175967,0
175970,77
175973,22
175976,74
175979,54
175982,2
175985,0
175988,3
175991,50
175994,92
175997,49
