CaseIds,Labels
1-109135791,25
1-147898401,14
1-165554831,32
1-172473423,32
1-182640781,87
1-230541365,58
1-236817141,87
1-270399977,102
1-270427461,32
1-310231291,39
1-316086072,22
1-320604521,50
1-322204195,53
1-322581861,50
1-322980802,0
1-323264491,39
1-323462732,100
1-327329880,32
1-329451027,11
1-329647261,54
1-330634474,30
1-331478885,58
1-332389008,69
1-333164156,38
1-335260940,73
1-337229341,73
1-338946805,39
1-339798202,39
1-339889001,39
1-340984229,50
1-341002175,39
1-342442140,0
1-345132462,58
1-345255471,83
1-347461373,39
1-347923966,14
1-347924629,23
1-349857482,0
1-351187625,39
1-351314317,69
1-351869391,39
1-353818791,83
1-354039443,32
1-354090772,54
1-354350908,23
1-354376900,23
1-356055231,41
1-356879617,54
1-357087417,69
1-357610411,39
1-358038911,27
1-358776870,39
1-359215498,32
1-359781492,0
1-359841262,80
1-360072755,1
1-360464815,23
1-360667704,39
1-361368011,39
1-363041157,0
1-363206822,30
1-363549934,69
1-364018090,87
1-364458525,23
1-364528467,87
1-365052802,73
1-365189372,73
1-365702595,69
1-366462246,39
1-366509892,69
1-366584206,69
1-366698569,100
1-366726662,58
1-366923538,102
1-367002597,23
1-367648732,69
1-367921041,78
1-368322765,38
1-368929048,69
1-369693874,69
1-369989135,14
1-370436092,1
1-370452680,102
1-371498622,69
1-371631962,0
1-371672096,69
1-372029512,12
1-372555278,63
1-372579132,69
1-372858362,69
1-372978779,41
1-373110819,69
1-373268674,69
1-373413519,69
1-373413971,69
1-374379174,69
1-374630866,69
1-374832944,15
1-375337251,69
1-375430388,69
1-375644051,102
1-375646314,69
1-375670011,0
1-376424233,39
1-377083756,70
1-377276064,69
1-377458451,69
1-378050311,29
1-378054711,69
1-378744625,102
1-378976624,53
1-379209685,39
1-379702919,25
1-379789104,40
1-380297615,32
1-380392616,70
1-380527184,70
1-380632889,41
1-380654568,69
1-380885044,3
1-381124870,32
1-382209384,32
1-382442048,1
1-383789251,0
1-384097130,54
1-384757914,102
1-385201933,1
1-385278464,0
1-385311756,69
1-386495623,39
1-386782865,1
1-388028918,78
1-388230583,79
1-388644366,69
1-388724672,69
1-389195082,70
1-390250582,54
1-390722958,23
1-390819078,78
1-392590655,0
1-392812598,69
1-393413330,69
1-396569277,69
1-397446945,69
1-397806545,58
1-399013423,45
1-399628501,100
1-400351079,39
1-400528782,72
1-402212071,39
1-402328919,0
1-402612770,54
1-403006315,70
1-404005175,39
1-404084309,23
1-404736991,78
1-405112616,14
1-405248961,54
1-406010922,41
1-406066421,54
1-406852699,39
1-406875315,30
1-407517548,39
1-407737529,1
1-407876996,74
1-408853759,69
1-409247778,69
1-409309026,39
1-410929705,69
1-411078092,69
1-413205820,30
1-413276708,39
1-413665008,0
1-415000020,102
1-415822336,38
1-415946366,23
1-416247009,23
1-417868043,103
1-418122119,69
1-418890453,72
1-419236954,54
1-419614582,39
1-419783741,39
1-419783822,39
1-422390390,39
1-422418092,41
1-422877530,69
1-423484126,0
1-423648343,69
1-423724447,0
1-423751353,103
1-424022692,69
1-424065923,69
1-424243405,39
1-424668301,69
1-426876102,69
1-426969419,69
1-427498853,1
1-427614010,0
1-427955007,32
1-428252132,25
1-428421057,69
1-429498598,32
1-429979181,63
1-430150814,40
1-430793848,0
1-430836105,39
1-430880486,39
1-431797119,69
1-432419251,1
1-432687815,23
1-433161361,69
1-433309965,78
1-433710534,26
1-433910332,100
1-434419581,69
1-434892089,14
1-435824991,69
1-435825107,69
1-437141508,0
1-438526021,39
1-438897551,0
1-439833168,39
1-439863114,39
1-440576028,0
1-441507371,74
1-442885842,35
1-443175071,39
1-443637654,69
1-448698916,39
1-454389870,91
1-457173714,39
1-467257506,87
1-470328307,69
1-470714850,69
1-473084325,22
1-475885658,53
1-479002951,39
1-489198755,39
1-494629702,39
1-494871141,25
1-495101458,39
1-497807633,69
1-498002861,39
1-498324124,100
1-499289128,69
1-499289256,69
1-499540955,79
1-500208339,69
1-500427383,39
1-501925116,38
1-501969547,0
1-502353485,39
1-502697671,23
1-502769178,24
1-504048859,23
1-504498907,0
1-505194002,0
1-505194015,0
1-505416663,69
1-505443989,69
1-506092586,0
1-506108491,23
1-506236591,69
1-506866218,39
1-507679771,0
1-507774379,69
1-508044897,15
1-508462323,0
1-508825032,0
1-509892697,39
1-509912273,69
1-509915742,0
1-510142147,14
1-510399424,0
1-510423612,39
1-511755003,23
1-511787661,69
1-512617571,14
1-512654811,74
1-513031774,0
1-513032417,69
1-513135755,69
1-513180623,69
1-513395204,39
1-513767190,39
1-513864515,23
1-513910403,39
1-514223574,39
1-514311011,39
1-514618724,23
1-514712116,39
1-514832700,23
1-515461174,23
1-515617964,74
1-515834995,100
1-515873671,61
1-516141293,75
1-516860557,39
1-517002080,69
1-517045062,69
1-517399487,38
1-517490964,69
1-517828743,69
1-518362551,69
1-519020627,0
1-519054737,32
1-519065883,47
1-519085985,38
1-519147007,74
1-519167681,51
1-519386144,0
1-520127960,39
1-520234084,69
1-520705880,39
1-521122392,69
1-521431857,69
1-521555370,0
1-521628291,0
1-522222222,0
1-522460624,69
1-522734472,69
1-522949376,1
1-523027945,39
1-523069229,23
1-523311541,69
1-523361887,69
1-523392191,69
1-523637826,0
1-524169663,80
1-524328647,0
1-524356958,23
1-524375607,32
1-525132931,32
1-525447561,32
1-525477138,39
1-525489753,69
1-525589021,0
1-526037041,0
1-526344555,69
1-526369142,39
1-526414477,69
1-526414833,69
1-526647987,39
1-527208576,39
1-527928641,39
1-528251011,25
1-528332261,32
1-528716762,23
1-528755863,39
1-529091253,39
1-529091311,39
1-529471141,25
1-530147896,79
1-530539767,69
1-530568802,38
1-531435394,39
1-531872604,54
1-532038065,23
1-532084405,69
1-532544114,39
1-532816930,39
1-533449912,69
1-533851634,69
1-534020390,32
1-534493180,32
1-534702904,39
1-535052125,75
1-535233659,69
1-535393553,0
1-535418135,32
1-535439201,39
1-535813109,0
1-535813203,0
1-535813236,0
1-535813278,0
1-535813300,0
1-535813432,0
1-535813517,0
1-535813813,0
1-536299706,53
1-536904633,0
1-537169872,35
1-537311033,45
1-537601770,25
1-537902763,0
1-537984625,74
1-538109148,58
1-538226806,0
1-538297321,69
1-538411483,23
1-538467021,25
1-539000895,0
1-539083171,39
1-539633138,69
1-539752329,23
1-539805130,39
1-540408651,69
1-540500545,39
1-540531611,23
1-540549141,14
1-540549178,32
1-540549229,32
1-540631861,63
1-540723633,69
1-540904745,69
1-540947390,25
1-541028557,69
1-541088014,23
1-541565290,69
1-541566505,69
1-541655216,69
1-541686305,69
1-542027112,58
1-542568265,54
1-542919207,83
1-542940765,56
1-543227320,41
1-543300099,32
1-543653631,58
1-544020953,100
1-544200884,39
1-544527205,39
1-544595401,25
1-544876956,39
1-545370610,79
1-545738536,32
1-545911672,35
1-546272906,32
1-546692981,0
1-546693092,0
1-546838031,102
1-547539001,0
1-547617088,32
1-547802271,0
1-548188531,0
1-548188557,0
1-548188833,0
1-549431982,25
1-550036329,102
1-550159631,32
1-550577363,32
1-550611848,0
1-553276916,72
1-555105571,69
1-557618809,0
1-557739965,39
1-560246371,30
1-560404489,63
1-560418897,69
1-560419045,69
1-560504546,41
1-560703011,39
1-561068081,0
1-561190012,69
1-562022682,69
1-562778111,26
1-562807927,23
1-563156866,39
1-563156881,39
1-563477371,53
1-563779807,14
1-564311006,69
1-564433915,25
1-564528496,69
1-564738994,23
1-564903210,69
1-565030154,0
1-565319816,0
1-565807612,58
1-565905115,39
1-566003511,74
1-566096602,74
1-566101203,0
1-566332021,69
1-566642468,69
1-566661201,39
1-567100387,0
1-567362335,39
1-567440922,69
1-567718361,0
1-567958551,39
1-567981735,69
1-572078531,102
1-572330175,26
1-572625937,69
1-572730349,32
1-572802327,74
1-573215995,32
1-573278049,39
1-573280988,0
1-573316263,25
1-573501251,87
1-573639367,69
1-573655864,69
1-573830584,100
1-573904126,74
1-574045461,0
1-574052419,74
1-574132549,69
1-574162627,69
1-574222268,40
1-574271413,69
1-574466092,53
1-574623837,23
1-574663931,72
1-575690736,23
1-576186189,23
1-576423636,39
1-576667260,35
1-576807766,39
1-576881364,0
1-576934735,0
1-576984464,13
1-577196856,69
1-577236636,74
1-577288653,69
1-577396354,69
1-577685618,39
1-577737791,47
1-577834779,39
1-577996886,13
1-578105842,13
1-578252937,0
1-578579972,0
1-578598959,101
1-578612825,74
1-578612990,87
1-578686199,0
1-578831063,69
1-579078207,39
1-579211624,69
1-579250167,39
1-579369463,69
1-579425746,78
1-579425846,61
1-579517011,39
1-579636429,0
1-580296643,23
1-580325905,0
1-580358285,69
1-580385263,69
1-580464971,102
1-580981634,0
1-581652169,0
1-581740771,0
1-581815727,25
1-581898739,102
1-582296121,0
1-582401721,39
1-583171096,69
1-583931536,0
1-583944596,39
1-584047671,39
1-584612205,32
1-584754762,0
1-584776062,39
1-584812041,32
1-584828902,0
1-584861543,101
1-584938329,32
1-585459725,14
1-585467875,39
1-585469859,16
1-585714932,1
1-586382001,0
1-586382068,0
1-586562664,41
1-587038802,69
1-587058585,0
1-587337285,0
1-587337305,0
1-587383007,0
1-588543315,0
1-588566574,39
1-588712865,61
1-589099869,0
1-589370341,87
1-589421537,0
1-589962550,0
1-589999547,92
1-590262446,61
1-590574771,6
1-590579544,0
1-591301260,0
1-591508928,69
1-591627183,74
1-591627239,74
1-592064699,0
1-592390567,14
1-593022132,0
1-593022224,0
1-593032661,74
1-593312167,23
1-593431551,23
1-593751721,0
1-593933571,0
1-594093101,35
1-594472343,23
1-594666837,0
1-594673056,0
1-594693527,0
1-595293983,6
1-595361681,0
1-595687232,32
1-596251950,23
1-596286562,0
1-596290771,32
1-596331167,25
1-596580941,69
1-596608752,39
1-596676011,45
1-596815491,0
1-597231167,87
1-597285812,23
1-597580752,32
1-597616526,0
1-598583993,74
1-599074651,39
1-599157751,61
1-599157997,69
1-599158067,25
1-599352141,0
1-599517681,23
1-599586617,74
1-599626401,74
1-600432558,23
1-600506847,10
1-600663061,74
1-600873076,0
1-601289432,23
1-601400851,61
1-601433623,0
1-601636752,0
1-601819090,32
1-602316021,23
1-602316067,23
1-602316153,25
1-602316201,0
1-602316215,39
1-602316249,0
1-602396115,39
1-602464818,0
1-602870173,79
1-603537274,14
1-603563148,0
1-603708003,0
1-603798757,0
1-604432843,0
1-604432860,0
1-604432887,0
1-604604928,39
1-604645912,35
1-604646378,0
1-604882241,15
1-605029866,39
1-605034229,39
1-605184371,58
1-605279637,0
1-605728578,39
1-606068287,13
1-606441115,39
1-606724483,25
1-606829317,74
1-606971198,14
1-607158761,101
1-607520800,39
1-607840637,0
1-607934151,0
1-608010054,74
1-608036754,61
1-608735919,23
1-609011164,74
1-609700424,23
1-611506787,39
1-611582327,0
1-611582394,0
1-611605221,39
1-611632212,23
1-611637278,0
1-611651603,23
1-612515539,35
1-613033122,23
1-613364032,102
1-613412559,0
1-613496066,25
1-613740745,0
1-614378697,74
1-614378787,74
1-614451236,0
1-615224713,0
1-615905511,39
1-616014042,0
1-616211466,102
1-616288482,58
1-616409083,0
1-616977258,23
1-616993936,61
1-617042441,102
1-617049384,0
1-617084616,39
1-617356985,27
1-617389027,39
1-617470131,87
1-617696569,28
1-618041243,25
1-618041343,61
1-618116069,25
1-618143224,25
1-618170625,23
1-618171180,39
1-618283927,39
1-618350811,70
1-618589528,32
1-618620384,0
1-618764275,40
1-618859631,29
1-618883006,61
1-619053302,54
1-619067777,69
1-619087129,0
1-619109941,53
1-619146141,35
1-619175501,39
1-619201265,23
1-619232031,39
1-619254483,0
1-619550849,53
1-619575181,0
1-619589599,22
1-619684455,0
1-619699161,11
1-619719949,13
1-619767065,39
1-619857642,39
1-620015297,0
1-620074564,0
1-620430705,0
1-620432583,69
1-620483711,35
1-620572095,0
1-620584677,23
1-620656965,0
1-620705595,0
1-620857518,0
1-620925267,32
1-621023087,0
1-621039603,0
1-621061021,30
1-621311061,72
1-621322866,0
1-621369891,0
1-621393223,15
1-621571462,0
1-622154016,103
1-622156083,25
1-622295317,39
1-622618613,25
1-622630582,39
1-622652886,0
1-622783644,23
1-622806196,23
1-622847448,23
1-622856843,0
1-622874191,39
1-622884303,39
1-622940906,39
1-623152702,0
1-623336818,0
1-623354971,23
1-623520821,58
1-623521280,23
1-623626713,32
1-623792185,102
1-623859845,0
1-623873811,12
1-624009613,0
1-624219528,0
1-624305845,45
1-624403918,43
1-624450715,39
1-624711258,74
1-624745314,0
1-624845426,74
1-625322174,25
1-625459293,25
1-625628532,0
1-625634702,39
1-625634824,39
1-625634936,39
1-625646775,0
1-626102521,0
1-626212681,23
1-626292231,39
1-626462354,39
1-626510640,40
1-626515794,32
1-626760391,39
1-626834451,39
1-627163101,14
1-627190551,3
1-627336700,23
1-627337013,39
1-627532005,23
1-627557462,39
1-627630611,74
1-627878397,39
1-627936524,0
1-627980711,0
1-628078553,0
1-628105478,23
1-628203323,58
1-628222366,0
1-628255780,0
1-628669941,0
1-628704675,61
1-629618537,23
1-629629428,23
1-629642635,32
1-629991273,39
1-630156753,74
1-630493188,0
1-631001113,0
1-631117870,47
1-631509503,0
1-632486751,23
1-633036453,74
1-633092732,39
1-633184307,0
1-634447637,23
1-634479154,0
1-634487640,0
1-634506651,0
1-634533656,0
1-635351501,0
1-635382525,0
1-635404161,39
1-636080278,13
1-636102195,30
1-636501102,0
1-636789520,0
1-636849620,32
1-636852199,23
1-636867758,0
1-636931254,12
1-637035141,0
1-637059802,0
1-637089310,3
1-637142120,0
1-637222863,101
1-637283508,74
1-637307494,45
1-637327254,0
1-637516103,74
1-637580967,39
1-637591141,0
1-637685994,0
1-637713545,25
1-637713651,0
1-637716645,0
1-637893062,23
1-637954950,0
1-638034021,0
1-638041299,0
1-638091067,11
1-638112911,0
1-638653931,0
1-638961317,0
1-638962731,23
1-639009338,39
1-639028876,0
1-639870000,0
1-639881579,0
1-639930880,35
1-639942581,23
1-640059801,0
1-640093069,42
1-640254885,92
1-640263496,0
1-640387614,55
1-641023492,0
1-641044311,39
1-641083751,23
1-641083987,23
1-641100891,0
1-641104060,74
1-641157962,0
1-641232069,35
1-641243011,14
1-641306231,0
1-641323677,23
1-641491883,0
1-641530471,83
1-642418588,0
1-642478708,0
1-642579219,30
1-642761240,0
1-642766943,23
1-642802641,32
1-642846054,39
1-643444986,74
1-643445547,0
1-643468705,0
1-643532122,0
1-643556695,0
1-643685369,23
1-643685396,28
1-643706642,39
1-643747498,0
1-643809664,47
1-644748889,0
1-644827840,0
1-644992956,23
1-647796802,32
1-647802297,0
1-647841758,92
1-647929267,0
1-648105181,39
1-648231508,0
1-648497601,74
1-648807492,0
1-648839266,0
1-648861744,0
1-649302225,0
1-649302263,0
1-649887393,0
1-649984202,0
1-650008427,0
1-650011031,0
1-650025535,0
1-650081295,32
1-650123293,23
1-650135511,0
1-650241321,0
1-650243662,23
1-650892393,0
1-651084211,0
1-651096273,0
1-651206715,0
1-651398271,74
1-651922251,0
1-651922470,0
1-651922594,0
1-651951532,0
1-652112015,13
1-652195634,13
1-652259831,0
1-652270498,0
1-652874271,0
1-652925445,0
1-652935537,0
1-653135006,39
1-653254236,39
1-653314473,45
1-653878594,0
1-653988751,39
1-653989471,22
1-654056225,0
1-654146231,45
1-654348241,39
1-654369162,0
1-654403938,26
1-655213351,39
1-655235043,3
1-655379467,0
1-655429981,0
1-655536176,0
1-655607132,39
1-655719611,0
1-655739451,0
1-656151409,23
1-656224707,0
1-656225465,74
1-656510751,0
1-656868426,23
1-657063150,78
1-657163590,39
1-657368644,0
1-657412381,6
1-657534681,0
1-657768145,39
1-657874936,39
1-657934265,0
1-658022616,0
1-658063672,39
1-658092528,0
1-658125909,0
1-658259614,0
1-658537939,39
1-658594692,39
1-658627294,39
1-658627419,39
1-658792860,39
1-659137375,39
1-659170761,0
1-659231191,0
1-659239126,39
1-659284621,0
1-659284863,0
1-659376592,0
1-659539868,0
1-659618631,0
1-659716213,45
1-659718901,32
1-659782951,0
1-659922661,69
1-659934601,23
1-660054568,0
1-660268091,12
1-660374694,23
1-660393401,39
1-660483225,0
1-660509893,74
1-660592931,0
1-660602952,0
1-660636558,101
1-660648920,47
1-660785867,0
1-660786538,39
1-660808741,0
1-660873096,0
1-660903884,45
1-660908181,0
1-660948681,0
1-660949435,0
1-660956878,0
1-661132868,0
1-661134924,25
1-661184751,87
1-661231558,0
1-661706786,39
1-662272981,39
1-662956121,0
1-663582660,61
1-663749238,39
1-663851111,0
1-663891165,32
1-664001411,0
1-664579051,0
1-664730121,39
1-664912261,0
1-669119156,54
1-669144071,0
1-669202942,0
1-669804759,0
1-670052598,0
1-670754761,11
1-671350354,0
1-671512033,0
1-671933304,39
1-672299434,39
1-672506739,35
1-672647650,0
1-672740630,39
1-672743704,0
1-672807011,39
1-672860819,39
1-672862385,61
1-672975080,45
1-673056371,0
1-673143636,0
1-673151866,0
1-673197539,39
1-673224718,25
1-673359575,32
1-673405851,0
1-673429845,83
1-673434441,0
1-673487817,39
1-675046360,39
1-675115616,0
1-675150191,58
1-675150672,69
1-675664904,0
1-675685459,27
1-675739721,0
1-675758382,39
1-675758444,0
1-675797761,27
1-675826063,103
1-675828021,45
1-677811170,63
1-678370811,39
1-678626550,39
1-678755621,47
1-679235759,0
1-681706381,0
1-681864502,23
1-681929091,69
1-682059903,74
1-682262974,10
1-682277823,0
1-682342767,74
1-682357851,45
1-682409211,39
1-682409241,39
1-683064635,0
1-683298971,23
1-683752875,25
1-684108661,0
1-684991415,0
1-685018675,0
1-685134878,13
1-685300128,39
1-686405886,39
1-686475951,0
1-686477306,39
1-686531969,27
1-686535660,0
1-686557724,23
1-686581779,0
1-686642441,1
1-686642543,61
1-686854421,0
1-686856862,0
1-686945977,23
1-686966285,39
1-687129760,39
1-687133944,0
1-687309895,0
1-687587336,0
1-687589251,13
1-687649700,39
1-687668119,69
1-687830906,0
1-688280019,87
1-688342754,23
1-688380091,54
1-688491391,0
1-688509388,39
1-688515611,32
1-688564654,0
1-688564824,87
1-688725917,35
1-689160381,39
1-689176751,0
1-689252781,39
1-689341321,0
1-689469104,10
1-689525975,39
1-690184941,39
1-690190570,39
1-690249637,0
1-690327801,0
1-690327837,0
1-690352118,0
1-690419865,39
1-690447511,74
1-690458151,0
1-690762471,83
1-690896014,0
1-690926911,0
1-690931471,74
1-691031201,0
1-691093464,74
1-691146566,0
1-691176158,0
1-691221687,53
1-691767241,39
1-691786096,69
1-691786330,25
1-691832225,0
1-692042197,39
1-692055495,74
1-692193396,69
1-692715494,0
1-692813576,39
1-692959195,39
1-693343054,0
1-693357728,0
1-693456968,83
1-693469757,0
1-693469771,0
1-693592211,0
1-693595112,0
1-693595201,61
1-693732401,1
1-693741781,39
1-693748777,0
1-693789171,72
1-693812929,39
1-693895885,23
1-693937519,0
1-694212171,0
1-694222066,102
1-694338411,45
1-694346343,39
1-694354058,83
1-694385837,72
1-694420679,0
1-694464235,0
1-694509209,0
1-694597155,32
1-694794065,23
1-694808152,0
1-694828073,63
1-694899814,45
1-694923791,0
1-695030407,0
1-695241661,0
1-695258011,32
1-695309312,0
1-695316021,39
1-695425289,32
1-695486321,61
1-695616474,0
1-695748265,39
1-695801720,0
