CaseIds,Labels
1-109135791,44
1-147898401,65
1-165554831,27
1-172473423,27
1-182640781,26
1-230541365,41
1-236817141,26
1-270399977,31
1-270427461,27
1-310231291,20
1-316086072,55
1-320604521,32
1-322204195,28
1-322581861,32
1-322980802,2
1-323264491,20
1-323462732,41
1-327329880,27
1-329451027,26
1-329647261,59
1-330634474,36
1-331478885,41
1-332389008,16
1-333164156,21
1-335260940,4
1-337229341,32
1-338946805,20
1-339798202,20
1-339889001,20
1-340984229,32
1-341002175,20
1-342442140,2
1-345132462,41
1-345255471,35
1-347461373,20
1-347923966,65
1-347924629,50
1-349857482,2
1-351187625,20
1-351314317,16
1-351869391,20
1-353818791,35
1-354039443,27
1-354090772,59
1-354350908,50
1-354376900,50
1-356055231,53
1-356879617,59
1-357087417,16
1-357610411,20
1-358038911,34
1-358776870,20
1-359215498,27
1-359781492,2
1-359841262,8
1-360072755,26
1-360464815,50
1-360667704,20
1-361368011,20
1-363041157,2
1-363206822,36
1-363549934,16
1-364018090,26
1-364458525,50
1-364528467,26
1-365052802,0
1-365189372,32
1-365702595,16
1-366462246,20
1-366509892,16
1-366584206,16
1-366698569,41
1-366726662,41
1-366923538,31
1-367002597,50
1-367648732,16
1-367921041,49
1-368322765,21
1-368929048,16
1-369693874,16
1-369989135,65
1-370436092,26
1-370452680,31
1-371498622,16
1-371631962,2
1-371672096,16
1-372029512,34
1-372555278,24
1-372579132,16
1-372858362,16
1-372978779,53
1-373110819,16
1-373268674,16
1-373413519,16
1-373413971,16
1-374379174,16
1-374630866,16
1-374832944,48
1-375337251,16
1-375430388,16
1-375644051,31
1-375646314,16
1-375670011,2
1-376424233,20
1-377083756,24
1-377276064,16
1-377458451,16
1-378050311,54
1-378054711,16
1-378744625,31
1-378976624,28
1-379209685,20
1-379702919,44
1-379789104,41
1-380297615,27
1-380392616,24
1-380527184,24
1-380632889,53
1-380654568,16
1-380885044,25
1-381124870,27
1-382209384,27
1-382442048,26
1-383789251,2
1-384097130,59
1-384757914,38
1-385201933,26
1-385278464,2
1-385311756,16
1-386495623,20
1-386782865,26
1-388028918,49
1-388230583,17
1-388644366,16
1-388724672,16
1-389195082,59
1-390250582,59
1-390722958,50
1-390819078,49
1-392590655,2
1-392812598,16
1-393413330,16
1-396569277,16
1-397446945,16
1-397806545,41
1-399013423,22
1-399628501,41
1-400351079,20
1-400528782,52
1-402212071,20
1-402328919,2
1-402612770,59
1-403006315,24
1-404005175,20
1-404084309,50
1-404736991,49
1-405112616,65
1-405248961,59
1-406010922,53
1-406066421,59
1-406852699,20
1-406875315,36
1-407517548,20
1-407737529,26
1-407876996,37
1-408853759,16
1-409247778,16
1-409309026,20
1-410929705,16
1-411078092,16
1-413205820,36
1-413276708,20
1-413665008,2
1-415000020,31
1-415822336,21
1-415946366,50
1-416247009,50
1-417868043,8
1-418122119,16
1-418890453,52
1-419236954,59
1-419614582,20
1-419783741,20
1-419783822,20
1-422390390,20
1-422418092,53
1-422877530,16
1-423484126,2
1-423648343,16
1-423724447,2
1-423751353,8
1-424022692,16
1-424065923,16
1-424243405,20
1-424668301,16
1-426876102,16
1-426969419,16
1-427498853,26
1-427614010,2
1-427955007,27
1-428252132,44
1-428421057,16
1-429498598,27
1-429979181,24
1-430150814,41
1-430793848,2
1-430836105,20
1-430880486,20
1-431797119,16
1-432419251,26
1-432687815,50
1-433161361,16
1-433309965,49
1-433710534,62
