CaseIds,Labels
1-109135791,14
1-147898401,11
1-165554831,21
1-172473423,21
1-182640781,19
1-230541365,31
1-236817141,19
1-270399977,38
1-270427461,21
1-310231291,27
1-316086072,9
1-320604521,1
1-322204195,33
1-322581861,1
1-322980802,10
1-323264491,27
1-323462732,40
1-327329880,21
1-329451027,36
1-329647261,26
1-330634474,15
1-331478885,31
1-332389008,15
1-333164156,42
1-335260940,8
1-337229341,29
1-338946805,27
1-339798202,27
1-339889001,27
1-340984229,1
1-341002175,27
1-342442140,10
1-345132462,31
1-345255471,16
1-347461373,27
1-347923966,11
1-347924629,7
1-349857482,10
1-351187625,27
1-351314317,15
1-351869391,27
1-353818791,16
1-354039443,21
1-354090772,26
1-354350908,7
1-354376900,7
1-356055231,36
1-356879617,26
1-357087417,15
1-357610411,27
1-358038911,2
1-358776870,27
1-359215498,21
1-359781492,10
1-359841262,43
1-360072755,19
1-360464815,7
1-360667704,27
1-361368011,27
1-363041157,10
1-363206822,15
1-363549934,15
1-364018090,19
1-364458525,7
1-364528467,19
1-365052802,14
1-365189372,29
1-365702595,15
1-366462246,27
1-366509892,15
1-366584206,15
1-366698569,40
1-366726662,31
1-366923538,38
1-367002597,7
1-367648732,15
1-367921041,20
1-368322765,42
1-368929048,15
1-369693874,15
1-369989135,11
1-370436092,19
1-370452680,38
1-371498622,15
1-371631962,10
1-371672096,15
1-372029512,4
1-372555278,43
1-372579132,15
1-372858362,15
1-372978779,36
1-373110819,15
1-373268674,15
1-373413519,15
1-373413971,15
1-374379174,15
1-374630866,15
1-374832944,3
1-375337251,15
1-375430388,15
1-375644051,38
1-375646314,15
1-375670011,10
1-376424233,27
1-377083756,12
1-377276064,15
1-377458451,15
1-378050311,14
1-378054711,15
1-378744625,38
1-378976624,33
1-379209685,27
1-379702919,14
1-379789104,40
1-380297615,21
1-380392616,12
1-380527184,12
1-380632889,36
1-380654568,15
1-380885044,2
1-381124870,21
1-382209384,21
1-382442048,19
1-383789251,10
1-384097130,26
1-384757914,20
1-385201933,19
1-385278464,10
1-385311756,15
1-386495623,27
1-386782865,19
1-388028918,20
1-388230583,17
1-388644366,15
1-388724672,15
1-389195082,12
1-390250582,26
1-390722958,7
1-390819078,20
1-392590655,10
1-392812598,15
