CaseIds,Labels
1-109135791,29
1-147898401,13
1-165554831,28
1-172473423,28
1-182640781,15
1-230541365,16
1-236817141,15
1-270399977,52
1-270427461,28
1-310231291,8
1-316086072,44
1-320604521,25
1-322204195,36
1-322581861,25
1-322980802,1
1-323264491,8
1-323462732,42
1-327329880,28
1-329451027,0
1-329647261,61
1-330634474,31
1-331478885,16
1-332389008,31
1-333164156,54
1-335260940,4
1-337229341,62
1-338946805,8
1-339798202,8
1-339889001,8
1-340984229,25
1-341002175,8
1-342442140,1
1-345132462,16
1-345255471,43
1-347461373,8
1-347923966,13
1-347924629,26
1-349857482,1
1-351187625,8
1-351314317,31
1-351869391,8
1-353818791,43
1-354039443,28
1-354090772,22
1-354350908,26
1-354376900,26
1-356055231,41
1-356879617,22
1-357087417,31
1-357610411,8
1-358038911,18
1-358776870,8
1-359215498,28
1-359781492,1
1-359841262,12
1-360072755,15
1-360464815,26
1-360667704,8
1-361368011,8
1-363041157,1
1-363206822,31
1-363549934,31
1-364018090,15
1-364458525,26
1-364528467,15
1-365052802,4
1-365189372,62
1-365702595,31
1-366462246,8
1-366509892,31
1-366584206,31
1-366698569,11
1-366726662,16
1-366923538,52
1-367002597,26
1-367648732,31
1-367921041,49
1-368322765,54
1-368929048,31
1-369693874,31
1-369989135,13
1-370436092,15
1-370452680,52
1-371498622,31
1-371631962,1
1-371672096,31
1-372029512,0
1-372555278,1
1-372579132,31
1-372858362,31
1-372978779,41
1-373110819,31
1-373268674,31
1-373413519,31
1-373413971,31
1-374379174,31
1-374630866,31
1-374832944,34
1-375337251,31
1-375430388,31
1-375644051,52
1-375646314,31
1-375670011,1
1-376424233,8
1-377083756,57
1-377276064,31
1-377458451,31
1-378050311,50
1-378054711,31
1-378744625,52
1-378976624,36
1-379209685,8
1-379702919,29
1-379789104,42
1-380297615,28
1-380392616,57
1-380527184,57
1-380632889,41
1-380654568,31
1-380885044,7
1-381124870,28
1-382209384,28
1-382442048,15
1-383789251,1
1-384097130,22
1-384757914,32
1-385201933,15
1-385278464,1
1-385311756,31
1-386495623,8
1-386782865,15
1-388028918,49
1-388230583,37
1-388644366,31
1-388724672,31
1-389195082,24
1-390250582,22
1-390722958,26
1-390819078,49
1-392590655,1
1-392812598,31
1-393413330,31
1-396569277,31
1-397446945,31
1-397806545,16
1-399013423,35
1-399628501,42
1-400351079,8
1-400528782,58
1-402212071,8
1-402328919,1
1-402612770,61
1-403006315,57
1-404005175,8
1-404084309,26
1-404736991,51
1-405112616,13
1-405248961,61
1-406010922,41
1-406066421,61
1-406852699,8
1-406875315,31
1-407517548,8
1-407737529,15
1-407876996,23
1-408853759,31
1-409247778,31
1-409309026,8
1-410929705,31
1-411078092,31
1-413205820,31
1-413276708,8
1-413665008,1
1-415000020,52
1-415822336,54
1-415946366,26
1-416247009,26
1-417868043,45
1-418122119,31
1-418890453,58
1-419236954,61
1-419614582,8
1-419783741,8
1-419783822,8
1-422390390,8
1-422418092,41
1-422877530,31
1-423484126,1
1-423648343,31
1-423724447,1
1-423751353,45
1-424022692,31
1-424065923,31
1-424243405,8
1-424668301,31
1-426876102,31
1-426969419,31
1-427498853,15
1-427614010,1
1-427955007,28
1-428252132,29
1-428421057,31
1-429498598,28
1-429979181,1
1-430150814,42
1-430793848,1
1-430836105,8
1-430880486,8
1-431797119,31
1-432419251,15
1-432687815,26
1-433161361,31
