CaseIds,Labels
1-109135791,12
1-147898401,43
1-165554831,41
1-172473423,41
1-182640781,27
1-230541365,52
1-236817141,27
1-270399977,57
1-270427461,41
1-310231291,6
1-316086072,15
1-320604521,1
1-322204195,24
1-322581861,1
1-322980802,0
1-323264491,6
1-323462732,16
1-327329880,41
1-329451027,24
1-329647261,49
1-330634474,32
1-331478885,52
1-332389008,10
1-333164156,40
1-335260940,12
1-337229341,9
1-338946805,6
1-339798202,6
1-339889001,6
1-340984229,1
1-341002175,6
1-342442140,0
1-345132462,52
1-345255471,0
1-347461373,6
1-347923966,43
1-347924629,33
1-349857482,0
1-351187625,6
1-351314317,25
1-351869391,6
1-353818791,22
1-354039443,41
1-354090772,53
1-354350908,33
1-354376900,33
1-356055231,37
1-356879617,24
1-357087417,25
1-357610411,6
1-358038911,14
1-358776870,6
1-359215498,41
1-359781492,0
1-359841262,54
1-360072755,30
1-360464815,33
1-360667704,6
1-361368011,6
1-363041157,0
1-363206822,32
1-363549934,25
1-364018090,27
1-364458525,33
1-364528467,27
1-365052802,32
1-365189372,9
1-365702595,25
1-366462246,6
1-366509892,25
1-366584206,25
1-366698569,24
1-366726662,52
1-366923538,45
1-367002597,33
1-367648732,25
1-367921041,19
1-368322765,40
1-368929048,25
1-369693874,25
1-369989135,43
1-370436092,30
1-370452680,29
1-371498622,25
1-371631962,0
1-371672096,25
1-372029512,37
1-372555278,44
1-372579132,25
1-372858362,25
1-372978779,45
1-373110819,25
1-373268674,25
1-373413519,25
1-373413971,25
1-374379174,25
1-374630866,25
1-374832944,37
1-375337251,25
1-375430388,25
1-375644051,57
1-375646314,25
1-375670011,0
1-376424233,6
1-377083756,40
1-377276064,25
1-377458451,25
1-378050311,51
1-378054711,25
1-378744625,45
1-378976624,54
1-379209685,6
1-379702919,18
1-379789104,7
1-380297615,41
1-380392616,38
1-380527184,38
1-380632889,37
1-380654568,25
1-380885044,4
1-381124870,41
1-382209384,41
1-382442048,30
1-383789251,0
1-384097130,51
1-384757914,34
1-385201933,30
1-385278464,0
1-385311756,25
1-386495623,6
1-386782865,30
1-388028918,38
1-388230583,53
1-388644366,25
1-388724672,25
1-389195082,56
1-390250582,31
1-390722958,33
1-390819078,38
1-392590655,0
1-392812598,25
1-393413330,25
1-396569277,25
1-397446945,25
1-397806545,52
1-399013423,35
1-399628501,16
1-400351079,6
1-400528782,23
1-402212071,6
1-402328919,0
1-402612770,24
1-403006315,38
1-404005175,6
1-404084309,33
1-404736991,46
1-405112616,43
1-405248961,49
1-406010922,57
1-406066421,49
1-406852699,6
1-406875315,32
1-407517548,6
1-407737529,30
1-407876996,28
1-408853759,25
1-409247778,25
1-409309026,6
1-410929705,25
1-411078092,25
1-413205820,32
1-413276708,6
1-413665008,0
1-415000020,45
1-415822336,40
1-415946366,33
1-416247009,33
1-417868043,51
1-418122119,25
1-418890453,23
1-419236954,49
1-419614582,6
1-419783741,6
1-419783822,6
1-422390390,6
1-422418092,37
1-422877530,25
1-423484126,0
1-423648343,25
1-423724447,0
1-423751353,51
1-424022692,25
1-424065923,25
1-424243405,6
1-424668301,25
1-426876102,25
1-426969419,25
1-427498853,30
1-427614010,0
1-427955007,41
1-428252132,18
