CaseIds,Labels
1-364285768,45
1-467153946,27
1-503573772,58
1-504538555,78
1-506071646,51
1-512795200,30
1-516553982,82
1-522528740,34
1-523391859,57
1-529067006,78
1-529096847,51
1-530458987,30
1-530772502,50
1-530838254,27
1-532109338,82
1-536444735,31
1-536481337,73
1-537219938,69
1-540390551,34
1-541468268,25
1-543317665,15
1-543979253,14
1-544969832,72
1-544976636,68
1-550213097,96
1-557297151,73
1-559795575,59
1-565045794,30
1-567358917,36
1-577292898,69
1-578864726,68
1-580893958,78
1-580987781,20
1-583200733,70
1-587101946,36
1-593737913,54
1-594260021,36
1-597436480,56
1-601328051,85
1-603556351,32
1-603749197,45
1-604144478,72
1-605313141,33
1-605956457,96
1-606902814,4
1-609835209,34
1-611261188,59
1-613379581,90
1-614948909,39
1-617858557,27
1-618854217,91
1-619069761,15
1-620611187,40
1-620858291,68
1-621825480,39
1-623778166,99
1-626766981,53
1-627819166,27
1-627973205,75
1-629364071,52
1-629883996,51
1-630181491,68
1-632620937,48
1-634340171,57
1-634738521,15
1-635268712,59
1-635375181,41
1-636928149,31
1-637842042,96
1-638018481,65
1-638289351,88
1-638742591,76
1-638841644,52
1-638945511,1
1-642373523,47
1-642402641,64
1-642411971,36
1-642714990,82
1-642761396,50
1-642781041,16
1-643338463,88
1-643546500,61
1-643684191,64
1-643733486,84
1-644761840,39
1-647788578,84
1-647953636,50
1-648471635,30
1-648654669,88
1-649830550,74
1-649950870,15
1-650013051,52
1-651196130,66
1-651324866,4
1-652256138,70
1-652468131,54
1-652924814,23
1-652947231,54
1-653391886,88
1-654423931,36
1-655021441,68
1-655281402,59
1-656241183,74
1-656373348,94
1-656450664,50
1-657323705,4
1-657893589,88
1-657900377,74
1-658045761,1
1-658345511,52
1-658515933,4
1-658538636,99
1-659129745,4
1-659713703,73
1-660051308,40
1-660218981,35
1-660730501,47
1-660865454,55
1-660915327,75
1-665922195,70
1-673825643,7
1-682281772,25
1-683319231,88
1-683762637,83
1-684012815,93
1-684695843,55
1-685098751,34
1-685155470,47
1-686398767,60
1-686497432,51
1-686580161,90
1-686609791,73
1-686885675,14
1-687082195,75
1-687085471,15
1-687329729,25
1-687521104,23
1-687544011,52
1-687638428,25
1-687647619,73
1-687710013,4
1-688278051,36
1-688624453,60
1-688689511,48
1-688696731,86
1-689206959,63
1-689461262,40
1-689501709,56
1-690238688,91
1-690422411,36
1-690436171,59
1-690839783,30
1-691049627,50
1-691129791,4
1-691759626,47
1-691782323,30
1-691794481,30
1-691811604,4
1-691832279,70
1-691950241,72
1-691971107,27
1-692009261,65
1-692067345,75
1-692755228,13
1-692758611,3
1-692758994,72
1-692918254,60
1-693021183,82
1-693200675,34
1-693253181,56
1-693258975,23
1-693300691,60
1-693352046,57
1-693412654,59
1-693587250,84
1-693822171,20
1-693837467,88
1-694035053,3
1-694236018,51
1-694266600,4
1-694274811,73
1-694300980,82
1-694339964,51
1-694346169,88
1-694375168,39
1-694457714,73
1-694782353,74
1-694796871,1
1-694844381,15
1-694845331,58
1-694868667,53
1-694899341,74
1-694975897,70
1-695147297,89
1-695221831,67
1-695298616,23
1-695360832,73
1-695452478,63
1-695486451,51
1-695870591,69
1-695872361,36
1-696080795,8
1-696101645,61
1-696163170,83
1-696361691,90
1-696484951,90
1-696831586,5
1-696861441,72
1-696882469,63
1-696894381,63
1-696911694,73
1-696915401,20
1-696981592,51
1-697462851,59
1-697478298,66
1-697528961,55
1-697746161,84
1-697751037,27
1-697774726,8
1-697777158,41
1-697896972,70
1-697955020,72
1-698029651,37
1-698029851,83
1-698036851,57
1-698065363,15
1-698350971,70
1-698400941,58
1-698487635,39
1-698555281,42
1-698572466,62
1-698843072,25
1-698990450,51
