CaseIds,Labels
1-364285768,50
1-467153946,17
1-503573772,68
1-504538555,14
1-506071646,26
1-512795200,17
1-516553982,14
1-522528740,62
1-523391859,23
1-529067006,14
1-529096847,69
1-530458987,46
1-530772502,29
1-530838254,14
1-532109338,14
1-536444735,62
1-536481337,54
1-537219938,39
1-540390551,29
1-541468268,50
1-543317665,56
1-543979253,73
1-544969832,49
1-544976636,29
1-550213097,56
1-557297151,68
1-559795575,56
1-565045794,52
1-567358917,61
1-577292898,68
1-578864726,47
1-580893958,68
1-580987781,27
1-583200733,53
1-587101946,28
1-593737913,5
1-594260021,61
1-597436480,72
1-601328051,31
1-603556351,71
1-603749197,54
1-604144478,49
1-605313141,3
1-605956457,26
1-606902814,67
1-609835209,62
1-611261188,26
1-613379581,25
1-614948909,57
1-617858557,52
1-618854217,42
1-619069761,56
1-620611187,27
1-620858291,29
1-621825480,14
1-623778166,47
1-626766981,38
1-627819166,26
1-627973205,64
1-629364071,75
1-629883996,14
1-630181491,62
1-632620937,31
1-634340171,23
1-634738521,14
1-635268712,14
1-635375181,65
1-636928149,32
1-637842042,68
1-638018481,50
1-638289351,44
1-638742591,64
1-638841644,5
1-638945511,38
1-642373523,68
1-642402641,43
1-642411971,31
1-642714990,46
1-642761396,62
1-642781041,37
1-643338463,44
1-643546500,50
1-643684191,43
1-643733486,70
1-644761840,14
1-647788578,70
1-647953636,32
1-648471635,14
1-648654669,44
1-649830550,10
1-649950870,56
1-650013051,75
1-651196130,35
1-651324866,67
1-652256138,79
1-652468131,44
1-652924814,40
1-652947231,9
1-653391886,44
1-654423931,42
1-655021441,36
1-655281402,17
1-656241183,38
1-656373348,18
1-656450664,29
1-657323705,67
1-657893589,44
1-657900377,14
1-658045761,38
1-658345511,27
1-658515933,67
1-658538636,47
1-659129745,67
1-659713703,68
1-660051308,25
1-660218981,61
1-660730501,26
1-660865454,79
1-660915327,69
1-665922195,79
1-673825643,55
1-682281772,50
1-683319231,44
1-683762637,17
1-684012815,50
1-684695843,79
1-685098751,77
1-685155470,69
1-686398767,71
1-686497432,14
1-686580161,22
1-686609791,61
1-686885675,73
1-687082195,17
1-687085471,78
1-687329729,35
1-687521104,40
1-687544011,75
1-687638428,50
1-687647619,68
1-687710013,67
1-688278051,42
1-688624453,71
1-688689511,47
1-688696731,25
1-689206959,2
1-689461262,27
1-689501709,72
1-690238688,49
1-690422411,42
1-690436171,39
1-690839783,56
1-691049627,62
1-691129791,67
1-691759626,54
1-691782323,29
1-691794481,31
1-691811604,67
1-691832279,79
1-691950241,72
1-691971107,56
1-692009261,32
1-692067345,57
1-692755228,28
1-692758611,49
1-692758994,72
1-692918254,9
1-693021183,14
1-693200675,62
1-693253181,33
1-693258975,40
1-693300691,38
1-693352046,23
1-693412654,60
1-693587250,9
1-693822171,75
1-693837467,44
1-694035053,57
1-694236018,64
1-694266600,67
