CaseIds,Labels
173688,13
173691,36
173694,26
173697,1
173700,1
173703,52
173706,21
173709,18
173712,21
173715,37
173718,49
173721,6
173724,7
173727,1
173730,49
173733,3
173736,26
173739,27
173742,56
173745,5
173748,20
173751,37
173754,32
173757,1
173760,13
173763,3
173766,19
173769,1
173772,1
173775,34
173778,3
173781,31
173784,39
173787,35
173790,9
173793,6
173796,7
173799,24
173802,3
173805,56
173808,1
173811,50
173814,30
173817,44
173820,1
173823,37
173826,7
173829,10
173832,1
173835,12
173838,1
173841,28
173844,13
173847,7
173850,1
173853,1
173856,46
173859,11
173862,3
173865,1
173868,9
173871,6
173874,1
173877,1
173880,26
173883,1
173886,1
173889,3
173892,1
173895,1
173898,15
173901,3
173904,3
173907,1
173910,1
173913,9
173916,8
173919,48
173922,1
173925,10
173928,39
173931,1
173934,3
173937,55
173940,27
173943,53
173946,11
173949,50
173952,1
173955,38
173958,51
173961,3
173964,8
173979,37
173982,48
173985,61
173988,11
173991,1
173994,1
173997,13
174000,56
174003,1
174006,3
174009,55
174012,56
174015,3
174018,51
174021,3
174024,21
174027,3
174030,26
174033,1
174036,26
174039,60
174042,59
174045,41
174048,31
174051,46
174054,1
174057,1
174060,39
174063,1
174066,1
174069,26
174072,3
174075,3
174078,12
174081,1
174084,59
174087,13
174090,13
174093,35
174096,26
174099,56
174102,8
174105,51
174108,1
174111,18
174114,3
174117,3
174120,40
174123,3
174126,3
174129,3
174132,39
174135,3
174138,21
174141,55
174144,0
174147,20
174150,35
174153,25
174156,1
174159,26
174162,3
174165,1
174168,59
174171,1
174174,1
174177,0
174180,19
174183,1
174186,30
174189,1
174192,1
174195,8
174198,42
174201,42
174204,3
174207,43
174210,1
174213,7
174216,27
174219,10
174222,1
174225,1
174228,3
174231,48
174234,3
174237,41
174240,30
174243,30
174246,3
174249,35
174252,59
174255,12
174258,30
174261,54
174264,47
174267,1
174270,47
174273,3
174276,1
174279,42
174282,3
174285,6
174288,46
174291,20
174294,60
174297,10
174300,3
174303,10
174319,36
174322,35
174325,27
174328,1
174331,30
174334,29
174337,47
174340,1
174343,41
174346,3
174349,35
174352,3
174355,3
174358,47
174361,37
174364,3
174367,15
174370,1
174373,1
174376,7
174379,37
174382,26
174385,37
174388,17
174391,1
174394,7
174397,38
174400,30
174403,36
174406,53
174409,41
174412,1
174415,37
174418,26
174421,7
174424,36
174427,1
174430,37
174433,45
174436,26
174439,1
174442,46
174445,24
174448,6
174451,18
174454,1
174457,51
174460,1
174463,41
174466,1
174469,61
174472,3
174475,52
174478,41
174481,12
174484,21
174487,37
174490,40
174493,20
174496,31
174499,3
174502,50
174505,16
174508,40
174511,47
174514,1
174517,47
174520,1
174523,1
174526,3
174529,36
174532,3
174535,13
174538,22
174541,56
174544,1
174547,60
174559,26
174562,15
174565,15
174568,20
174571,48
174574,3
174577,47
174599,1
174602,61
174605,13
174608,31
174611,30
174614,56
174617,1
174620,12
174623,3
174626,46
174629,9
174632,1
174635,9
174638,37
174641,1
174644,60
174647,3
174650,41
174653,22
174656,36
174659,41
174662,1
174665,3
174668,46
174671,60
174674,1
174677,1
174680,1
174683,0
174686,0
174689,32
174692,1
174695,13
174698,1
174701,1
174704,1
174707,56
174710,55
174713,30
174716,21
174719,23
174722,26
174725,1
174728,3
174731,46
174734,46
174737,20
174740,56
174743,46
174746,46
174749,32
174752,13
174755,46
174758,33
174761,59
174764,41
174767,61
174770,46
174773,12
174776,1
174779,13
174782,3
174785,41
174788,1
174791,1
174794,3
174797,1
174800,37
