CaseIds,Labels
1-109135791,13
1-147898401,4
1-165554831,4
1-172473423,4
1-182640781,11
1-230541365,4
1-236817141,11
1-270399977,6
1-270427461,4
1-310231291,2
1-316086072,7
1-320604521,1
1-322204195,6
1-322581861,1
1-322980802,1
1-323264491,2
1-323462732,4
1-327329880,4
1-329451027,11
1-329647261,8
1-330634474,0
1-331478885,4
1-332389008,0
1-333164156,6
1-335260940,3
1-337229341,2
1-338946805,2
1-339798202,2
1-339889001,2
1-340984229,1
1-341002175,2
1-342442140,1
1-345132462,4
1-345255471,5
1-347461373,2
1-347923966,4
1-347924629,12
1-349857482,1
1-351187625,2
1-351314317,0
1-351869391,2
1-353818791,5
1-354039443,4
1-354090772,8
1-354350908,12
1-354376900,12
1-356055231,11
1-356879617,8
1-357087417,0
1-357610411,2
1-358038911,10
1-358776870,2
1-359215498,4
1-359781492,1
1-359841262,0
1-360072755,11
1-360464815,12
1-360667704,2
1-361368011,2
1-363041157,1
1-363206822,0
1-363549934,0
1-364018090,11
1-364458525,12
1-364528467,11
1-365052802,13
1-365189372,2
1-365702595,0
1-366462246,2
1-366509892,0
1-366584206,0
1-366698569,4
1-366726662,4
1-366923538,6
1-367002597,12
1-367648732,0
1-367921041,6
1-368322765,6
1-368929048,0
1-369693874,0
1-369989135,4
1-370436092,11
1-370452680,6
1-371498622,0
1-371631962,1
1-371672096,0
1-372029512,0
1-372555278,11
1-372579132,0
1-372858362,0
1-372978779,11
1-373110819,0
1-373268674,0
1-373413519,0
1-373413971,0
1-374379174,0
1-374630866,0
1-374832944,7
1-375337251,0
1-375430388,0
1-375644051,6
1-375646314,0
1-375670011,1
1-376424233,2
1-377083756,8
1-377276064,0
1-377458451,0
1-378050311,13
1-378054711,0
1-378744625,6
1-378976624,6
1-379209685,2
1-379702919,13
1-379789104,4
1-380297615,4
1-380392616,11
1-380527184,11
1-380632889,11
1-380654568,0
1-380885044,10
1-381124870,4
1-382209384,4
1-382442048,11
1-383789251,1
1-384097130,8
1-384757914,0
1-385201933,11
1-385278464,1
1-385311756,0
1-386495623,2
1-386782865,11
1-388028918,6
1-388230583,6
1-388644366,0
1-388724672,0
1-389195082,8
1-390250582,8
1-390722958,12
1-390819078,6
1-392590655,1
1-392812598,0
1-393413330,0
1-396569277,0
1-397446945,0
1-397806545,4
1-399013423,9
1-399628501,4
1-400351079,2
1-400528782,2
1-402212071,2
1-402328919,1
1-402612770,8
1-403006315,11
1-404005175,2
1-404084309,12
1-404736991,6
1-405112616,4
1-405248961,8
1-406010922,11
1-406066421,8
1-406852699,2
1-406875315,0
1-407517548,2
1-407737529,11
1-407876996,3
1-408853759,0
1-409247778,0
1-409309026,2
1-410929705,0
1-411078092,0
1-413205820,0
1-413276708,2
1-413665008,1
1-415000020,6
1-415822336,6
1-415946366,12
1-416247009,12
1-417868043,11
1-418122119,0
1-418890453,2
1-419236954,8
1-419614582,2
1-419783741,2
1-419783822,2
1-422390390,2
1-422418092,11
1-422877530,0
1-423484126,1
1-423648343,0
1-423724447,1
1-423751353,11
1-424022692,0
1-424065923,0
1-424243405,2
1-424668301,0
1-426876102,0
1-426969419,0
1-427498853,11
1-427614010,1
1-427955007,4
1-428252132,13
1-428421057,0
1-429498598,4
1-429979181,11
1-430150814,4
1-430793848,1
1-430836105,2
1-430880486,2
1-431797119,0
1-432419251,11
1-432687815,12
1-433161361,0
1-433309965,6
1-433710534,5
1-433910332,4
1-434419581,0
1-434892089,4
1-435824991,0
1-435825107,0
1-437141508,1
1-438526021,2
1-438897551,1
1-439833168,2
1-439863114,2
1-440576028,1
1-441507371,3
1-442885842,6
1-443175071,2
1-443637654,0
1-448698916,2
1-454389870,12
1-457173714,2
1-467257506,11
1-470328307,0
1-470714850,0
1-473084325,7
1-475885658,6
1-479002951,2
1-489198755,2
1-494629702,2
1-494871141,13
1-495101458,2
1-497807633,0
1-498002861,2
1-498324124,4
1-499289128,0
1-499289256,0
1-499540955,6
1-500208339,0
1-500427383,2
1-501925116,6
1-501969547,1
1-502353485,2
1-502697671,12
1-502769178,11
1-504048859,12
1-504498907,1
1-505194002,1
1-505194015,1
1-505416663,0
1-505443989,0
1-506092586,1
1-506108491,12
1-506236591,0
1-506866218,2
1-507679771,1
1-507774379,0
1-508044897,7
1-508462323,1
1-508825032,1
1-509892697,2
1-509912273,0
1-509915742,1
1-510142147,4
1-510399424,1
1-510423612,2
1-511755003,12
1-511787661,0
1-512617571,4
1-512654811,3
1-513031774,1
1-513032417,0
1-513135755,0
1-513180623,0
1-513395204,2
1-513767190,2
1-513864515,12
1-513910403,2
1-514223574,2
1-514311011,2
1-514618724,12
1-514712116,2
1-514832700,12
1-515461174,12
1-515617964,3
1-515834995,4
1-515873671,7
1-516141293,6
1-516860557,2
1-517002080,0
1-517045062,0
1-517399487,6
1-517490964,0
1-517828743,0
1-518362551,0
1-519020627,1
1-519054737,4
1-519065883,6
1-519085985,6
1-519147007,3
1-519167681,0
1-519386144,1
1-520127960,2
1-520234084,0
1-520705880,2
1-521122392,0
