CaseIds,Labels
1-109135791,18
1-147898401,0
1-165554831,56
1-172473423,56
1-182640781,53
1-230541365,28
1-236817141,53
1-270399977,59
1-270427461,56
1-310231291,70
1-316086072,18
1-320604521,6
1-322204195,63
1-322581861,6
1-322980802,30
1-323264491,70
1-323462732,61
1-327329880,56
1-329451027,6
1-329647261,50
1-330634474,53
1-331478885,28
1-332389008,78
1-333164156,17
1-335260940,71
1-337229341,66
1-338946805,70
1-339798202,70
1-339889001,70
1-340984229,6
1-341002175,70
1-342442140,30
1-345132462,28
1-345255471,3
1-347461373,70
1-347923966,0
1-347924629,46
1-349857482,30
1-351187625,70
1-351314317,9
1-351869391,70
1-353818791,15
1-354039443,56
1-354090772,45
1-354350908,46
1-354376900,46
1-356055231,53
1-356879617,79
1-357087417,9
1-357610411,70
1-358038911,49
1-358776870,70
1-359215498,56
1-359781492,30
1-359841262,25
1-360072755,75
1-360464815,46
1-360667704,70
1-361368011,70
1-363041157,30
1-363206822,53
1-363549934,9
1-364018090,53
1-364458525,46
1-364528467,53
1-365052802,38
1-365189372,26
1-365702595,9
1-366462246,70
1-366509892,9
1-366584206,9
1-366698569,61
1-366726662,28
1-366923538,84
1-367002597,46
1-367648732,9
1-367921041,73
1-368322765,65
1-368929048,9
1-369693874,9
1-369989135,0
1-370436092,75
1-370452680,52
1-371498622,9
1-371631962,30
1-371672096,9
1-372029512,71
1-372555278,35
1-372579132,9
1-372858362,9
1-372978779,71
1-373110819,9
1-373268674,9
1-373413519,9
1-373413971,9
1-374379174,9
1-374630866,9
1-374832944,15
1-375337251,9
1-375430388,9
1-375644051,59
1-375646314,9
1-375670011,30
1-376424233,70
1-377083756,63
1-377276064,9
1-377458451,9
1-378050311,8
1-378054711,9
1-378744625,84
1-378976624,14
1-379209685,70
1-379702919,57
1-379789104,10
1-380297615,56
1-380392616,63
1-380527184,63
1-380632889,77
1-380654568,9
1-380885044,13
1-381124870,56
1-382209384,56
1-382442048,75
1-383789251,30
1-384097130,50
1-384757914,85
1-385201933,75
1-385278464,30
1-385311756,9
1-386495623,70
1-386782865,75
1-388028918,14
1-388230583,78
1-388644366,9
1-388724672,9
1-389195082,76
1-390250582,79
1-390722958,46
1-390819078,14
1-392590655,30
1-392812598,9
1-393413330,9
1-396569277,9
1-397446945,9
1-397806545,28
1-399013423,69
1-399628501,61
1-400351079,70
1-400528782,64
1-402212071,70
1-402328919,30
1-402612770,79
1-403006315,63
1-404005175,70
1-404084309,46
1-404736991,78
1-405112616,0
1-405248961,29
1-406010922,38
1-406066421,29
1-406852699,70
1-406875315,53
1-407517548,70
1-407737529,75
1-407876996,42
1-408853759,9
1-409247778,9
1-409309026,70
1-410929705,9
1-411078092,9
1-413205820,53
1-413276708,70
1-413665008,30
1-415000020,84
1-415822336,34
1-415946366,46
1-416247009,46
1-417868043,76
1-418122119,9
1-418890453,64
1-419236954,29
1-419614582,70
1-419783741,70
1-419783822,70
1-422390390,70
1-422418092,77
1-422877530,9
1-423484126,30
1-423648343,9
1-423724447,30
1-423751353,8
1-424022692,9
1-424065923,9
1-424243405,70
1-424668301,9
1-426876102,9
1-426969419,9
1-427498853,75
1-427614010,30
1-427955007,56
1-428252132,57
1-428421057,9
1-429498598,56
1-429979181,76
1-430150814,10
1-430793848,30
1-430836105,70
1-430880486,70
1-431797119,9
1-432419251,75
1-432687815,46
1-433161361,9
1-433309965,85
1-433710534,65
1-433910332,61
1-434419581,9
1-434892089,0
