CaseIds,Labels
1-109135791,31
1-147898401,51
1-165554831,0
1-172473423,0
1-182640781,43
1-230541365,2
1-236817141,43
1-270399977,46
1-270427461,0
1-310231291,5
1-316086072,24
1-320604521,16
1-322204195,55
1-322581861,16
1-322980802,2
1-323264491,5
1-323462732,39
1-327329880,0
1-329451027,33
1-329647261,61
1-330634474,62
1-331478885,2
1-332389008,23
1-333164156,34
1-335260940,15
1-337229341,14
1-338946805,5
1-339798202,5
1-339889001,5
1-340984229,16
1-341002175,5
1-342442140,2
1-345132462,2
1-345255471,15
1-347461373,5
1-347923966,51
1-347924629,32
1-349857482,2
1-351187625,5
1-351314317,27
1-351869391,5
1-353818791,60
1-354039443,0
1-354090772,63
1-354350908,32
1-354376900,32
1-356055231,59
1-356879617,33
1-357087417,27
1-357610411,5
1-358038911,26
1-358776870,5
1-359215498,0
1-359781492,2
1-359841262,55
1-360072755,57
1-360464815,32
1-360667704,5
1-361368011,5
1-363041157,2
1-363206822,62
1-363549934,27
1-364018090,43
1-364458525,32
1-364528467,43
1-365052802,18
1-365189372,14
1-365702595,27
1-366462246,5
1-366509892,27
1-366584206,27
1-366698569,33
1-366726662,2
1-366923538,48
1-367002597,32
1-367648732,27
1-367921041,50
1-368322765,64
1-368929048,27
1-369693874,27
1-369989135,51
1-370436092,57
1-370452680,48
1-371498622,27
1-371631962,2
1-371672096,27
1-372029512,59
1-372555278,44
1-372579132,27
1-372858362,27
1-372978779,46
1-373110819,27
1-373268674,27
1-373413519,27
1-373413971,27
1-374379174,27
1-374630866,27
1-374832944,59
1-375337251,27
1-375430388,27
1-375644051,46
1-375646314,27
1-375670011,2
1-376424233,5
1-377083756,64
1-377276064,27
1-377458451,27
1-378050311,69
1-378054711,27
1-378744625,48
1-378976624,42
1-379209685,5
1-379702919,29
1-379789104,20
1-380297615,0
1-380392616,36
1-380527184,36
1-380632889,38
1-380654568,27
1-380885044,8
1-381124870,0
1-382209384,0
1-382442048,57
1-383789251,2
1-384097130,69
1-384757914,40
1-385201933,57
1-385278464,2
1-385311756,27
1-386495623,5
1-386782865,57
1-388028918,36
