CaseIds,Labels
1-109135791,15
1-147898401,64
1-165554831,12
1-172473423,12
1-182640781,83
1-230541365,69
1-236817141,83
1-270399977,74
1-270427461,12
1-310231291,51
1-316086072,33
1-320604521,29
1-322204195,0
1-322581861,29
1-322980802,10
1-323264491,51
1-323462732,8
1-327329880,12
1-329451027,7
1-329647261,61
1-330634474,63
1-331478885,69
1-332389008,63
1-333164156,23
1-335260940,29
1-337229341,29
1-338946805,51
1-339798202,51
1-339889001,51
1-340984229,29
1-341002175,51
1-342442140,10
1-345132462,69
1-345255471,65
1-347461373,51
1-347923966,64
1-347924629,45
1-349857482,10
1-351187625,51
1-351314317,63
1-351869391,51
1-353818791,65
1-354039443,12
1-354090772,25
1-354350908,45
1-354376900,45
1-356055231,70
1-356879617,25
1-357087417,63
1-357610411,51
1-358038911,57
1-358776870,51
1-359215498,12
1-359781492,10
1-359841262,23
1-360072755,83
1-360464815,45
1-360667704,51
1-361368011,51
1-363041157,10
1-363206822,63
1-363549934,63
1-364018090,83
1-364458525,45
1-364528467,83
1-365052802,57
1-365189372,29
1-365702595,63
1-366462246,51
1-366509892,63
1-366584206,63
1-366698569,8
1-366726662,69
1-366923538,74
1-367002597,45
1-367648732,63
1-367921041,37
1-368322765,23
1-368929048,63
1-369693874,63
1-369989135,64
1-370436092,83
1-370452680,74
1-371498622,63
1-371631962,10
1-371672096,63
1-372029512,57
1-372555278,44
1-372579132,63
1-372858362,63
1-372978779,70
1-373110819,63
1-373268674,63
1-373413519,63
1-373413971,63
1-374379174,63
1-374630866,63
1-374832944,20
1-375337251,63
1-375430388,63
1-375644051,74
1-375646314,63
1-375670011,10
1-376424233,51
1-377083756,82
1-377276064,63
1-377458451,63
1-378050311,52
1-378054711,63
1-378744625,74
1-378976624,0
1-379209685,51
1-379702919,15
1-379789104,48
1-380297615,12
1-380392616,82
1-380527184,82
1-380632889,14
1-380654568,63
1-380885044,1
1-381124870,12
1-382209384,12
1-382442048,83
1-383789251,10
1-384097130,25
1-384757914,55
1-385201933,83
1-385278464,10
1-385311756,63
1-386495623,51
1-386782865,83
1-388028918,37
1-388230583,0
1-388644366,63
1-388724672,63
1-389195082,82
1-390250582,25
1-390722958,45
1-390819078,37
1-392590655,10
1-392812598,63
1-393413330,63
1-396569277,63
1-397446945,63
1-397806545,69
1-399013423,49
1-399628501,8
1-400351079,51
1-400528782,32
1-402212071,51
1-402328919,10
1-402612770,25
1-403006315,82
1-404005175,51
1-404084309,45
1-404736991,37
1-405112616,64
1-405248961,61
1-406010922,70
1-406066421,61
1-406852699,51
1-406875315,63
1-407517548,51
1-407737529,83
1-407876996,21
1-408853759,63
1-409247778,63
1-409309026,51
1-410929705,63
1-411078092,63
1-413205820,63
1-413276708,51
1-413665008,10
1-415000020,74
1-415822336,23
1-415946366,45
1-416247009,45
1-417868043,16
1-418122119,63
1-418890453,32
1-419236954,61
1-419614582,51
1-419783741,51
1-419783822,51
1-422390390,51
1-422418092,14
1-422877530,63
1-423484126,10
1-423648343,63
1-423724447,10
1-423751353,16
1-424022692,63
1-424065923,63
1-424243405,51
1-424668301,63
1-426876102,63
1-426969419,63
1-427498853,83
1-427614010,10
1-427955007,12
1-428252132,15
1-428421057,63
1-429498598,12
1-429979181,16
1-430150814,48
1-430793848,10
1-430836105,51
1-430880486,51
1-431797119,63
1-432419251,83
1-432687815,45
1-433161361,63
1-433309965,37
1-433710534,22
1-433910332,8
1-434419581,63
1-434892089,64
1-435824991,63
1-435825107,63
1-437141508,10
1-438526021,51
1-438897551,10
1-439833168,51
1-439863114,51
1-440576028,10
1-441507371,21
1-442885842,54
1-443175071,51
1-443637654,63
1-448698916,51
1-454389870,11
1-457173714,51
1-467257506,83
1-470328307,63
1-470714850,63
1-473084325,33
1-475885658,78
1-479002951,51
1-489198755,51
1-494629702,51
1-494871141,15
1-495101458,51
1-497807633,63
1-498002861,51
1-498324124,8
1-499289128,63
1-499289256,63
1-499540955,0
1-500208339,63
1-500427383,51
1-501925116,23
1-501969547,10
1-502353485,51
1-502697671,45
1-502769178,83
1-504048859,45
1-504498907,10
1-505194002,10
1-505194015,10
1-505416663,63
1-505443989,63
1-506092586,10
1-506108491,45
1-506236591,63
1-506866218,51
1-507679771,10
1-507774379,63
1-508044897,20
1-508462323,10
1-508825032,10
1-509892697,51
1-509912273,63
1-509915742,10
