CaseIds,Labels
1-109135791,79
1-147898401,17
1-165554831,78
1-172473423,78
1-182640781,83
1-230541365,52
1-236817141,83
1-270399977,36
1-270427461,78
1-310231291,75
1-316086072,85
1-320604521,10
1-322204195,73
1-322581861,10
1-322980802,8
1-323264491,75
1-323462732,37
1-327329880,78
1-329451027,9
1-329647261,40
1-330634474,7
1-331478885,52
1-332389008,2
1-333164156,63
1-335260940,10
1-337229341,10
1-338946805,75
1-339798202,75
1-339889001,75
1-340984229,10
1-341002175,75
1-342442140,8
1-345132462,52
1-345255471,31
1-347461373,75
1-347923966,17
1-347924629,49
1-349857482,8
1-351187625,75
1-351314317,2
1-351869391,75
1-353818791,31
1-354039443,78
1-354090772,34
1-354350908,49
1-354376900,49
1-356055231,24
1-356879617,34
1-357087417,2
1-357610411,75
1-358038911,88
1-358776870,75
1-359215498,78
1-359781492,8
1-359841262,61
1-360072755,74
1-360464815,49
1-360667704,75
1-361368011,75
1-363041157,8
1-363206822,7
1-363549934,2
1-364018090,83
1-364458525,49
1-364528467,83
1-365052802,6
1-365189372,10
1-365702595,2
1-366462246,75
1-366509892,2
1-366584206,2
1-366698569,37
1-366726662,52
1-366923538,39
1-367002597,49
1-367648732,2
1-367921041,55
1-368322765,63
1-368929048,2
1-369693874,2
1-369989135,17
1-370436092,74
1-370452680,39
1-371498622,2
1-371631962,8
1-371672096,2
1-372029512,42
1-372555278,66
1-372579132,2
1-372858362,2
1-372978779,24
1-373110819,2
1-373268674,2
1-373413519,2
1-373413971,2
1-374379174,2
1-374630866,2
1-374832944,19
1-375337251,2
1-375430388,2
1-375644051,36
1-375646314,2
1-375670011,8
1-376424233,75
1-377083756,53
1-377276064,2
1-377458451,2
1-378050311,80
1-378054711,2
1-378744625,39
1-378976624,73
1-379209685,75
1-379702919,79
1-379789104,94
1-380297615,78
1-380392616,53
1-380527184,53
1-380632889,24
1-380654568,2
1-380885044,13
1-381124870,78
1-382209384,78
1-382442048,74
1-383789251,8
1-384097130,34
1-384757914,18
1-385201933,74
1-385278464,8
1-385311756,2
1-386495623,75
1-386782865,74
1-388028918,55
1-388230583,65
1-388644366,2
1-388724672,2
1-389195082,53
1-390250582,34
1-390722958,49
1-390819078,55
1-392590655,8
1-392812598,2
1-393413330,2
1-396569277,2
1-397446945,2
1-397806545,52
1-399013423,3
1-399628501,37
1-400351079,75
1-400528782,91
1-402212071,75
1-402328919,8
1-402612770,34
1-403006315,53
1-404005175,75
1-404084309,49
1-404736991,55
1-405112616,17
1-405248961,40
1-406010922,24
1-406066421,40
1-406852699,75
1-406875315,7
1-407517548,75
1-407737529,74
1-407876996,45
1-408853759,2
1-409247778,2
1-409309026,75
1-410929705,2
1-411078092,2
1-413205820,7
1-413276708,75
1-413665008,8
1-415000020,39
1-415822336,63
1-415946366,49
1-416247009,49
1-417868043,93
1-418122119,2
1-418890453,91
1-419236954,40
1-419614582,75
1-419783741,75
1-419783822,75
1-422390390,75
1-422418092,24
1-422877530,2
1-423484126,8
1-423648343,2
1-423724447,8
1-423751353,93
1-424022692,2
1-424065923,2
1-424243405,75
1-424668301,2
1-426876102,2
1-426969419,2
1-427498853,74
1-427614010,8
1-427955007,78
1-428252132,79
1-428421057,2
1-429498598,78
1-429979181,66
1-430150814,94
1-430793848,8
1-430836105,75
1-430880486,75
1-431797119,2
1-432419251,74
1-432687815,49
1-433161361,2
1-433309965,55
1-433710534,43
1-433910332,37
1-434419581,2
1-434892089,17
1-435824991,2
1-435825107,2
1-437141508,8
1-438526021,75
1-438897551,8
1-439833168,75
1-439863114,75
1-440576028,8
1-441507371,45
1-442885842,90
1-443175071,75
1-443637654,2
1-448698916,75
1-454389870,56
1-457173714,75
1-467257506,83
1-470328307,2
1-470714850,2
1-473084325,23
1-475885658,85
1-479002951,75
1-489198755,75
1-494629702,75
1-494871141,79
1-495101458,75
1-497807633,2
1-498002861,75
1-498324124,37
1-499289128,2
1-499289256,2
1-499540955,65
1-500208339,2
1-500427383,75
1-501925116,63
1-501969547,8
1-502353485,75
1-502697671,49
1-502769178,83
1-504048859,49
1-504498907,8
1-505194002,8
1-505194015,8
1-505416663,2
1-505443989,2
1-506092586,8
1-506108491,49
1-506236591,2
1-506866218,75
1-507679771,8
1-507774379,2
1-508044897,19
1-508462323,8
1-508825032,8
1-509892697,75
1-509912273,2
1-509915742,8
1-510142147,17
1-510399424,8
1-510423612,75
1-511755003,49
1-511787661,2
1-512617571,17
1-512654811,45
1-513031774,8
1-513032417,2
1-513135755,2
1-513180623,2
1-513395204,75
1-513767190,75
1-513864515,49
1-513910403,75
1-514223574,75
1-514311011,75
1-514618724,49
1-514712116,75
1-514832700,49
1-515461174,49
1-515617964,45
1-515834995,37
1-515873671,87
1-516141293,65
1-516860557,75
1-517002080,2
1-517045062,2
1-517399487,63
1-517490964,2
1-517828743,2
1-518362551,2
1-519020627,8
1-519054737,78
1-519065883,18
1-519085985,63
1-519147007,45
1-519167681,28
1-519386144,8
1-520127960,75
1-520234084,2
1-520705880,75
1-521122392,2
1-521431857,2
1-521555370,8
1-521628291,8
1-522222222,8
1-522460624,2
1-522734472,2
1-522949376,74
1-523027945,75
1-523069229,49
1-523311541,2
1-523361887,2
1-523392191,2
1-523637826,8
1-524169663,61
1-524328647,8
1-524356958,49
1-524375607,78
1-525132931,78
1-525447561,78
1-525477138,75
1-525489753,2
1-525589021,8
1-526037041,8
1-526344555,2
1-526369142,75
1-526414477,2
1-526414833,2
1-526647987,75
1-527208576,75
1-527928641,75
1-528251011,79
1-528332261,78
1-528716762,49
1-528755863,75
1-529091253,75
1-529091311,75
1-529471141,79
1-530147896,65
1-530539767,2
1-530568802,63
1-531435394,75
1-531872604,40
1-532038065,49
1-532084405,2
1-532544114,75
1-532816930,75
1-533449912,2
1-533851634,2
1-534020390,78
1-534493180,78
1-534702904,75
1-535052125,65
1-535233659,2
1-535393553,8
1-535418135,78
1-535439201,75
1-535813109,8
1-535813203,8
1-535813236,8
1-535813278,8
1-535813300,8
1-535813432,8
1-535813517,8
1-535813813,8
1-536299706,67
1-536904633,8
1-537169872,89
1-537311033,3
1-537601770,79
1-537902763,8
1-537984625,45
1-538109148,52
1-538226806,8
1-538297321,2
1-538411483,49
1-538467021,79
1-539000895,8
1-539083171,75
1-539633138,2
1-539752329,49
1-539805130,75
1-540408651,2
1-540500545,75
1-540531611,49
1-540549141,17
1-540549178,78
1-540549229,78
1-540631861,66
1-540723633,2
1-540904745,2
1-540947390,79
1-541028557,2
1-541088014,49
1-541565290,2
1-541566505,2
1-541655216,2
1-541686305,2
1-542027112,52
1-542568265,40
1-542919207,31
1-542940765,61
1-543227320,24
1-543300099,78
1-543653631,52
1-544020953,37
1-544200884,75
1-544527205,75
1-544595401,79
1-544876956,75
1-545370610,65
1-545738536,78
1-545911672,89
1-546272906,78
1-546692981,8
1-546693092,8
1-546838031,36
1-547539001,8
1-547617088,78
1-547802271,8
1-548188531,8
1-548188557,8
1-548188833,8
1-549431982,79
1-550036329,39
1-550159631,78
1-550577363,78
1-550611848,8
1-553276916,91
1-555105571,2
1-557618809,8
1-557739965,75
1-560246371,7
1-560404489,66
1-560418897,2
1-560419045,2
1-560504546,24
1-560703011,75
1-561068081,8
1-561190012,2
1-562022682,2
1-562778111,43
1-562807927,49
1-563156866,75
1-563156881,75
1-563477371,85
1-563779807,17
1-564311006,2
1-564433915,79
1-564528496,2
1-564738994,49
1-564903210,2
1-565030154,8
1-565319816,8
1-565807612,52
1-565905115,75
1-566003511,45
1-566096602,45
1-566101203,8
1-566332021,2
1-566642468,2
1-566661201,75
1-567100387,8
1-567362335,75
1-567440922,2
1-567718361,8
1-567958551,75
1-567981735,2
1-572078531,39
1-572330175,43
1-572625937,2
1-572730349,78
1-572802327,45
1-573215995,78
1-573278049,75
1-573280988,8
1-573316263,79
1-573501251,83
1-573639367,2
1-573655864,2
1-573830584,37
1-573904126,45
1-574045461,8
1-574052419,45
1-574132549,2
1-574162627,2
1-574222268,94
1-574271413,2
1-574466092,73
1-574623837,49
1-574663931,91
1-575690736,49
1-576186189,49
1-576423636,75
1-576667260,89
1-576807766,75
1-576881364,8
1-576934735,8
1-576984464,70
1-577196856,2
1-577236636,45
1-577288653,2
1-577396354,2
1-577685618,75
1-577737791,18
1-577834779,75
1-577996886,70
1-578105842,70
1-578252937,8
1-578579972,8
1-578598959,42
1-578612825,45
1-578612990,83
1-578686199,8
1-578831063,2
1-579078207,75
1-579211624,2
1-579250167,75
1-579369463,2
1-579425746,55
