CaseIds,Labels
1-109135791,19
1-147898401,44
1-165554831,7
1-172473423,7
1-182640781,16
1-230541365,14
1-236817141,16
1-270399977,22
1-270427461,7
1-310231291,40
1-316086072,2
1-320604521,34
1-322204195,13
1-322581861,34
1-322980802,1
1-323264491,40
1-323462732,36
1-327329880,7
1-329451027,9
1-329647261,39
1-330634474,29
1-331478885,14
1-332389008,29
1-333164156,50
1-335260940,34
1-337229341,34
1-338946805,40
1-339798202,40
1-339889001,40
1-340984229,34
1-341002175,40
1-342442140,1
1-345132462,14
1-345255471,5
1-347461373,40
1-347923966,44
1-347924629,33
1-349857482,1
1-351187625,40
1-351314317,29
1-351869391,40
1-353818791,5
1-354039443,7
1-354090772,39
1-354350908,33
1-354376900,33
1-356055231,8
1-356879617,39
1-357087417,29
1-357610411,40
1-358038911,55
1-358776870,40
1-359215498,7
1-359781492,1
1-359841262,50
1-360072755,20
1-360464815,33
1-360667704,40
1-361368011,40
1-363041157,1
1-363206822,29
1-363549934,29
1-364018090,16
1-364458525,33
1-364528467,16
1-365052802,23
1-365189372,34
1-365702595,29
1-366462246,40
1-366509892,29
1-366584206,29
1-366698569,36
1-366726662,14
1-366923538,22
1-367002597,33
1-367648732,29
1-367921041,18
1-368322765,50
1-368929048,29
1-369693874,29
1-369989135,44
1-370436092,20
1-370452680,22
1-371498622,29
1-371631962,1
1-371672096,29
1-372029512,45
1-372555278,53
1-372579132,29
1-372858362,29
1-372978779,8
1-373110819,29
1-373268674,29
1-373413519,29
1-373413971,29
1-374379174,29
1-374630866,29
1-374832944,15
1-375337251,29
1-375430388,29
1-375644051,22
1-375646314,29
1-375670011,1
1-376424233,40
1-377083756,21
1-377276064,29
1-377458451,29
1-378050311,12
1-378054711,29
1-378744625,22
1-378976624,13
1-379209685,40
1-379702919,19
1-379789104,36
1-380297615,7
1-380392616,21
1-380527184,21
1-380632889,8
1-380654568,29
1-380885044,17
1-381124870,7
1-382209384,7
1-382442048,20
1-383789251,1
1-384097130,39
1-384757914,22
1-385201933,20
1-385278464,1
1-385311756,29
1-386495623,40
1-386782865,20
1-388028918,18
1-388230583,35
1-388644366,29
1-388724672,29
1-389195082,21
1-390250582,39
1-390722958,33
1-390819078,18
1-392590655,1
1-392812598,29
1-393413330,29
1-396569277,29
1-397446945,29
1-397806545,14
1-399013423,32
1-399628501,36
1-400351079,40
1-400528782,24
1-402212071,40
1-402328919,1
1-402612770,39
1-403006315,21
1-404005175,40
1-404084309,33
1-404736991,18
1-405112616,44
1-405248961,39
1-406010922,8
1-406066421,39
1-406852699,40
1-406875315,29
1-407517548,40
1-407737529,20
1-407876996,6
1-408853759,29
1-409247778,29
1-409309026,40
1-410929705,29
1-411078092,29
1-413205820,29
1-413276708,40
1-413665008,1
1-415000020,22
1-415822336,50
1-415946366,33
1-416247009,33
1-417868043,50
1-418122119,29
1-418890453,24
1-419236954,39
1-419614582,40
1-419783741,40
1-419783822,40
1-422390390,40
1-422418092,8
1-422877530,29
1-423484126,1
1-423648343,29
1-423724447,1
1-423751353,50
1-424022692,29
1-424065923,29
1-424243405,40
1-424668301,29
1-426876102,29
1-426969419,29
1-427498853,20
1-427614010,1
1-427955007,7
1-428252132,19
1-428421057,29
1-429498598,7
1-429979181,53
1-430150814,36
1-430793848,1
1-430836105,40
1-430880486,40
1-431797119,29
1-432419251,20
1-432687815,33
1-433161361,29
1-433309965,18
1-433710534,5
1-433910332,36
1-434419581,29
1-434892089,44
1-435824991,29
1-435825107,29
1-437141508,1
1-438526021,40
1-438897551,1
1-439833168,40
1-439863114,40
1-440576028,1
1-441507371,6
1-442885842,48
1-443175071,40
1-443637654,29
1-448698916,40
1-454389870,0
1-457173714,40
1-467257506,16
1-470328307,29
1-470714850,29
1-473084325,28
1-475885658,13
1-479002951,40
1-489198755,40
1-494629702,40
1-494871141,19
1-495101458,40
1-497807633,29
1-498002861,40
1-498324124,36
1-499289128,29
1-499289256,29
1-499540955,35
1-500208339,29
1-500427383,40
1-501925116,50
1-501969547,1
1-502353485,40
1-502697671,33
1-502769178,16
1-504048859,33
1-504498907,1
1-505194002,1
1-505194015,1
1-505416663,29
1-505443989,29
1-506092586,1
1-506108491,33
1-506236591,29
1-506866218,40
1-507679771,1
1-507774379,29
1-508044897,15
1-508462323,1
1-508825032,1
1-509892697,40
1-509912273,29
1-509915742,1
1-510142147,44
1-510399424,1
1-510423612,40
1-511755003,33
1-511787661,29
