CaseIds,Labels
1-364285768,32
1-467153946,22
1-503573772,32
1-504538555,82
1-506071646,16
1-512795200,10
1-516553982,65
1-522528740,60
1-523391859,14
1-529067006,82
1-529096847,48
1-530458987,76
1-530772502,60
1-530838254,48
1-532109338,65
1-536444735,60
1-536481337,65
1-537219938,82
1-540390551,92
1-541468268,31
1-543317665,80
1-543979253,55
1-544969832,77
1-544976636,60
1-550213097,67
1-557297151,65
1-559795575,59
1-565045794,76
1-567358917,27
1-577292898,82
1-578864726,92
1-580893958,82
1-580987781,50
1-583200733,43
1-587101946,72
1-593737913,13
1-594260021,27
1-597436480,77
1-601328051,18
1-603556351,69
1-603749197,32
1-604144478,77
1-605313141,29
1-605956457,67
1-606902814,0
1-609835209,60
1-611261188,59
1-613379581,70
1-614948909,93
1-617858557,22
1-618854217,38
1-619069761,80
1-620611187,73
1-620858291,60
1-621825480,93
1-623778166,57
1-626766981,13
1-627819166,48
1-627973205,16
1-629364071,42
1-629883996,48
1-630181491,60
1-632620937,15
1-634340171,14
1-634738521,80
1-635268712,59
1-635375181,96
1-636928149,92
1-637842042,11
1-638018481,58
1-638289351,81
1-638742591,48
1-638841644,23
1-638945511,56
1-642373523,21
1-642402641,66
1-642411971,61
1-642714990,65
1-642761396,60
1-642781041,26
1-643338463,81
1-643546500,31
1-643684191,66
1-643733486,9
1-644761840,93
1-647788578,96
1-647953636,92
1-648471635,10
1-648654669,81
1-649830550,37
1-649950870,80
1-650013051,42
1-651196130,46
1-651324866,0
1-652256138,34
1-652468131,56
1-652924814,83
1-652947231,56
1-653391886,81
1-654423931,27
1-655021441,60
1-655281402,59
1-656241183,37
1-656373348,57
1-656450664,60
1-657323705,0
1-657893589,81
1-657900377,37
1-658045761,56
1-658345511,78
1-658515933,0
1-658538636,57
1-659129745,0
1-659713703,65
1-660051308,85
1-660218981,72
1-660730501,11
1-660865454,66
1-660915327,16
1-665922195,34
1-673825643,45
1-682281772,31
1-683319231,81
1-683762637,71
1-684012815,31
1-684695843,66
1-685098751,60
1-685155470,21
1-686398767,69
1-686497432,16
1-686580161,4
1-686609791,65
1-686885675,55
1-687082195,16
1-687085471,80
1-687329729,31
1-687521104,83
1-687544011,42
1-687638428,31
1-687647619,65
1-687710013,0
1-688278051,61
1-688624453,69
1-688689511,49
1-688696731,74
1-689206959,25
1-689461262,73
1-689501709,77
1-690238688,38
1-690422411,27
1-690436171,59
1-690839783,10
1-691049627,60
1-691129791,0
1-691759626,11
1-691782323,76
1-691794481,71
1-691811604,0
1-691832279,34
1-691950241,77
1-691971107,48
1-692009261,58
1-692067345,16
1-692755228,72
1-692758611,54
1-692758994,77
1-692918254,79
1-693021183,65
1-693200675,92
1-693253181,77
1-693258975,83
1-693300691,13
1-693352046,14
1-693412654,59
1-693587250,96
1-693822171,23
1-693837467,81
1-694035053,54
1-694236018,48
1-694266600,0
1-694274811,65
1-694300980,65
1-694339964,16
1-694346169,81
1-694375168,93
1-694457714,65
1-694782353,37
1-694796871,56
1-694844381,80
1-694845331,32
1-694868667,13
1-694899341,37
1-694975897,34
1-695147297,95
1-695221831,96
1-695298616,83
1-695360832,65
1-695452478,25
1-695486451,48
1-695870591,82
1-695872361,27
1-696080795,32
1-696101645,46
1-696163170,71
1-696361691,53
1-696484951,70
1-696831586,38
1-696861441,77
1-696882469,25
1-696894381,25
1-696911694,65
1-696915401,28
1-696981592,16
1-697462851,59
1-697478298,46
1-697528961,66
1-697746161,96
1-697751037,48
1-697774726,32
1-697777158,9
1-697896972,34
1-697955020,77
1-698029651,40
1-698029851,22
1-698036851,14
1-698065363,80
1-698350971,34
1-698400941,32
1-698487635,93
1-698555281,90
1-698572466,15
1-698843072,31
1-698990450,48
1-699016718,9
1-699103686,46
1-699262145,55
1-699297808,83
1-699344291,80
1-699545679,27
1-699557832,60
1-699617036,74
1-699655497,5
1-699703931,10
1-699719677,46
1-699750568,74
1-699989926,16
1-700135371,0
1-700161985,14
1-700205396,0
1-700245581,31
1-700300604,32
1-700356558,11
1-700370143,9
1-700427997,76
1-700431220,81
1-700466198,38
1-700466740,77
1-700563427,0
1-700591261,38
1-700822736,0
1-700826141,4
1-700955144,16
1-701147913,32
1-701284355,65
1-701412801,41
1-701488609,11
1-701567557,58
1-701687914,22
1-701688007,25
1-701799752,16
1-701820421,76
1-702316147,25
1-702542377,57
1-702551585,49
1-702586831,1
1-702667331,93
1-703146498,32
1-703263656,73
1-703279569,11
1-703368981,32
1-703430111,32
1-703433841,38
1-703547921,83
1-703888972,42
1-703940589,42
1-703995711,4
1-703999194,79
1-704030543,61
1-704051851,29
1-704096711,93
1-704155821,60
1-704163965,0
1-704194471,95
1-704218008,22
1-704223291,79
1-704275949,21
1-704682611,91
1-704747578,54
1-704804641,40
1-704849848,48
1-704868231,31
1-704940021,85
1-704946941,15
1-704985732,22
1-705039067,93
1-705039821,15
1-705050337,38
1-705084201,48
1-705164933,0
1-705201889,21
1-705739949,45
1-705770183,82
1-705791051,78
1-705791341,82
1-705845431,41
1-705847078,0
1-705847232,42
1-705895959,47
1-705901284,22
1-705937016,49
1-705976449,21
1-705991296,21
1-706022221,11
1-706095828,48
1-706148201,29
1-706158289,45
1-706221211,69
1-706221681,52
1-706532382,95
1-706532431,26
1-706675514,74
1-706700376,73
1-706844801,55
1-706845546,95
1-706880563,52
1-706983808,54
1-706996552,22
1-707167142,32
1-707196413,55
1-707214451,64
1-707231563,37
1-707253770,27
1-707295006,48
1-707613853,93
1-707644921,93
1-707689061,27
1-707771775,46
1-707802351,71
1-707807221,93
1-707854303,25
1-707933295,0
1-707939234,10
1-707991342,11
1-708029447,71
1-708059841,95
1-708116781,75
1-708116786,75
1-708177338,38
1-708505881,59
1-708524564,48
1-708526701,82
1-708529881,91
1-708573022,65
1-708577179,77
1-708587941,47
1-708588651,42
1-708605704,13
1-708618611,25
1-708621071,75
1-708621211,75
1-708621216,75
1-708625573,38
1-708654057,80
1-708654206,15
1-708654452,80
1-708674093,50
1-708824660,80
1-708840091,51
1-708840281,41
1-708840891,4
1-708879965,92
1-708954745,0
1-709023396,81
1-709033790,22
1-709073301,23
1-709073651,22
1-709167822,71
1-709437564,37
1-709456716,22
1-709465778,5
1-709477967,10
1-709496690,34
1-709502283,77
1-709504717,32
1-709505128,77
1-709542591,37
1-709544188,77
1-709557170,27
1-709563207,22
1-709563537,69
1-709663406,48
1-709707903,27
1-709715968,71
1-709758563,77
1-709769982,18
1-709804068,18
1-709831036,60
1-709844441,96
1-710083211,71
1-710083501,22
1-710083691,51
1-710083831,37
1-710133933,0
1-710177495,48
1-710211491,74
1-710248131,34
1-712880822,59
