CaseIds,Labels
1-364285768,25
1-467153946,33
1-503573772,25
1-504538555,56
1-506071646,45
1-512795200,73
1-516553982,83
1-522528740,14
1-523391859,80
1-529067006,56
1-529096847,53
1-530458987,73
1-530772502,14
1-530838254,33
1-532109338,83
1-536444735,14
1-536481337,64
1-537219938,56
1-540390551,36
1-541468268,57
1-543317665,28
1-543979253,34
1-544969832,88
1-544976636,14
1-550213097,37
1-557297151,64
1-559795575,22
1-565045794,73
1-567358917,8
1-577292898,56
1-578864726,36
1-580893958,56
1-580987781,9
1-583200733,80
1-587101946,71
1-593737913,21
1-594260021,8
1-597436480,74
1-601328051,1
1-603556351,76
1-603749197,25
1-604144478,88
1-605313141,16
1-605956457,37
1-606902814,15
1-609835209,14
1-611261188,22
1-613379581,87
1-614948909,85
1-617858557,33
1-618854217,52
1-619069761,28
1-620611187,41
1-620858291,14
1-621825480,85
1-623778166,3
1-626766981,21
1-627819166,33
1-627973205,45
1-629364071,9
1-629883996,53
1-630181491,14
1-632620937,1
1-634340171,80
1-634738521,28
1-635268712,22
1-635375181,65
1-636928149,36
1-637842042,37
1-638018481,67
1-638289351,87
1-638742591,33
1-638841644,82
1-638945511,60
1-642373523,73
1-642402641,48
1-642411971,71
1-642714990,83
1-642761396,14
1-642781041,38
1-643338463,87
1-643546500,51
1-643684191,48
1-643733486,65
1-644761840,85
1-647788578,65
1-647953636,36
1-648471635,73
1-648654669,87
1-649830550,69
1-649950870,28
1-650013051,9
1-651196130,13
1-651324866,15
1-652256138,89
1-652468131,60
1-652924814,35
1-652947231,60
1-653391886,87
1-654423931,8
1-655021441,14
1-655281402,22
1-656241183,69
1-656373348,3
1-656450664,14
1-657323705,15
1-657893589,87
1-657900377,69
1-658045761,60
1-658345511,9
1-658515933,15
1-658538636,3
1-659129745,15
1-659713703,64
1-660051308,31
1-660218981,71
1-660730501,37
1-660865454,48
1-660915327,45
1-665922195,89
1-673825643,78
1-682281772,57
1-683319231,87
1-683762637,33
1-684012815,57
1-684695843,48
1-685098751,14
1-685155470,73
1-686398767,76
1-686497432,53
1-686580161,26
1-686609791,64
1-686885675,34
1-687082195,45
1-687085471,28
1-687329729,57
1-687521104,35
1-687544011,9
1-687638428,57
1-687647619,64
1-687710013,15
1-688278051,71
1-688624453,76
1-688689511,68
1-688696731,24
1-689206959,49
1-689461262,41
1-689501709,74
1-690238688,52
1-690422411,8
1-690436171,22
1-690839783,73
1-691049627,14
1-691129791,15
1-691759626,37
1-691782323,73
1-691794481,73
1-691811604,15
1-691832279,89
1-691950241,74
1-691971107,33
1-692009261,67
1-692067345,45
1-692755228,4
1-692758611,62
1-692758994,50
1-692918254,39
1-693021183,83
1-693200675,36
1-693253181,27
1-693258975,35
1-693300691,21
1-693352046,80
1-693412654,22
1-693587250,65
1-693822171,82
1-693837467,87
1-694035053,7
1-694236018,53
1-694266600,15
1-694274811,64
1-694300980,83
1-694339964,53
1-694346169,87
1-694375168,85
1-694457714,64
1-694782353,69
1-694796871,60
1-694844381,28
1-694845331,25
1-694868667,21
1-694899341,69
1-694975897,89
1-695147297,12
1-695221831,65
1-695298616,35
1-695360832,64
1-695452478,49
1-695486451,53
1-695870591,56
1-695872361,8
1-696080795,25
1-696101645,86
1-696163170,73
1-696361691,87
1-696484951,87
1-696831586,52
1-696861441,32
1-696882469,49
1-696894381,49
1-696911694,64
1-696915401,46
1-696981592,53
1-697462851,22
1-697478298,13
1-697528961,48
1-697746161,65
1-697751037,33
1-697774726,25
1-697777158,65
1-697896972,89
1-697955020,88
1-698029651,20
1-698029851,33
1-698036851,80
1-698065363,28
1-698350971,89
1-698400941,25
1-698487635,85
1-698555281,59
1-698572466,1
1-698843072,57
1-698990450,53
1-699016718,65
1-699103686,13
1-699262145,34
1-699297808,35
1-699344291,28
1-699545679,8
1-699557832,14
1-699617036,24
1-699655497,6
1-699703931,73
1-699719677,86
1-699750568,24
1-699989926,53
1-700135371,15
1-700161985,80
1-700205396,15
1-700245581,57
1-700300604,25
1-700356558,37
1-700370143,65
1-700427997,73
1-700431220,87
1-700466198,52
1-700466740,88
1-700563427,15
1-700591261,52
1-700822736,15
1-700826141,26
1-700955144,45
1-701147913,25
1-701284355,64
1-701412801,58
1-701488609,37
1-701567557,67
1-701687914,33
1-701688007,49
1-701799752,45
1-701820421,73
1-702316147,49
1-702542377,3
1-702551585,68
1-702586831,1
1-702667331,85
1-703146498,25
1-703263656,41
1-703279569,37
1-703368981,25
1-703430111,25
1-703433841,52
1-703547921,35
1-703888972,9
1-703940589,9
1-703995711,26
1-703999194,39
1-704030543,71
1-704051851,16
1-704096711,85
1-704155821,14
1-704163965,15
1-704194471,12
1-704218008,33
1-704223291,39
1-704275949,73
1-704682611,58
1-704747578,62
1-704804641,20
1-704849848,33
1-704868231,51
1-704940021,31
1-704946941,1
1-704985732,33
1-705039067,85
1-705039821,1
1-705050337,52
1-705084201,33
1-705164933,15
1-705201889,73
1-705739949,78
1-705770183,56
1-705791051,9
1-705791341,56
1-705845431,68
1-705847078,15
1-705847232,9
1-705895959,13
1-705901284,33
1-705937016,68
1-705976449,73
1-705991296,73
1-706022221,37
1-706095828,33
1-706148201,16
1-706158289,78
1-706221211,76
1-706221681,31
1-706532382,12
1-706532431,38
1-706675514,24
1-706700376,41
1-706844801,34
1-706845546,12
1-706880563,31
1-706983808,7
1-706996552,33
1-707167142,25
1-707196413,34
1-707214451,61
1-707231563,69
1-707253770,8
1-707295006,33
1-707613853,85
1-707644921,85
1-707689061,8
1-707771775,86
1-707802351,33
1-707807221,85
1-707854303,49
1-707933295,15
1-707939234,73
1-707991342,37
1-708029447,73
1-708059841,12
1-708116781,40
1-708116786,40
1-708177338,52
1-708505881,22
1-708524564,53
1-708526701,56
1-708529881,58
1-708573022,64
1-708577179,74
1-708587941,13
1-708588651,9
1-708605704,21
1-708618611,49
1-708621071,40
1-708621211,40
1-708621216,40
1-708625573,52
1-708654057,28
1-708654206,1
1-708654452,28
1-708674093,82
1-708824660,28
1-708840091,23
1-708840281,68
1-708840891,26
1-708879965,36
1-708954745,15
1-709023396,87
1-709033790,33
1-709073301,82
1-709073651,33
1-709167822,73
1-709437564,69
1-709456716,33
1-709465778,6
1-709477967,73
1-709496690,89
1-709502283,32
1-709504717,25
1-709505128,74
1-709542591,69
1-709544188,32
1-709557170,8
1-709563207,33
1-709563537,76
1-709663406,53
1-709707903,8
1-709715968,73
1-709758563,74
1-709769982,1
1-709804068,1
1-709831036,14
1-709844441,65
1-710083211,73
1-710083501,33
1-710083691,23
1-710083831,69
1-710133933,15
1-710177495,53
1-710211491,24
1-710248131,89
1-712880822,22
1-712891909,71
1-712901719,24
1-712908376,55
1-712916847,4
1-712916876,21
1-712942400,73
1-712950734,38
1-712979761,12
1-713046754,41
1-713472354,73
1-713472661,12
1-713520241,9
1-715404545,67
1-715416221,45
1-715416771,52
1-715437063,89
1-715439170,28
1-715505142,3
1-715505758,25
1-715628657,12
1-715641871,85
1-715642734,9
1-715658220,33
1-715673631,87
1-715677131,1
1-715689451,49
1-715704641,21
1-715713221,52
1-715724341,65
1-715731471,83
1-715739627,25
1-715753705,85
1-715780861,41
1-715819222,25
1-715860853,64
1-715927090,33
1-715977583,33
1-716035538,73
1-716092458,35
1-716114500,15
1-716164282,52
1-716195100,89
1-716202992,29
1-716215673,25
1-716219287,86
1-716221928,85
1-716224739,14
1-716234193,48
1-716234358,1
1-716289998,49
1-716290816,1
1-716294642,15
1-716331563,56
1-716381288,73
1-716409968,35
1-716410137,21
1-716410529,35
1-716425334,45
1-716445231,73
1-716466808,8
1-716467704,12
1-716473461,89
1-716510112,1
1-716530349,14
1-716547687,1
1-716584541,33
1-716584881,1
1-716587209,13
1-716629872,49
1-716650567,83
1-716650593,69
1-716688713,3
1-716689691,52
1-716949717,50
1-716962496,37
1-716981483,7
1-716989377,73
1-717021893,78
1-717027282,73
1-717067711,36
1-717113861,52
1-717126508,36
1-717137957,67
1-717173812,89
1-717197709,65
1-717207263,87
1-717210101,23
1-717227518,53
1-717228961,12
1-717275031,33
1-717283611,56
1-717331011,74
1-717333026,31
1-717397801,21
1-717413361,73
1-717419109,41
1-717431477,3
1-717446378,7
1-717491930,29
1-717684213,35
1-717714208,25
1-717717559,41
1-717720404,69
1-717726137,87
1-717764374,12
1-717770354,89
1-717795233,78
1-717799091,85
1-717837851,8
1-717843904,33
1-717845096,69
1-717854005,15
1-717901005,31
1-717914963,13
1-717915624,80
1-717918204,63
1-717918214,19
1-717954369,35
1-717971591,85
1-717977915,21
1-717979241,52
1-718004998,36
1-718005400,88
1-718021221,49
1-718028943,33
1-718032180,73
1-718038855,63
1-718043945,87
1-718089090,49
1-718100518,73
1-718132991,52
1-718133341,8
1-718151332,73
1-718162127,50
1-718915746,73
1-718965291,33
1-718977997,76
1-718997398,82
1-719009547,21
1-719035508,65
1-719042888,49
1-719069585,41
1-719110506,25
1-719114721,68
1-719156663,73
1-719171201,14
1-719171221,24
1-719171831,73
1-719199551,58
1-719204935,65
1-719232179,24
1-719232890,25
1-719240042,22
1-719251456,73
1-719257516,80
1-719272244,86
1-719278453,52
1-719278949,67
1-719283506,15
1-719317155,8
1-719343054,35
1-719365340,33
1-719368467,24
1-719376891,76
1-719396793,54
1-719401266,62
1-719410841,64
1-719417071,14
1-719418321,27
1-719427538,39
1-719457882,38
1-719494184,37
1-719527281,58
1-719527701,71
1-719545691,53
