CaseIds,Labels
1-364285768,7
1-467153946,2
1-503573772,56
1-504538555,81
1-506071646,19
1-512795200,88
1-516553982,80
1-522528740,60
1-523391859,78
1-529067006,81
1-529096847,96
1-530458987,88
1-530772502,60
1-530838254,96
1-532109338,35
1-536444735,60
1-536481337,15
1-537219938,21
1-540390551,13
1-541468268,77
1-543317665,45
1-543979253,27
1-544969832,75
1-544976636,87
1-550213097,86
1-557297151,15
1-559795575,86
1-565045794,88
1-567358917,72
1-577292898,81
1-578864726,13
1-580893958,74
1-580987781,54
1-583200733,31
1-587101946,22
1-593737913,69
1-594260021,72
1-597436480,57
1-601328051,40
1-603556351,9
1-603749197,7
1-604144478,75
1-605313141,32
1-605956457,86
1-606902814,41
1-609835209,60
1-611261188,86
1-613379581,97
1-614948909,30
1-617858557,2
1-618854217,76
1-619069761,45
1-620611187,29
1-620858291,87
1-621825480,30
1-623778166,20
1-626766981,69
1-627819166,96
1-627973205,19
1-629364071,54
1-629883996,96
1-630181491,87
1-632620937,38
1-634340171,78
1-634738521,45
1-635268712,86
1-635375181,44
1-636928149,13
1-637842042,82
1-638018481,68
1-638289351,61
1-638742591,96
1-638841644,54
1-638945511,79
1-642373523,88
1-642402641,78
1-642411971,22
1-642714990,35
1-642761396,60
1-642781041,51
1-643338463,61
1-643546500,77
1-643684191,78
1-643733486,23
1-644761840,12
1-647788578,66
1-647953636,13
1-648471635,88
1-648654669,61
1-649830550,4
1-649950870,45
1-650013051,54
1-651196130,91
1-651324866,41
1-652256138,50
1-652468131,79
1-652924814,59
1-652947231,79
1-653391886,61
1-654423931,72
1-655021441,49
1-655281402,86
1-656241183,4
1-656373348,39
1-656450664,87
1-657323705,41
1-657893589,61
1-657900377,4
1-658045761,79
1-658345511,54
1-658515933,41
1-658538636,20
1-659129745,41
1-659713703,15
1-660051308,18
1-660218981,95
1-660730501,82
1-660865454,78
1-660915327,19
1-665922195,50
1-673825643,5
1-682281772,77
1-683319231,61
1-683762637,2
1-684012815,77
1-684695843,78
1-685098751,87
1-685155470,88
1-686398767,9
1-686497432,19
1-686580161,25
1-686609791,15
1-686885675,27
1-687082195,19
1-687085471,45
1-687329729,77
1-687521104,59
1-687544011,54
1-687638428,77
1-687647619,15
1-687710013,41
1-688278051,22
1-688624453,9
1-688689511,67
1-688696731,62
1-689206959,94
1-689461262,29
1-689501709,57
1-690238688,76
1-690422411,72
1-690436171,86
1-690839783,88
1-691049627,60
1-691129791,41
1-691759626,82
1-691782323,88
1-691794481,2
1-691811604,41
1-691832279,50
1-691950241,57
1-691971107,96
1-692009261,83
1-692067345,19
1-692755228,95
1-692758611,53
1-692758994,75
1-692918254,65
1-693021183,35
1-693200675,13
1-693253181,57
1-693258975,59
1-693300691,69
1-693352046,78
1-693412654,86
1-693587250,66
1-693822171,54
1-693837467,61
1-694035053,53
1-694236018,96
1-694266600,41
1-694274811,15
1-694300980,35
1-694339964,19
1-694346169,61
1-694375168,12
1-694457714,15
1-694782353,4
1-694796871,79
1-694844381,45
1-694845331,56
1-694868667,69
1-694899341,14
1-694975897,50
1-695147297,28
1-695221831,44
1-695298616,59
1-695360832,15
1-695452478,94
1-695486451,96
1-695870591,74
1-695872361,72
1-696080795,56
1-696101645,91
1-696163170,2
1-696361691,55
1-696484951,97
1-696831586,24
1-696861441,75
1-696882469,94
1-696894381,94
1-696911694,15
1-696915401,48
1-696981592,19
1-697462851,86
1-697478298,0
1-697528961,78
1-697746161,44
1-697751037,96
1-697774726,56
1-697777158,23
1-697896972,50
1-697955020,75
1-698029651,73
1-698029851,2
1-698036851,78
1-698065363,45
1-698350971,50
1-698400941,56
1-698487635,30
1-698555281,46
1-698572466,20
1-698843072,77
1-698990450,19
1-699016718,23
1-699103686,91
1-699262145,27
1-699297808,59
1-699344291,45
1-699545679,72
1-699557832,60
1-699617036,62
1-699655497,58
1-699703931,88
1-699719677,91
1-699750568,62
1-699989926,19
1-700135371,41
1-700161985,78
1-700205396,41
1-700245581,43
1-700300604,7
1-700356558,82
1-700370143,23
1-700427997,88
1-700431220,61
1-700466198,76
1-700466740,75
1-700563427,41
1-700591261,24
1-700822736,41
1-700826141,25
1-700955144,19
1-701147913,56
1-701284355,15
1-701412801,84
1-701488609,82
1-701567557,83
1-701687914,2
1-701688007,94
1-701799752,19
1-701820421,88
1-702316147,94
1-702542377,39
1-702551585,67
1-702586831,89
1-702667331,30
1-703146498,7
1-703263656,29
1-703279569,82
1-703368981,7
1-703430111,7
1-703433841,76
1-703547921,59
1-703888972,54
1-703940589,54
1-703995711,25
1-703999194,65
1-704030543,22
1-704051851,32
1-704096711,12
1-704155821,87
1-704163965,41
1-704194471,28
1-704218008,2
1-704223291,62
1-704275949,88
1-704682611,84
1-704747578,53
1-704804641,73
1-704849848,96
1-704868231,77
1-704940021,18
1-704946941,20
1-704985732,2
1-705039067,12
1-705039821,38
1-705050337,24
1-705084201,96
1-705164933,41
1-705201889,88
1-705739949,5
1-705770183,81
1-705791051,54
1-705791341,81
1-705845431,67
1-705847078,41
1-705847232,54
1-705895959,0
1-705901284,2
1-705937016,67
1-705976449,88
1-705991296,88
1-706022221,82
1-706095828,96
1-706148201,32
1-706158289,5
1-706221211,69
1-706221681,18
1-706532382,28
1-706532431,51
1-706675514,62
1-706700376,29
1-706844801,27
1-706845546,28
1-706880563,18
1-706983808,53
1-706996552,2
1-707167142,56
1-707196413,27
1-707214451,31
1-707231563,14
1-707253770,72
1-707295006,96
1-707613853,30
1-707644921,30
1-707689061,72
1-707771775,91
1-707802351,2
1-707807221,12
1-707854303,94
1-707933295,41
1-707939234,88
1-707991342,82
1-708029447,2
1-708059841,28
1-708116781,71
1-708116786,71
1-708177338,24
1-708505881,86
1-708524564,96
1-708526701,34
1-708529881,84
1-708573022,15
1-708577179,57
1-708587941,0
1-708588651,54
1-708605704,69
1-708618611,94
1-708621071,71
1-708621211,71
1-708621216,71
1-708625573,76
1-708654057,45
1-708654206,20
1-708654452,45
1-708674093,54
1-708824660,45
1-708840091,33
1-708840281,67
1-708840891,25
1-708879965,13
1-708954745,41
1-709023396,61
1-709033790,2
1-709073301,54
1-709073651,2
1-709167822,2
1-709437564,4
1-709456716,2
1-709465778,58
1-709477967,88
1-709496690,50
1-709502283,75
1-709504717,7
1-709505128,57
1-709542591,14
1-709544188,75
1-709557170,72
1-709563207,2
1-709563537,9
1-709663406,96
1-709707903,72
1-709715968,2
1-709758563,57
1-709769982,40
1-709804068,40
1-709831036,60
1-709844441,44
1-710083211,2
1-710083501,2
1-710083691,33
1-710083831,4
1-710133933,41
1-710177495,96
1-710211491,62
1-710248131,50
1-712880822,86
1-712891909,22
1-712901719,62
1-712908376,5
1-712916847,95
1-712916876,69
1-712942400,88
1-712950734,51
1-712979761,28
1-713046754,29
1-713472354,88
1-713472661,28
1-713520241,54
1-715404545,83
1-715416221,19
1-715416771,24
1-715437063,50
1-715439170,45
1-715505142,39
1-715505758,7
1-715628657,28
1-715641871,12
1-715642734,54
1-715658220,2
1-715673631,55
1-715677131,89
1-715689451,94
1-715704641,69
1-715713221,24
1-715724341,23
1-715731471,35
1-715739627,7
1-715753705,30
1-715780861,29
1-715819222,56
1-715860853,15
1-715927090,2
1-715977583,2
1-716035538,88
1-716092458,59
1-716114500,41
1-716164282,76
1-716195100,50
1-716202992,71
1-716215673,7
1-716219287,68
1-716221928,30
1-716224739,60
1-716234193,78
1-716234358,20
1-716289998,94
1-716290816,20
1-716294642,41
1-716331563,34
1-716381288,88
1-716409968,59
1-716410137,69
1-716410529,59
1-716425334,19
1-716445231,88
1-716466808,72
1-716467704,28
1-716473461,50
1-716510112,20
1-716530349,87
1-716547687,38
1-716584541,2
1-716584881,89
1-716587209,0
1-716629872,94
1-716650567,35
1-716650593,4
1-716688713,20
1-716689691,76
1-716949717,75
1-716962496,82
1-716981483,53
1-716989377,88
1-717021893,5
1-717027282,88
1-717067711,13
1-717113861,76
1-717126508,13
1-717137957,83
1-717173812,50
1-717197709,44
1-717207263,61
1-717210101,33
1-717227518,96
1-717228961,28
1-717275031,96
1-717283611,74
1-717331011,57
1-717333026,18
