CaseIds,Labels
Case 1,38
Case 10,5
Case 100,16
Case 1000,0
Case 1001,5
Case 1002,5
Case 1003,5
Case 1004,5
Case 1005,5
Case 1006,5
Case 1007,5
Case 1008,5
Case 1009,8
Case 101,64
Case 1010,16
Case 1011,64
Case 1012,5
Case 1013,18
Case 1014,23
Case 1015,5
Case 1016,5
Case 1017,75
Case 1018,5
Case 1019,8
Case 102,5
Case 1020,8
Case 1021,5
Case 1022,0
Case 1023,27
Case 1024,0
Case 1025,23
Case 1026,16
Case 1027,8
Case 1028,5
Case 1029,5
Case 103,62
Case 1030,75
Case 1031,23
Case 1032,8
Case 1033,8
Case 1034,5
Case 1035,78
Case 1036,23
Case 1037,5
Case 1038,5
Case 1039,5
Case 104,5
Case 1040,5
Case 1041,5
Case 1042,5
Case 1043,8
Case 1044,44
Case 1045,5
Case 1046,5
Case 1047,36
Case 1048,23
Case 1049,46
Case 105,8
Case 1050,43
Case 1051,5
Case 1052,5
Case 1053,36
Case 1054,8
Case 1055,5
Case 1056,5
Case 1057,10
Case 1058,8
Case 1059,5
Case 106,18
Case 1060,5
Case 1061,36
Case 1062,1
Case 1063,5
Case 1064,5
Case 1065,18
Case 1066,5
Case 1067,5
Case 1068,5
Case 1069,5
Case 107,8
Case 1070,12
Case 1071,5
Case 1072,0
Case 1073,5
Case 1074,8
Case 1075,5
Case 1076,8
Case 1077,0
Case 1078,46
Case 1079,72
Case 108,5
Case 1080,12
Case 1081,8
Case 1082,5
Case 1083,0
Case 1084,5
Case 1085,63
Case 1086,5
Case 1087,53
Case 1088,27
Case 1089,23
Case 109,23
Case 1090,46
Case 1091,1
Case 1092,18
Case 1093,18
Case 1094,5
Case 1095,22
Case 1096,5
Case 1097,41
Case 1098,0
Case 1099,5
Case 11,5
Case 110,5
Case 1100,23
Case 1101,5
Case 1102,46
Case 1103,5
Case 1104,5
Case 1105,53
Case 1106,5
Case 1107,5
Case 1108,5
Case 1109,8
Case 111,44
Case 1110,8
Case 1111,23
Case 1112,72
Case 1113,8
Case 1114,43
Case 1115,5
Case 1116,5
Case 1117,5
Case 1118,0
Case 1119,5
Case 112,5
Case 1120,5
Case 1121,5
Case 1122,5
Case 1123,5
Case 1124,5
Case 1125,5
Case 1126,27
Case 1127,5
Case 1128,5
Case 1129,23
Case 113,64
Case 1130,5
Case 1131,5
Case 1132,5
Case 1133,5
Case 1134,5
Case 1135,16
Case 1136,18
Case 1137,5
Case 1138,5
Case 1139,5
Case 114,49
Case 1140,23
Case 1141,43
Case 1142,78
Case 1143,5
Case 1144,25
Case 1145,8
Case 1146,5
Case 1147,5
Case 1148,5
Case 1149,5
Case 115,72
Case 1150,5
Case 1151,5
Case 1152,5
Case 1153,8
Case 1154,75
Case 1155,23
Case 1156,8
Case 1157,5
Case 1158,78
Case 1159,8
Case 116,5
Case 1160,5
Case 1161,5
Case 1162,5
Case 1163,18
Case 1164,5
Case 1165,5
Case 1166,5
Case 1167,23
Case 1168,75
Case 1169,18
Case 117,5
Case 1170,5
Case 1171,5
Case 1172,8
Case 1173,52
Case 1174,5
Case 1175,54
Case 1176,8
Case 1177,5
Case 1178,5
Case 1179,8
Case 118,5
Case 1180,23
Case 1181,5
Case 1182,5
Case 1183,23
Case 1184,5
Case 1185,5
Case 1186,5
Case 1187,5
Case 1188,5
Case 1189,23
Case 119,5
Case 1190,46
Case 1191,23
Case 1192,15
Case 1193,5
Case 1194,0
Case 1195,5
Case 1196,5
Case 1197,36
Case 1198,27
Case 1199,5
Case 12,5
Case 120,8
Case 1200,5
Case 1201,5
Case 1202,0
Case 1203,5
Case 1204,63
Case 1205,5
Case 1206,5
Case 1207,8
Case 1208,5
Case 1209,5
Case 121,5
Case 1210,22
Case 1211,0
Case 1212,5
Case 1213,5
Case 1214,38
Case 1215,5
Case 1216,5
Case 1217,5
Case 1218,23
Case 1219,5
Case 122,5
Case 1220,5
Case 1221,8
Case 1222,5
Case 1223,54
Case 1224,5
Case 1225,18
Case 1226,27
Case 1227,44
Case 1228,5
Case 1229,5
Case 123,23
Case 1230,5
Case 1231,5
Case 1232,5
Case 1233,5
Case 1234,8
Case 1235,72
Case 1236,8
Case 1237,5
Case 1238,70
Case 1239,8
Case 124,5
Case 1240,5
Case 1241,5
Case 1242,5
Case 1243,5
Case 1244,5
Case 1245,43
Case 1246,8
Case 1247,23
Case 1248,72
Case 1249,6
Case 125,23
Case 1250,41
Case 1251,8
Case 1252,46
Case 1253,5
Case 1254,77
Case 1255,8
Case 1256,8
Case 1257,5
Case 1258,5
Case 1259,27
Case 126,22
Case 1260,5
Case 1261,1
Case 1262,5
Case 1263,5
Case 1264,23
Case 1265,0
Case 1266,5
Case 1267,5
Case 1268,18
Case 1269,36
Case 127,5
Case 1270,23
Case 1271,18
Case 1272,5
Case 1273,5
Case 1274,5
Case 1275,5
Case 1276,0
Case 1277,5
Case 1278,20
Case 1279,0
Case 128,27
Case 1280,5
Case 1281,46
Case 1282,59
Case 1283,5
Case 1284,64
Case 1285,5
Case 1286,5
Case 1287,5
Case 1288,78
Case 1289,5
Case 129,18
Case 1290,5
Case 1291,5
Case 1292,5
Case 1293,5
Case 1294,5
Case 1295,5
Case 1296,5
Case 1297,38
Case 1298,20
Case 1299,8
Case 13,5
Case 130,77
Case 1300,5
Case 1301,8
Case 1302,63
Case 1303,16
Case 1304,8
Case 1305,5
Case 1306,5
Case 1307,23
Case 1308,5
Case 1309,18
Case 131,5
Case 1310,23
Case 1311,5
Case 1312,5
Case 1313,5
Case 1314,40
Case 1315,8
Case 1316,5
Case 1317,18
Case 1318,16
Case 1319,5
Case 132,8
Case 1320,5
Case 1321,8
Case 1322,23
Case 1323,5
Case 1324,54
Case 1325,18
Case 1326,5
Case 1327,22
Case 1328,23
Case 1329,5
Case 133,0
Case 1330,27
Case 1331,5
Case 1332,5
Case 1333,23
Case 1334,36
Case 1335,5
Case 1336,46
Case 1337,5
Case 1338,18
Case 1339,63
Case 134,5
Case 1340,5
Case 1341,5
Case 1342,27
Case 1343,8
Case 1344,5
Case 1345,43
Case 1346,8
Case 1347,5
Case 1348,5
Case 1349,8
Case 135,63
Case 1350,8
Case 1351,64
Case 1352,5
Case 1353,66
Case 1354,8
Case 1355,5
Case 1356,5
Case 1357,5
Case 1358,8
Case 1359,39
Case 136,5
Case 1360,5
Case 1361,5
Case 1362,5
Case 1363,5
Case 1364,53
Case 1365,22
Case 1366,8
Case 1367,5
Case 1368,18
Case 1369,53
Case 137,8
Case 1370,5
Case 1371,3
Case 1372,5
Case 1373,0
Case 1374,8
Case 1375,5
Case 1376,54
Case 1377,23
