CaseIds,Labels
Case 1,0
Case 10,1
Case 100,2
Case 1000,3
Case 1001,1
Case 1002,1
Case 1003,1
Case 1004,1
Case 1005,1
Case 1006,1
Case 1007,1
Case 1008,1
Case 1009,4
Case 101,5
Case 1010,2
Case 1011,5
Case 1012,1
Case 1013,6
Case 1014,7
Case 1015,1
Case 1016,1
Case 1017,8
Case 1018,1
Case 1019,4
Case 102,1
Case 1020,4
Case 1021,1
Case 1022,3
Case 1023,9
Case 1024,3
Case 1025,7
Case 1026,2
Case 1027,4
Case 1028,1
Case 1029,1
Case 103,10
Case 1030,11
Case 1031,7
Case 1032,4
Case 1033,4
Case 1034,1
Case 1035,12
Case 1036,7
Case 1037,1
Case 1038,1
Case 1039,1
Case 104,1
Case 1040,1
Case 1041,1
Case 1042,1
Case 1043,4
Case 1044,13
Case 1045,1
Case 1046,1
Case 1047,14
Case 1048,7
Case 1049,15
Case 105,4
Case 1050,16
Case 1051,1
Case 1052,1
Case 1053,14
Case 1054,4
Case 1055,1
Case 1056,1
Case 1057,17
Case 1058,4
Case 1059,1
Case 106,6
Case 1060,1
Case 1061,14
Case 1062,18
Case 1063,1
Case 1064,1
Case 1065,6
Case 1066,1
Case 1067,1
Case 1068,1
Case 1069,1
Case 107,4
Case 1070,19
Case 1071,1
Case 1072,3
Case 1073,1
Case 1074,4
Case 1075,1
Case 1076,4
Case 1077,3
Case 1078,15
Case 1079,20
Case 108,1
Case 1080,21
Case 1081,4
Case 1082,1
Case 1083,3
Case 1084,1
Case 1085,22
Case 1086,1
Case 1087,23
Case 1088,9
Case 1089,7
Case 109,7
Case 1090,15
Case 1091,18
Case 1092,6
Case 1093,6
Case 1094,1
Case 1095,24
Case 1096,1
Case 1097,25
Case 1098,3
Case 1099,1
Case 11,1
Case 110,1
Case 1100,7
Case 1101,1
Case 1102,15
Case 1103,1
Case 1104,1
Case 1105,26
Case 1106,1
Case 1107,1
Case 1108,1
Case 1109,4
Case 111,13
Case 1110,4
Case 1111,7
Case 1112,20
Case 1113,4
Case 1114,27
Case 1115,1
Case 1116,1
Case 1117,1
Case 1118,3
Case 1119,1
Case 112,1
Case 1120,1
Case 1121,1
Case 1122,1
Case 1123,1
Case 1124,1
Case 1125,1
Case 1126,9
Case 1127,1
Case 1128,1
Case 1129,7
Case 113,5
Case 1130,1
Case 1131,1
Case 1132,1
Case 1133,1
Case 1134,1
Case 1135,2
Case 1136,6
Case 1137,1
Case 1138,1
Case 1139,1
Case 114,28
Case 1140,7
Case 1141,29
Case 1142,30
Case 1143,1
Case 1144,31
Case 1145,4
Case 1146,1
Case 1147,1
Case 1148,1
Case 1149,1
Case 115,20
Case 1150,1
Case 1151,1
Case 1152,1
Case 1153,4
Case 1154,32
Case 1155,7
Case 1156,4
Case 1157,1
Case 1158,12
Case 1159,4
Case 116,1
Case 1160,1
Case 1161,1
Case 1162,1
Case 1163,6
Case 1164,1
Case 1165,1
Case 1166,1
Case 1167,7
Case 1168,32
Case 1169,6
Case 117,1
Case 1170,1
Case 1171,1
Case 1172,4
Case 1173,33
Case 1174,1
Case 1175,34
Case 1176,4
Case 1177,1
Case 1178,1
Case 1179,4
Case 118,1
Case 1180,7
Case 1181,1
Case 1182,1
Case 1183,7
Case 1184,1
Case 1185,1
Case 1186,1
Case 1187,1
Case 1188,1
Case 1189,7
Case 119,1
Case 1190,15
Case 1191,7
Case 1192,35
Case 1193,1
Case 1194,3
Case 1195,1
Case 1196,1
Case 1197,14
Case 1198,9
Case 1199,1
Case 12,1
Case 120,4
Case 1200,1
Case 1201,1
Case 1202,3
Case 1203,1
Case 1204,36
Case 1205,1
Case 1206,1
Case 1207,4
Case 1208,1
Case 1209,1
Case 121,1
Case 1210,37
Case 1211,3
Case 1212,1
Case 1213,1
Case 1214,0
Case 1215,1
Case 1216,1
Case 1217,1
Case 1218,7
Case 1219,1
Case 122,1
Case 1220,1
Case 1221,4
Case 1222,1
Case 1223,34
Case 1224,1
Case 1225,6
Case 1226,9
Case 1227,38
Case 1228,1
Case 1229,1
Case 123,7
Case 1230,1
Case 1231,1
Case 1232,1
Case 1233,1
Case 1234,4
Case 1235,20
Case 1236,4
Case 1237,1
Case 1238,39
Case 1239,4
Case 124,1
Case 1240,1
Case 1241,1
Case 1242,1
Case 1243,1
Case 1244,1
Case 1245,40
Case 1246,4
Case 1247,7
Case 1248,20
Case 1249,41
Case 125,7
Case 1250,42
Case 1251,4
Case 1252,15
Case 1253,1
Case 1254,43
Case 1255,4
Case 1256,4
Case 1257,1
Case 1258,1
Case 1259,9
Case 126,24
Case 1260,1
Case 1261,44
Case 1262,1
Case 1263,1
Case 1264,7
Case 1265,3
Case 1266,1
Case 1267,1
Case 1268,6
Case 1269,45
Case 127,1
Case 1270,7
Case 1271,6
Case 1272,1
Case 1273,1
Case 1274,1
Case 1275,1
Case 1276,3
Case 1277,1
Case 1278,46
Case 1279,3
Case 128,9
Case 1280,1
Case 1281,15
Case 1282,47
Case 1283,1
Case 1284,5
Case 1285,1
Case 1286,1
Case 1287,1
Case 1288,48
Case 1289,1
Case 129,6
Case 1290,1
Case 1291,1
Case 1292,1
Case 1293,1
Case 1294,1
Case 1295,1
Case 1296,1
Case 1297,0
Case 1298,46
Case 1299,4
Case 13,1
Case 130,49
Case 1300,1
Case 1301,4
Case 1302,36
Case 1303,2
Case 1304,4
Case 1305,1
Case 1306,1
Case 1307,7
Case 1308,1
Case 1309,6
Case 131,1
Case 1310,7
Case 1311,1
Case 1312,1
Case 1313,1
Case 1314,50
Case 1315,4
Case 1316,1
Case 1317,6
Case 1318,2
Case 1319,1
Case 132,4
Case 1320,1
Case 1321,4
Case 1322,7
Case 1323,1
Case 1324,34
Case 1325,6
Case 1326,1
Case 1327,37
Case 1328,7
Case 1329,1
Case 133,3
Case 1330,9
Case 1331,1
Case 1332,1
Case 1333,7
Case 1334,14
Case 1335,1
Case 1336,15
Case 1337,1
Case 1338,6
Case 1339,51
Case 134,1
Case 1340,1
Case 1341,1
Case 1342,9
Case 1343,4
