CaseIds,Labels
A,15
AA,1
AAA,45
AB,1
ABA,59
AC,37
ACA,1
AD,17
ADA,23
AE,53
AEA,30
AF,68
AFA,42
AG,5
AGA,24
AH,10
AHA,11
AI,40
AIA,65
AJ,8
AJA,5
AK,76
AKA,2
AL,59
ALA,47
AM,5
AMA,24
AN,1
ANA,24
AO,81
AP,76
AQ,54
AR,15
AS,6
AT,1
AU,11
AV,3
AW,26
AX,13
AY,62
AZ,24
B,20
BA,37
BAA,11
BB,13
BBA,39
BC,5
BCA,61
BD,11
BDA,16
BE,25
BEA,1
BF,37
BFA,83
BG,22
BGA,11
BH,57
BHA,24
BI,19
BIA,17
BJ,61
BJA,46
BK,37
BKA,40
BL,52
BLA,23
BM,41
BMA,32
BN,63
BNA,12
BO,13
BP,83
BQ,11
BR,45
BS,20
BT,37
BU,54
BV,11
BW,78
BX,68
BY,13
BZ,15
C,57
CA,1
CAA,1
CB,39
CBA,20
CC,82
CCA,1
CD,1
CDA,2
CE,74
CEA,39
CF,63
CFA,35
CG,78
CGA,16
CH,69
CHA,37
CI,18
CIA,5
CJ,23
CJA,42
CK,5
CKA,53
CL,75
CLA,1
CM,14
CMA,30
CN,19
CNA,8
CO,12
CP,64
CQ,18
CR,68
CS,26
CT,11
CU,37
CV,11
CW,24
CX,21
CY,23
CZ,17
D,37
DA,16
DAA,0
DB,11
DBA,39
DC,32
DCA,37
DD,58
DDA,0
DE,5
DEA,39
DF,5
DFA,21
DG,11
DGA,22
DH,59
DHA,42
DI,11
DIA,5
DJ,27
DJA,72
DK,37
DKA,4
DL,47
DLA,1
DM,1
DMA,2
DN,5
DNA,1
DO,46
DP,54
DQ,1
DR,24
DS,24
DT,69
DU,30
DV,1
DW,18
DX,39
DY,16
DZ,17
E,1
EA,4
EAA,67
EB,1
EBA,20
EC,59
ECA,27
ED,70
EDA,32
EE,12
EEA,37
EF,54
EFA,13
EG,5
EGA,18
EH,9
EHA,17
EI,42
EIA,32
EJ,10
EJA,69
EK,6
EKA,54
EL,16
ELA,22
EM,17
EMA,68
EN,1
ENA,5
EO,40
EP,1
EQ,8
ER,1
ES,33
ET,9
EU,25
EV,31
EW,23
EX,57
EY,65
EZ,13
F,3
FA,1
FAA,37
FB,1
FBA,48
FC,12
FCA,40
FD,44
FDA,68
FE,23
FEA,3
FF,1
FFA,2
FG,55
FGA,76
FH,39
FHA,39
FI,1
FIA,18
FJ,37
FJA,0
FK,0
FKA,18
FL,30
FLA,5
FM,35
FMA,43
FN,83
FNA,30
FO,27
FP,43
FQ,58
FR,30
FS,13
FT,17
FU,7
FV,1
FW,35
FX,46
FY,14
FZ,59
G,11
GA,11
GAA,0
GB,37
GBA,45
GC,11
GCA,25
GD,78
GDA,81
GE,24
GEA,54
GF,29
GFA,9
GG,50
GGA,1
GH,1
GHA,84
GI,16
GIA,26
GJ,61
GJA,40
GK,33
GKA,13
GL,46
GLA,21
GM,16
GMA,77
GN,50
GNA,6
GO,53
GP,3
GQ,55
GR,5
GS,70
GT,15
GU,65
GV,41
GW,44
GX,78
GY,18
GZ,5
H,7
HA,18
HAA,7
HB,24
HBA,25
HC,5
HCA,1
HD,6
HDA,32
HE,14
HEA,23
HF,18
HFA,1
HG,46
HGA,7
HH,11
HHA,53
HI,72
HIA,46
HJ,28
HJA,18
HK,43
HKA,59
HL,40
HLA,53
HM,57
HMA,2
HN,68
HNA,17
HO,23
HP,18
HQ,18
HR,9
HS,34
HT,54
HU,2
HV,0
HW,69
HX,3
HY,40
HZ,7
I,10
IA,1
IAA,72
IB,16
IBA,20
IC,47
ICA,5
ID,2
IDA,16
IE,12
IEA,37
IF,0
IFA,1
IG,73
IGA,46
IH,46
IHA,0
II,37
IIA,39
IJ,21
IJA,76
IK,13
IKA,1
IL,39
ILA,43
IM,34
IMA,5
IN,76
INA,2
IO,14
IP,35
IQ,37
IR,26
IS,15
IT,46
IU,24
IV,1
IW,25
IX,1
IY,68
IZ,12
J,55
JA,10
JAA,73
JB,1
JBA,1
JC,40
JCA,68
JD,4
JDA,1
JE,46
JEA,30
JF,1
JFA,81
JG,25
JGA,69
JH,43
JHA,16
JI,1
JIA,82
JJ,11
JJA,55
JK,49
JKA,41
JL,9
JLA,8
JM,80
JMA,0
JN,11
JNA,2
JO,43
JP,5
JQ,38
JR,40
JS,62
JT,21
JU,14
JV,53
JW,46
JX,61
JY,59
JZ,31
K,46
KA,0
KAA,36
KB,45
KBA,24
KC,39
KCA,24
KD,61
KDA,2
KE,46
KEA,1
KF,24
KFA,4
KG,0
KGA,76
KH,11
KHA,3
KI,46
KIA,39
KJ,69
KJA,5
KK,54
KKA,84
KL,5
KLA,25
KM,51
KMA,23
KN,18
KNA,53
KO,59
KP,3
KQ,48
KR,30
KS,0
KT,18
KU,1
KV,81
KW,32
KX,17
KY,5
KZ,21
L,25
LA,5
LAA,1
LB,23
LBA,57
LC,77
LCA,1
LD,54
LDA,24
LE,41
LEA,56
LF,5
LFA,9
LG,51
LGA,30
LH,8
LHA,18
LI,4
LIA,34
LJ,77
LJA,1
LK,11
LKA,15
LL,8
LLA,5
LM,34
LMA,74
LN,40
LNA,2
LO,1
LP,83
LQ,7
LR,11
LS,25
LT,7
LU,37
LV,62
LW,42
LX,25
LY,2
LZ,22
M,2
MA,54
MAA,0
MB,2
MBA,55
MC,25
MCA,5
MD,40
MDA,44
ME,40
MEA,23
MF,2
MFA,37
MG,67
MGA,41
MH,5
MHA,20
MI,1
MIA,37
MJ,21
MJA,78
MK,83
