CaseIds,Labels
Case 1,68
Case 10,26
Case 100,83
Case 1000,42
Case 1001,26
Case 1002,26
Case 1003,26
Case 1004,26
Case 1005,26
Case 1006,26
Case 1007,26
Case 1008,26
Case 1009,45
Case 101,88
Case 1010,83
Case 1011,88
Case 1012,26
Case 1013,61
Case 1014,10
Case 1015,26
Case 1016,26
Case 1017,32
Case 1018,26
Case 1019,45
Case 102,26
Case 1020,45
Case 1021,26
Case 1022,42
Case 1023,7
Case 1024,42
Case 1025,10
Case 1026,83
Case 1027,45
Case 1028,26
Case 1029,26
Case 103,14
Case 1030,66
Case 1031,10
Case 1032,45
Case 1033,45
Case 1034,26
Case 1035,25
Case 1036,10
Case 1037,26
Case 1038,26
Case 1039,26
Case 104,26
Case 1040,26
Case 1041,26
Case 1042,26
Case 1043,45
Case 1044,75
Case 1045,26
Case 1046,26
Case 1047,11
Case 1048,10
Case 1049,86
Case 105,45
Case 1050,75
Case 1051,26
Case 1052,26
Case 1053,11
Case 1054,45
Case 1055,26
Case 1056,26
Case 1057,70
Case 1058,45
Case 1059,26
Case 106,61
Case 1060,26
Case 1061,11
Case 1062,48
Case 1063,26
Case 1064,26
Case 1065,61
Case 1066,26
Case 1067,26
Case 1068,26
Case 1069,26
Case 107,45
Case 1070,27
Case 1071,26
Case 1072,42
Case 1073,26
Case 1074,45
Case 1075,26
Case 1076,45
Case 1077,42
Case 1078,86
Case 1079,32
Case 108,26
Case 1080,25
Case 1081,45
Case 1082,26
Case 1083,42
Case 1084,26
Case 1085,25
Case 1086,26
Case 1087,27
Case 1088,7
Case 1089,10
Case 109,10
Case 1090,86
Case 1091,48
Case 1092,61
Case 1093,61
Case 1094,26
Case 1095,3
Case 1096,26
Case 1097,14
Case 1098,42
Case 1099,26
Case 11,26
Case 110,26
Case 1100,10
Case 1101,26
Case 1102,86
Case 1103,26
Case 1104,26
Case 1105,9
Case 1106,26
Case 1107,26
Case 1108,26
Case 1109,45
Case 111,75
Case 1110,45
Case 1111,10
Case 1112,32
Case 1113,45
Case 1114,85
Case 1115,26
Case 1116,26
Case 1117,26
Case 1118,42
Case 1119,26
Case 112,26
Case 1120,26
Case 1121,26
Case 1122,26
Case 1123,26
Case 1124,26
Case 1125,26
Case 1126,7
Case 1127,26
Case 1128,26
Case 1129,10
Case 113,88
Case 1130,26
Case 1131,26
Case 1132,26
Case 1133,26
Case 1134,26
Case 1135,83
Case 1136,61
Case 1137,26
Case 1138,26
Case 1139,26
Case 114,47
Case 1140,10
Case 1141,85
Case 1142,48
Case 1143,26
Case 1144,70
Case 1145,45
Case 1146,26
Case 1147,26
Case 1148,26
Case 1149,26
Case 115,32
Case 1150,26
Case 1151,26
Case 1152,26
Case 1153,45
Case 1154,32
Case 1155,10
Case 1156,45
Case 1157,26
Case 1158,25
Case 1159,45
Case 116,26
Case 1160,26
Case 1161,26
Case 1162,26
Case 1163,61
Case 1164,26
Case 1165,26
Case 1166,26
Case 1167,10
Case 1168,32
Case 1169,61
Case 117,26
Case 1170,26
Case 1171,26
Case 1172,45
Case 1173,14
Case 1174,26
Case 1175,52
Case 1176,45
Case 1177,26
Case 1178,26
Case 1179,45
Case 118,26
Case 1180,10
Case 1181,26
Case 1182,26
Case 1183,10
Case 1184,26
Case 1185,26
Case 1186,26
Case 1187,26
Case 1188,26
Case 1189,10
Case 119,26
Case 1190,86
Case 1191,10
Case 1192,12
Case 1193,26
Case 1194,42
Case 1195,26
Case 1196,26
Case 1197,11
Case 1198,7
Case 1199,26
Case 12,26
Case 120,45
Case 1200,26
Case 1201,26
Case 1202,42
Case 1203,26
Case 1204,75
Case 1205,26
Case 1206,26
Case 1207,45
