CaseIds,Labels
Case 1,32
Case 10,5
Case 100,48
Case 1000,9
Case 1001,5
Case 1002,5
Case 1003,5
Case 1004,5
Case 1005,5
Case 1006,5
Case 1007,5
Case 1008,5
Case 1009,10
Case 101,16
Case 1010,48
Case 1011,16
Case 1012,5
Case 1013,34
Case 1014,12
Case 1015,5
Case 1016,5
Case 1017,80
Case 1018,5
Case 1019,10
Case 102,5
Case 1020,10
Case 1021,5
Case 1022,9
Case 1023,3
Case 1024,9
Case 1025,12
Case 1026,48
Case 1027,10
Case 1028,5
Case 1029,5
Case 103,90
Case 1030,79
Case 1031,12
Case 1032,10
Case 1033,10
Case 1034,5
Case 1035,56
Case 1036,12
Case 1037,5
Case 1038,5
Case 1039,5
Case 104,5
Case 1040,5
Case 1041,5
Case 1042,5
Case 1043,10
Case 1044,57
Case 1045,5
Case 1046,5
Case 1047,79
Case 1048,12
Case 1049,38
Case 105,10
Case 1050,62
Case 1051,5
Case 1052,5
Case 1053,79
Case 1054,10
Case 1055,5
Case 1056,5
Case 1057,77
Case 1058,10
Case 1059,5
Case 106,34
Case 1060,5
Case 1061,79
Case 1062,86
Case 1063,5
Case 1064,5
Case 1065,34
Case 1066,5
Case 1067,5
Case 1068,5
Case 1069,5
Case 107,10
Case 1070,70
Case 1071,5
Case 1072,9
Case 1073,5
Case 1074,10
Case 1075,5
Case 1076,10
Case 1077,9
Case 1078,38
Case 1079,39
Case 108,5
Case 1080,51
Case 1081,10
Case 1082,5
Case 1083,9
Case 1084,5
Case 1085,57
Case 1086,5
Case 1087,72
Case 1088,3
Case 1089,12
Case 109,12
Case 1090,38
Case 1091,86
Case 1092,34
Case 1093,34
Case 1094,5
Case 1095,0
Case 1096,5
Case 1097,72
Case 1098,9
Case 1099,5
Case 11,5
Case 110,5
Case 1100,12
Case 1101,5
Case 1102,38
Case 1103,5
Case 1104,5
Case 1105,51
Case 1106,5
Case 1107,5
Case 1108,5
Case 1109,10
Case 111,57
Case 1110,10
Case 1111,12
Case 1112,39
Case 1113,10
Case 1114,7
Case 1115,5
Case 1116,5
Case 1117,5
Case 1118,9
Case 1119,5
Case 112,5
Case 1120,5
Case 1121,5
Case 1122,5
Case 1123,5
Case 1124,5
Case 1125,5
Case 1126,3
Case 1127,5
Case 1128,5
Case 1129,12
Case 113,16
Case 1130,5
Case 1131,5
Case 1132,5
Case 1133,5
Case 1134,5
Case 1135,48
Case 1136,34
Case 1137,5
Case 1138,5
Case 1139,5
Case 114,70
Case 1140,12
Case 1141,7
Case 1142,70
Case 1143,5
Case 1144,17
Case 1145,10
Case 1146,5
Case 1147,5
Case 1148,5
Case 1149,5
Case 115,39
Case 1150,5
Case 1151,5
Case 1152,5
Case 1153,10
Case 1154,53
Case 1155,12
Case 1156,10
Case 1157,5
Case 1158,56
Case 1159,10
Case 116,5
Case 1160,5
Case 1161,5
Case 1162,5
Case 1163,34
Case 1164,5
Case 1165,5
Case 1166,5
Case 1167,12
Case 1168,53
Case 1169,34
Case 117,5
Case 1170,5
Case 1171,5
Case 1172,10
Case 1173,73
Case 1174,5
Case 1175,53
Case 1176,10
Case 1177,5
Case 1178,5
Case 1179,10
Case 118,5
Case 1180,12
Case 1181,5
Case 1182,5
Case 1183,12
Case 1184,5
Case 1185,5
Case 1186,5
Case 1187,5
Case 1188,5
Case 1189,12
Case 119,5
Case 1190,38
Case 1191,12
Case 1192,64
Case 1193,5
Case 1194,9
Case 1195,5
Case 1196,5
Case 1197,79
Case 1198,3
Case 1199,5
Case 12,5
Case 120,10
Case 1200,5
Case 1201,5
Case 1202,9
Case 1203,5
Case 1204,30
Case 1205,5
Case 1206,5
Case 1207,10
Case 1208,5
Case 1209,5
Case 121,5
Case 1210,0
Case 1211,9
Case 1212,5
Case 1213,5
Case 1214,32
Case 1215,5
Case 1216,5
Case 1217,5
Case 1218,12
Case 1219,5
Case 122,5
Case 1220,5
Case 1221,10
Case 1222,5
Case 1223,53
Case 1224,5
Case 1225,34
Case 1226,3
Case 1227,90
Case 1228,5
Case 1229,5
Case 123,12
Case 1230,5
Case 1231,5
Case 1232,5
Case 1233,5
Case 1234,10
Case 1235,39
Case 1236,10
Case 1237,5
Case 1238,77
Case 1239,10
Case 124,5
Case 1240,5
Case 1241,5
Case 1242,5
Case 1243,5
Case 1244,5
Case 1245,7
Case 1246,10
Case 1247,12
Case 1248,39
Case 1249,23
Case 125,12
Case 1250,70
Case 1251,10
Case 1252,38
Case 1253,5
Case 1254,21
Case 1255,10
Case 1256,10
Case 1257,5
Case 1258,5
Case 1259,3
Case 126,0
Case 1260,5
Case 1261,1
Case 1262,5
Case 1263,5
Case 1264,12
Case 1265,9
Case 1266,5
Case 1267,5
Case 1268,34
Case 1269,79
Case 127,5
Case 1270,12
Case 1271,34
Case 1272,5
Case 1273,5
Case 1274,5
Case 1275,5
Case 1276,9
Case 1277,5
Case 1278,16
Case 1279,9
Case 128,3
Case 1280,5
Case 1281,38
Case 1282,89
Case 1283,5
Case 1284,16
Case 1285,5
Case 1286,5
Case 1287,5
Case 1288,85
Case 1289,5
Case 129,34
Case 1290,5
Case 1291,5
Case 1292,5
Case 1293,5
Case 1294,5
Case 1295,5
Case 1296,5
Case 1297,32
Case 1298,16
Case 1299,10
Case 13,5
Case 130,25
Case 1300,5
Case 1301,10
Case 1302,30
Case 1303,48
Case 1304,10
Case 1305,5
Case 1306,5
Case 1307,12
Case 1308,5
Case 1309,34
Case 131,5
Case 1310,12
Case 1311,5
Case 1312,5
Case 1313,5
Case 1314,13
Case 1315,10
Case 1316,5
Case 1317,34
Case 1318,48
Case 1319,5
Case 132,10
Case 1320,5
Case 1321,10
Case 1322,12
Case 1323,5
Case 1324,53
Case 1325,34
Case 1326,5
Case 1327,0
Case 1328,12
Case 1329,5
Case 133,9
Case 1330,3
Case 1331,5
Case 1332,5
Case 1333,12
Case 1334,79
Case 1335,5
Case 1336,38
Case 1337,5
Case 1338,34
Case 1339,90
Case 134,5
Case 1340,5
Case 1341,5
Case 1342,3
Case 1343,10
Case 1344,5
Case 1345,62
Case 1346,10
Case 1347,5
Case 1348,5
Case 1349,10
Case 135,30
Case 1350,10
Case 1351,16
Case 1352,5
Case 1353,72
Case 1354,10
Case 1355,5
Case 1356,5
Case 1357,5
Case 1358,10
Case 1359,18
Case 136,5
Case 1360,5
Case 1361,5
Case 1362,5
Case 1363,5
Case 1364,70
Case 1365,1
Case 1366,10
Case 1367,5
Case 1368,34
Case 1369,33
Case 137,10
Case 1370,5
Case 1371,31
Case 1372,5
Case 1373,9
Case 1374,10
Case 1375,5
Case 1376,53
Case 1377,12
Case 1378,5
Case 1379,5
Case 138,5
Case 1380,10
Case 1381,56
Case 1382,5
Case 1383,5
Case 1384,3
Case 1385,9
Case 1386,38
Case 1387,10
Case 1388,14
Case 1389,5
Case 139,5
Case 1390,12
Case 1391,56
Case 1392,5
Case 1393,79
Case 1394,5
Case 1395,9
Case 1396,5
Case 1397,10
Case 1398,10
Case 1399,5
Case 14,5
Case 140,5
Case 1400,5
Case 1401,10
Case 1402,16
Case 1403,56
Case 1404,5
Case 1405,5
Case 1406,5
Case 1407,70
Case 1408,38
Case 1409,5
Case 141,90
Case 1410,5
Case 1411,90
Case 1412,5
Case 1413,32
Case 1414,12
Case 1415,5
Case 1416,5
Case 1417,5
Case 1418,5
Case 1419,10
Case 142,5
Case 1420,16
Case 1421,5
Case 1422,9
Case 1423,10
Case 1424,5
Case 1425,5
Case 1426,53
Case 1427,5
Case 1428,73
Case 1429,10
Case 143,10
Case 1430,5
Case 1431,32
Case 1432,5
Case 1433,10
Case 1434,5
Case 1435,34
Case 1436,62
Case 1437,5
Case 1438,5
Case 1439,5
Case 144,10
Case 1440,5
Case 1441,5
Case 1442,21
Case 1443,34
Case 1444,5
Case 1445,5
Case 1446,62
Case 1447,5
Case 1448,10
Case 1449,79
Case 145,77
Case 1450,10
Case 1451,14
Case 1452,5
Case 1453,38
Case 1454,5
Case 1455,5
Case 1456,25
Case 1457,10
Case 1458,34
Case 1459,5
Case 146,5
Case 1460,70
Case 1461,5
Case 1462,10
Case 1463,9
Case 1464,10
Case 1465,10
Case 1466,5
Case 1467,5
Case 1468,9
Case 1469,5
Case 147,5
Case 1470,5
Case 1471,48
Case 1472,90
Case 1473,3
Case 1474,5
Case 1475,12
Case 1476,12
Case 1477,5
Case 1478,90
Case 1479,5
Case 148,38
Case 1480,5
Case 1481,5
Case 1482,5
Case 1483,5
Case 1484,10
Case 1485,5
Case 1486,5
Case 1487,5
Case 1488,5
Case 1489,5
