CaseIds,Labels
Case 1,70
Case 10,15
Case 100,6
Case 1000,9
Case 1001,15
Case 1002,15
Case 1003,15
Case 1004,15
Case 1005,15
Case 1006,15
Case 1007,15
Case 1008,15
Case 1009,32
Case 101,4
Case 1010,6
Case 1011,4
Case 1012,15
Case 1013,85
Case 1014,35
Case 1015,15
Case 1016,15
Case 1017,82
Case 1018,15
Case 1019,32
Case 102,15
Case 1020,32
Case 1021,15
Case 1022,9
Case 1023,34
Case 1024,9
Case 1025,35
Case 1026,6
Case 1027,32
Case 1028,15
Case 1029,15
Case 103,18
Case 1030,5
Case 1031,35
Case 1032,32
Case 1033,32
Case 1034,15
Case 1035,59
Case 1036,35
Case 1037,15
Case 1038,15
Case 1039,15
Case 104,15
Case 1040,15
Case 1041,15
Case 1042,15
Case 1043,32
Case 1044,16
Case 1045,15
Case 1046,15
Case 1047,31
Case 1048,35
Case 1049,17
Case 105,32
Case 1050,35
Case 1051,15
Case 1052,15
Case 1053,31
Case 1054,32
Case 1055,15
Case 1056,15
Case 1057,11
Case 1058,32
Case 1059,15
Case 106,85
Case 1060,15
Case 1061,31
Case 1062,3
Case 1063,15
Case 1064,15
Case 1065,85
Case 1066,15
Case 1067,15
Case 1068,15
Case 1069,15
Case 107,32
Case 1070,16
Case 1071,15
Case 1072,9
Case 1073,15
Case 1074,32
Case 1075,15
Case 1076,32
Case 1077,9
Case 1078,17
Case 1079,8
Case 108,15
Case 1080,64
Case 1081,32
Case 1082,15
Case 1083,9
Case 1084,15
Case 1085,35
Case 1086,15
Case 1087,16
Case 1088,34
Case 1089,35
Case 109,35
Case 1090,17
Case 1091,3
Case 1092,85
Case 1093,85
Case 1094,15
Case 1095,23
Case 1096,15
Case 1097,69
Case 1098,9
Case 1099,15
Case 11,15
Case 110,15
Case 1100,35
Case 1101,15
Case 1102,17
Case 1103,15
Case 1104,15
Case 1105,9
Case 1106,15
Case 1107,15
Case 1108,15
Case 1109,32
Case 111,16
Case 1110,32
Case 1111,35
Case 1112,8
Case 1113,32
Case 1114,56
Case 1115,15
Case 1116,15
Case 1117,15
Case 1118,9
Case 1119,15
Case 112,15
Case 1120,15
Case 1121,15
Case 1122,15
Case 1123,15
Case 1124,15
Case 1125,15
Case 1126,34
Case 1127,15
Case 1128,15
Case 1129,35
Case 113,4
Case 1130,15
Case 1131,15
Case 1132,15
Case 1133,15
Case 1134,15
Case 1135,6
Case 1136,85
Case 1137,15
Case 1138,15
Case 1139,15
Case 114,46
Case 1140,35
Case 1141,56
Case 1142,10
Case 1143,15
Case 1144,6
Case 1145,32
Case 1146,15
Case 1147,15
Case 1148,15
Case 1149,15
Case 115,8
Case 1150,15
Case 1151,15
Case 1152,15
Case 1153,32
Case 1154,82
Case 1155,35
Case 1156,32
Case 1157,15
Case 1158,59
Case 1159,32
Case 116,15
Case 1160,15
Case 1161,15
Case 1162,15
Case 1163,85
Case 1164,15
Case 1165,15
Case 1166,15
Case 1167,35
Case 1168,82
Case 1169,85
Case 117,15
Case 1170,15
Case 1171,15
Case 1172,32
Case 1173,36
Case 1174,15
Case 1175,21
Case 1176,32
Case 1177,15
Case 1178,15
Case 1179,32
Case 118,15
Case 1180,35
Case 1181,15
Case 1182,15
Case 1183,35
Case 1184,15
Case 1185,15
Case 1186,15
Case 1187,15
Case 1188,15
Case 1189,35
Case 119,15
Case 1190,17
Case 1191,35
Case 1192,33
Case 1193,15
Case 1194,9
Case 1195,15
Case 1196,15
Case 1197,31
Case 1198,34
Case 1199,15
Case 12,15
Case 120,32
Case 1200,15
Case 1201,15
Case 1202,9
Case 1203,15
Case 1204,16
Case 1205,15
Case 1206,15
Case 1207,32
Case 1208,15
Case 1209,15
Case 121,15
Case 1210,44
Case 1211,9
Case 1212,15
Case 1213,15
Case 1214,70
Case 1215,15
Case 1216,15
Case 1217,15
Case 1218,35
Case 1219,15
Case 122,15
Case 1220,15
Case 1221,32
Case 1222,15
Case 1223,21
Case 1224,15
Case 1225,85
Case 1226,34
Case 1227,35
Case 1228,15
Case 1229,15
Case 123,35
Case 1230,15
Case 1231,15
Case 1232,15
Case 1233,15
Case 1234,32
Case 1235,8
Case 1236,32
Case 1237,15
Case 1238,11
Case 1239,32
Case 124,15
Case 1240,15
Case 1241,15
Case 1242,15
Case 1243,15
Case 1244,15
Case 1245,36
Case 1246,32
Case 1247,35
Case 1248,8
Case 1249,66
Case 125,35
Case 1250,3
Case 1251,32
Case 1252,17
Case 1253,15
Case 1254,83
Case 1255,32
Case 1256,32
Case 1257,15
Case 1258,15
Case 1259,34
Case 126,23
Case 1260,15
Case 1261,20
Case 1262,15
Case 1263,15
Case 1264,35
Case 1265,9
Case 1266,15
Case 1267,15
Case 1268,85
Case 1269,35
Case 127,15
Case 1270,35
Case 1271,85
Case 1272,15
Case 1273,15
Case 1274,15
Case 1275,15
Case 1276,9
Case 1277,15
Case 1278,22
Case 1279,9
Case 128,34
Case 1280,15
Case 1281,17
Case 1282,76
Case 1283,15
Case 1284,4
Case 1285,15
Case 1286,15
Case 1287,15
Case 1288,12
Case 1289,15
Case 129,85
Case 1290,15
Case 1291,15
Case 1292,15
Case 1293,15
Case 1294,15
Case 1295,15
Case 1296,15
Case 1297,70
Case 1298,22
Case 1299,32
Case 13,15
Case 130,4
Case 1300,15
Case 1301,32
Case 1302,16
Case 1303,6
Case 1304,32
Case 1305,15
Case 1306,15
Case 1307,35
Case 1308,15
Case 1309,85
Case 131,15
Case 1310,35
Case 1311,15
Case 1312,15
Case 1313,15
Case 1314,41
Case 1315,32
Case 1316,15
Case 1317,85
Case 1318,6
Case 1319,15
Case 132,32
Case 1320,15
Case 1321,32
Case 1322,35
