Id,Creation Time,Owner,Monitoring Time,sil,complexity,pipeline,clusters,dataset,case_labels
PM-153,2023-06-08 16:29:54,matheus.camilo,310,0.9673,0.0309,"AgglomerativeClustering(input_matrix, encoding=node2vec, linkage=ward, metric=euclidean, n_clusters=98)",98.0,helpdesk.csv,helpdesk.csv_6478a1e770c454f6d9d9a356.csv
PM-152,2023-06-08 16:20:37,matheus.camilo,556,0.949,0.0351,"AgglomerativeClustering(CombineDFs(input_matrix, input_matrix), encoding=word2vec, linkage=complete, metric=l1, n_clusters=100)",100.0,helpdesk.csv,helpdesk.csv_6478a1e770c454f6d9d9a355.csv
PM-151,2023-06-08 16:16:29,matheus.camilo,247,0.9773,0.019,"DBSCAN(input_matrix, encoding=node2vec, eps=0.01, leaf_size=25, metric=manhattan, min_samples=1)",185.0,helpdesk.csv,helpdesk.csv_6478a1e770c454f6d9d9a354.csv
PM-150,2023-06-08 16:06:24,matheus.camilo,605,0.9121,1.0,"MiniBatchKMeans(input_matrix, encoding=node2vec, init=random, max_iter=500, n_clusters=97)",57.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a33e.csv
PM-148,2023-06-08 15:33:09,matheus.camilo,76,0.8284,0.1501,"MiniBatchKMeans(CombineDFs(input_matrix, input_matrix), encoding=word2vec, init=k-means++, max_iter=100, n_clusters=14)",14.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a339.csv
PM-147,2023-06-08 15:31:30,matheus.camilo,99,0.8076,0.0595,"MiniBatchKMeans(FastICA(input_matrix, n_components=5), encoding=node2vec, init=random, max_iter=100, n_clusters=60)",49.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a338.csv
PM-146,2023-06-08 15:29:39,matheus.camilo,111,0.9242,0.0839,"DBSCAN(input_matrix, encoding=node2vec, eps=0.01, leaf_size=30, metric=cityblock, min_samples=3)",43.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a337.csv
PM-145,2023-06-08 15:27:51,matheus.camilo,107,0.9278,0.0534,"MiniBatchKMeans(input_matrix, encoding=node2vec, init=k-means++, max_iter=300, n_clusters=104)",57.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a336.csv
PM-144,2023-06-06 17:03:29,matheus.camilo,349,0.9222,0.0341,"MiniBatchKMeans(input_matrix, encoding=alignments, init=random, max_iter=100, n_clusters=101)",57.0,helpdesk.csv,helpdesk.csv_6478a1e770c454f6d9d9a354.csv
PM-143,2023-06-06 17:01:04,matheus.camilo,145,0.5502,0.0448,"MiniBatchKMeans(FastICA(input_matrix, n_components=10), encoding=alignments, init=random, max_iter=500, n_clusters=88)",63.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a33a.csv
PM-142,2023-06-06 16:59:25,matheus.camilo,99,0.9181,0.0743,"MiniBatchKMeans(FastICA(PCA(input_matrix, n_components=2), n_components=2), encoding=word2vec, init=random, max_iter=300, n_clusters=50)",40.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a339.csv
PM-141,2023-06-06 16:57:45,matheus.camilo,99,0.9266,0.0612,"MiniBatchKMeans(input_matrix, encoding=node2vec, init=k-means++, max_iter=500, n_clusters=90)",49.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a337.csv
PM-139,2023-06-06 15:26:19,matheus.camilo,1186,0.8279,0.153,"MiniBatchKMeans(CombineDFs(input_matrix, CombineDFs(input_matrix, input_matrix)), encoding=alignments, init=random, max_iter=100, n_clusters=69)",60.0,bpi_2013_incidents.csv,bpi_2013_incidents.csv_6478a1e770c454f6d9d9a332.csv
PM-138,2023-06-06 14:52:30,matheus.camilo,2028,0.8248,0.1356,"MiniBatchKMeans(input_matrix, encoding=alignments, init=k-means++, max_iter=100, n_clusters=98)",93.0,bpi_2013_incidents.csv,bpi_2013_incidents.csv_6478a1e770c454f6d9d9a331.csv
PM-137,2023-06-06 14:21:27,matheus.camilo,1863,0.9718,0.1387,"DBSCAN(CombineDFs(CombineDFs(input_matrix, input_matrix), CombineDFs(input_matrix, input_matrix)), encoding=node2vec, eps=0.01, leaf_size=20, metric=l1, min_samples=1)",452.0,bpi_2013_incidents.csv,bpi_2013_incidents.csv_6478a1e770c454f6d9d9a32e.csv
PM-135,2023-06-06 12:10:36,matheus.camilo,306,0.2533,0.0,"DBSCAN(input_matrix, encoding=alignments, eps=10.0, leaf_size=35, metric=manhattan, min_samples=1)",846.0,sepsis.csv,sepsis.csv_6478a1e770c454f6d9d9a349.csv
PM-134,2023-06-06 12:07:39,matheus.camilo,177,0.6858,0.2271,"DBSCAN(input_matrix, encoding=node2vec, eps=0.01, leaf_size=45, metric=manhattan, min_samples=1)",433.0,sepsis.csv,sepsis.csv_6478a1e770c454f6d9d9a348.csv
PM-133,2023-06-06 12:04:43,matheus.camilo,176,0.6848,0.2268,"DBSCAN(input_matrix, encoding=word2vec, eps=0.001, leaf_size=45, metric=l1, min_samples=1)",434.0,sepsis.csv,sepsis.csv_6478a1e770c454f6d9d9a347.csv
PM-132,2023-06-06 12:01:41,matheus.camilo,182,0.5493,0.3676,"MiniBatchKMeans(CombineDFs(input_matrix, input_matrix), encoding=alignments, init=k-means++, max_iter=300, n_clusters=104)",104.0,sepsis.csv,sepsis.csv_6478a1e770c454f6d9d9a346.csv
PM-131,2023-06-06 11:59:30,matheus.camilo,131,0.5299,0.373,"MiniBatchKMeans(input_matrix, encoding=alignments, init=k-means++, max_iter=300, n_clusters=98)",98.0,sepsis.csv,sepsis.csv_6478a1e770c454f6d9d9a345.csv
PM-130,2023-06-06 11:55:35,matheus.camilo,234,0.521,0.389,"MiniBatchKMeans(input_matrix, encoding=word2vec, init=k-means++, max_iter=500, n_clusters=85)",85.0,sepsis.csv,sepsis.csv_6478a1e770c454f6d9d9a344.csv
PM-129,2023-06-06 11:52:29,matheus.camilo,186,0.5236,0.372,"MiniBatchKMeans(input_matrix, encoding=node2vec, init=k-means++, max_iter=500, n_clusters=104)",104.0,sepsis.csv,sepsis.csv_6478a1e770c454f6d9d9a343.csv
PM-128,2023-06-06 11:49:05,matheus.camilo,204,0.3366,0.3727,"MiniBatchKMeans(FastICA(input_matrix, n_components=2), encoding=node2vec, init=k-means++, max_iter=500, n_clusters=104)",104.0,sepsis.csv,sepsis.csv_6478a1e770c454f6d9d9a342.csv
PM-127,2023-06-06 11:44:58,matheus.camilo,247,0.6848,0.2268,"DBSCAN(input_matrix, encoding=word2vec, eps=0.001, leaf_size=10, metric=l1, min_samples=1)",434.0,sepsis.csv,sepsis.csv_6478a1e770c454f6d9d9a341.csv
PM-126,2023-06-06 11:41:19,matheus.camilo,218,0.2533,0.0,"DBSCAN(input_matrix, encoding=alignments, eps=1.0, leaf_size=45, metric=manhattan, min_samples=1)",846.0,sepsis.csv,sepsis.csv_6478a1e770c454f6d9d9a340.csv
PM-125,2023-06-05 18:32:03,matheus.camilo,684,0.7916,0.182,"MiniBatchKMeans(CombineDFs(input_matrix, input_matrix), encoding=alignments, init=k-means++, max_iter=500, n_clusters=84)",82.0,bpi_2012_sample_15.csv,bpi_2012_sample_15.csv_6478a1e770c454f6d9d9a367.csv
