CaseIds,Labels
0,8
1,11
10,11
100,2
101,11
102,0
103,11
104,3
105,11
106,1
107,9
108,9
109,21
11,11
110,11
111,11
112,11
113,10
114,4
115,11
116,6
117,5
118,11
119,17
12,11
120,5
121,6
122,23
123,9
124,2
125,6
126,20
127,25
128,11
129,11
13,9
130,3
131,26
132,2
133,20
134,0
135,11
136,24
137,2
138,9
139,11
14,12
140,0
141,10
142,9
143,22
144,11
145,26
146,14
147,2
148,19
149,0
15,11
150,0
151,6
152,11
153,11
154,11
155,11
156,6
157,18
158,13
159,2
16,7
160,11
161,0
162,2
163,18
164,11
165,26
166,10
167,0
168,23
169,11
17,23
170,0
171,26
172,1
173,11
174,19
175,11
176,2
177,26
178,15
179,11
18,17
180,11
181,2
182,23
183,14
184,7
185,6
186,24
187,2
188,2
189,11
19,22
190,6
191,5
192,11
193,9
194,11
195,1
196,24
197,7
198,0
199,11
2,6
20,0
200,11
201,11
202,1
203,1
204,7
205,17
206,23
207,21
208,17
209,11
21,11
210,22
211,11
212,6
213,0
214,6
215,11
216,11
217,22
218,6
219,11
22,0
220,11
221,6
222,3
223,11
224,22
225,11
226,11
227,9
228,25
229,5
23,11
230,11
231,11
232,8
233,14
234,19
235,11
236,11
237,23
238,20
239,11
24,11
240,11
241,16
242,11
243,0
244,24
245,11
246,11
247,9
248,4
249,11
25,6
250,11
251,26
252,11
253,11
254,11
255,11
256,0
257,26
258,4
259,6
26,20
260,10
261,25
262,12
263,26
264,2
265,11
266,11
267,11
268,11
269,5
27,11
270,24
271,11
272,11
273,9
274,11
275,26
276,11
277,3
278,11
279,2
28,11
280,0
281,23
282,11
283,7
284,24
285,11
286,22
287,0
288,8
289,10
29,11
290,17
291,21
292,9
293,6
294,6
295,11
296,11
297,9
298,11
299,11
3,11
30,11
300,11
301,11
302,11
303,21
304,11
305,7
306,0
307,5
308,17
309,11
31,7
310,19
311,3
312,11
313,20
314,1
315,0
316,11
317,11
318,4
319,11
32,0
320,11
321,23
322,11
323,18
324,16
325,3
326,2
327,9
328,17
329,6
33,11
330,6
331,6
332,15
333,25
334,3
335,22
336,0
337,12
338,11
339,0
34,26
340,11
341,7
342,11
343,25
344,6
345,11
346,11
347,7
348,11
349,11
35,19
350,11
351,0
352,24
353,11
354,11
355,19
356,11
357,26
358,2
359,11
36,11
360,1
361,11
362,9
363,11
364,7
365,5
366,11
367,11
368,14
369,11
37,12
370,18
371,19
372,11
373,7
374,0
375,3
376,7
377,11
378,11
379,23
38,11
380,9
381,11
382,2
383,15
384,2
385,6
386,13
387,16
388,11
389,3
39,23
390,11
391,11
392,11
393,11
394,24
395,2
396,2
397,5
398,11
399,20
4,11
40,5
400,17
401,6
402,12
403,11
404,26
405,24
406,6
407,24
408,13
409,0
41,0
410,4
411,11
412,11
413,9
414,20
415,0
416,11
417,1
418,21
419,21
42,18
420,11
421,11
422,0
423,17
424,3
425,0
426,2
427,26
428,11
429,12
43,11
430,9
431,11
432,11
433,6
434,7
435,12
436,13
437,21
438,5
439,8
44,11
440,9
441,11
442,14
443,11
444,16
445,4
446,6
447,19
448,11
449,3
45,9
450,6
451,2
452,9
453,11
454,24
455,21
456,11
457,6
458,11
459,11
46,6
460,25
461,11
462,9
463,2
464,11
465,5
466,7
467,6
468,12
469,11
47,19
470,11
471,11
472,0
473,24
474,18
475,19
476,11
477,6
478,9
479,6
48,11
480,0
481,0
482,26
483,20
484,23
485,11
486,24
487,7
488,11
489,2
49,6
490,11
491,11
492,2
493,11
494,13
495,10
496,25
497,1
498,8
499,11
5,0
50,2
500,16
501,2
502,11
503,11
504,18
505,18
506,18
507,11
508,22
509,18
51,6
510,9
511,11
512,10
513,3
514,11
515,7
516,9
517,11
518,2
519,3
52,16
520,11
521,14
522,11
523,7
524,11
525,11
526,11
527,9
528,11
529,23
53,11
530,11
531,11
532,13
533,6
534,11
535,6
536,26
537,11
538,11
539,0
54,12
540,11
541,11
542,2
543,17
544,3
545,13
546,11
547,10
548,2
549,11
55,26
550,5
551,11
552,0
553,22
554,2
555,25
556,6
557,11
558,4
559,11
56,7
560,11
561,2
562,11
563,11
564,5
565,26
566,11
567,11
568,0
569,11
57,6
570,11
571,0
572,2
573,9
574,24
575,11
576,19
577,17
578,23
579,11
58,5
580,0
581,1
582,9
583,17
584,7
585,0
586,7
587,25
588,10
589,11
59,18
590,9
591,18
592,11
593,2
594,26
595,9
596,11
597,18
598,11
599,8
6,9
60,11
600,26
