CaseIds,Labels
0,0
1,1
10,1
100,2
101,1
102,3
103,1
104,4
105,1
106,5
107,6
108,7
109,8
11,1
110,1
111,1
112,1
113,9
114,10
115,1
116,11
117,12
118,1
119,13
12,1
120,12
121,11
122,14
123,15
124,2
125,11
126,16
127,17
128,1
129,18
13,15
130,19
131,20
132,21
133,22
134,3
135,1
136,23
137,24
138,7
139,1
14,25
140,3
141,26
142,15
143,27
144,1
145,20
146,28
147,21
148,29
149,3
15,1
150,3
151,30
152,1
153,31
154,1
155,1
156,11
157,32
158,33
159,21
16,20
160,1
161,3
162,34
163,35
164,1
165,20
166,9
167,3
168,36
169,1
17,14
170,3
171,20
172,37
173,1
174,38
175,1
176,2
177,20
178,39
179,1
18,40
180,1
181,41
182,39
183,42
184,20
185,11
186,43
187,24
188,24
189,18
19,44
190,11
191,12
192,1
193,15
194,1
195,45
196,13
197,20
198,3
199,1
2,11
20,3
200,1
201,1
202,46
203,47
204,48
205,23
206,39
207,17
208,49
209,1
21,1
210,44
211,1
212,11
213,3
214,11
215,1
216,1
217,50
218,11
219,1
22,3
220,1
221,11
222,51
223,1
224,44
225,1
226,1
227,52
228,53
229,54
23,1
230,1
231,1
232,55
233,28
234,56
235,18
236,1
237,57
238,22
239,1
24,1
240,1
241,58
242,1
243,3
244,59
245,1
246,1
247,60
248,10
249,1
25,11
250,1
251,20
252,1
253,1
254,1
255,1
256,3
257,20
258,10
259,11
26,61
260,62
261,17
262,63
263,20
264,24
265,1
266,1
267,1
268,1
269,64
27,1
270,65
271,1
272,1
273,15
274,1
275,20
276,1
277,66
278,1
279,2
28,1
280,3
281,67
282,1
283,20
284,68
285,1
286,44
287,3
288,55
289,69
29,1
290,13
291,70
292,15
293,11
294,11
295,31
296,31
297,71
298,1
299,1
3,1
30,1
300,1
301,1
302,1
303,72
304,18
305,73
306,3
307,12
308,49
309,1
31,20
310,38
311,74
312,1
313,75
314,76
315,77
316,1
317,1
318,78
319,1
32,3
320,1
321,67
322,1
323,79
324,80
325,81
326,41
327,60
328,65
329,11
33,1
330,11
331,11
332,57
333,82
334,83
335,64
336,3
337,84
338,1
339,3
34,20
340,1
341,20
342,1
343,82
344,11
345,1
346,1
347,20
348,1
349,1
35,56
350,1
351,3
352,85
353,1
354,1
355,56
356,1
357,20
358,21
359,1
36,1
360,86
361,1
362,15
363,1
364,20
365,64
366,1
367,87
368,88
369,1
37,63
370,89
371,38
372,1
373,20
374,3
375,90
376,20
377,1
378,1
379,67
38,1
380,7
381,1
382,2
383,67
384,41
385,11
386,33
387,58
388,1
389,66
39,67
390,1
391,1
392,1
393,1
394,91
395,41
396,41
397,12
398,1
399,75
4,1
40,64
400,13
401,11
402,92
403,1
404,20
405,93
406,11
407,94
408,95
409,3
41,3
410,96
411,1
412,1
413,15
414,75
415,3
416,1
417,97
418,98
419,8
42,32
420,1
421,1
422,3
423,91
424,99
425,3
426,41
427,20
428,1
429,100
43,1
430,7
431,1
432,1
433,11
434,20
435,100
436,101
437,17
438,12
439,102
44,1
440,52
441,1
442,28
443,1
444,103
445,104
446,11
447,56
448,1
449,4
45,105
450,11
451,2
452,6
453,1
454,85
455,70
456,1
457,11
458,1
459,1
46,11
460,82
461,1
462,6
463,2
464,1
465,64
466,20
467,11
468,25
469,1
47,29
470,1
471,1
472,3
473,65
474,79
475,29
476,1
477,11
478,15
479,106
48,18
480,3
481,3
482,20
483,22
484,67
485,1
486,107
487,20
488,1
489,41
49,11
490,1
491,1
492,2
493,1
494,108
495,109
496,53
497,5
498,0
499,1
5,3
50,21
500,110
501,21
502,1
503,1
504,89
505,111
506,112
507,1
508,54
509,89
51,11
510,6
511,18
512,113
513,51
514,1
515,20
516,7
517,1
518,2
519,114
52,110
520,1
521,115
522,1
523,20
524,1
525,31
526,1
527,15
528,1
529,39
53,1
530,1
531,1
532,95
533,11
534,1
535,11
536,20
537,1
538,1
539,3
54,25
540,1
541,1
542,2
543,23
544,83
545,116
546,1
547,117
548,41
549,1
55,20
550,64
551,1
552,3
553,12
554,24
555,53
556,11
557,1
558,10
559,1
56,20
560,1
561,24
562,1
563,1
564,12
565,118
566,1
567,1
568,3
569,1
57,106
570,1
571,3
572,41
573,7
574,43
575,1
576,38
577,119
578,120
579,1
58,44
580,3
581,121
582,7
583,49
584,20
585,3
586,20
587,17
588,26
589,1
59,32
590,7
591,79
592,1
593,21
594,20
595,7
596,1
597,89
598,1
599,0
6,52
60,1
600,20
601,12
602,8
603,1
604,122
605,8
606,1
607,60
608,45
609,14
61,7
610,86
611,123
612,124
613,1
614,65
615,1
616,125
617,96
618,1
619,1
62,1
620,15
621,1
622,20
623,58
624,11
625,1
626,1
627,3
628,1
629,1
63,3
630,20
631,51
632,11
633,15
634,1
635,126
636,31
637,77
638,11
639,21
64,85
640,127
641,1
642,1
643,1
644,128
645,1
646,44
647,1
648,15
649,53
65,99
650,1
651,15
652,85
653,1
654,1
655,98
656,1
657,1
658,3
659,1
66,110
660,1
661,13
662,11
663,25
664,1
665,129
666,1
667,62
668,116
669,3
67,1
670,1
671,65
672,17
673,31
674,1
675,1
676,89
677,18
678,130
679,17
68,1
680,131
681,21
682,1
683,8
684,41
685,132
686,20
687,95
688,18
689,37
69,133
690,1
691,32
692,116
693,11
694,1
695,1
696,89
697,2
698,22
699,1
7,1
70,1
700,65
701,134
702,77
703,22
704,14
705,11
706,64
707,1
708,89
709,1
71,82
710,135
711,3
712,17
713,136
714,2
715,28
716,1
717,3
718,120
719,88
72,85
720,1
721,3
722,15
723,7
724,96
725,56
726,16
727,21
728,57
729,1
73,1
730,1
731,11
732,87
733,137
734,138
735,20
736,64
737,92
738,1
739,1
74,119
740,16
741,6
742,20
743,43
744,12
745,2
746,89
747,67
748,70
749,96
75,3
750,87
751,139
752,41
753,140
754,20
755,103
756,11
757,1
758,23
759,3
76,48
760,11
761,1
762,1
763,11
764,141
765,122
766,38
767,1
768,3
769,41
77,3
770,110
771,11
772,1
773,15
774,111
775,1
776,1
777,1
778,16
779,1
78,60
780,3
781,11
782,1
783,23
784,108
785,44
786,1
787,142
788,11
789,1
79,41
790,1
791,1
792,17
793,87
794,143
795,134
796,1
797,46
798,1
799,1
8,11
80,7
800,1
801,144
802,1
803,60
804,140
805,145
806,31
807,3
808,1
809,14
81,21
810,146
811,4
812,3
813,22
814,1
815,1
816,15
817,3
818,143
819,3
82,1
820,143
821,15
822,147
823,1
824,3
825,1
826,1
827,1
828,20
829,29
83,1
830,12
831,78
832,58
833,108
834,131
835,1
836,125
837,1
838,14
839,148
84,3
840,54
841,3
842,1
843,1
844,1
845,1
846,65
847,149
848,22
849,84
85,150
850,141
851,1
852,134
853,15
854,39
855,11
856,1
857,10
858,147
859,11
86,1
860,131
861,1
862,59
863,110
864,1
865,14
866,58
867,44
868,131
869,3
87,151
870,24
871,108
872,39
873,1
874,1
875,1
876,3
877,1
878,11
879,1
88,21
880,1
881,1
882,56
883,1
884,17
885,152
886,1
887,11
888,12
889,3
89,1
890,1
891,6
892,18
893,153
894,2
895,31
896,32
897,20
898,1
899,1
9,20
90,100
900,1
901,70
902,57
903,17
904,65
905,20
906,54
907,58
908,60
909,11
91,1
910,1
911,54
912,1
913,1
914,3
915,43
916,1
917,53
918,21
919,1
92,20
920,110
921,7
922,20
923,1
924,11
925,3
926,11
927,3
928,39
929,134
93,84
930,2
931,84
932,18
933,1
934,1
935,20
936,44
937,1
938,15
939,15
94,62
940,1
941,3
942,111
943,1
944,1
945,64
946,3
947,86
948,1
949,3
95,1
950,154
951,1
952,2
953,67
954,15
955,155
956,11
957,113
958,1
959,1
96,156
960,1
961,21
962,3
963,1
964,3
965,3
966,26
967,1
968,3
969,108
97,89
970,1
971,1
972,1
973,107
974,11
975,1
976,157
977,64
978,6
979,20
98,158
980,1
981,89
982,159
983,38
984,1
985,7
986,15
987,1
988,84
989,123
99,7
990,18
991,1
992,1
993,5
994,160
995,41
996,1
997,116
998,3
999,20
