CaseIds,Labels
0,-1
1,0
10,0
100,1
101,0
102,2
103,0
104,3
105,0
106,4
107,5
108,5
109,6
11,0
110,0
111,0
112,0
113,7
114,8
115,0
116,9
117,10
118,0
119,11
12,0
120,10
121,9
122,12
123,5
124,1
125,9
126,13
127,14
128,0
129,0
13,5
130,3
131,15
132,1
133,13
134,2
135,0
136,16
137,1
138,5
139,0
14,17
140,2
141,7
142,5
143,18
144,0
145,15
146,19
147,1
148,20
149,2
15,0
150,2
151,9
152,0
153,0
154,0
155,0
156,9
157,21
158,22
159,1
16,15
160,0
161,2
162,1
163,21
164,0
165,15
166,7
167,2
168,12
169,0
17,12
170,2
171,15
172,4
173,0
174,20
175,0
176,1
177,15
178,23
179,0
18,11
180,0
181,1
182,12
183,19
184,15
185,9
186,16
187,1
188,1
189,0
19,18
190,9
191,10
192,0
193,5
194,0
195,4
196,16
197,15
198,2
199,0
2,9
20,2
200,0
201,0
202,4
203,4
204,15
205,11
206,12
207,6
208,11
209,0
21,0
210,18
211,0
212,9
213,2
214,9
215,0
216,0
217,18
218,9
219,0
22,2
220,0
221,9
222,3
223,0
224,18
225,0
226,0
227,5
228,14
229,10
23,0
230,0
231,0
232,-1
233,19
234,20
235,0
236,0
237,12
238,13
239,0
24,0
240,0
241,24
242,0
243,2
244,16
245,0
246,0
247,5
248,8
249,0
25,9
250,0
251,15
252,0
253,0
254,0
255,0
256,2
257,15
258,8
259,9
26,13
260,7
261,14
262,17
263,15
264,1
265,0
266,0
267,0
268,0
269,10
27,0
270,16
271,0
272,0
273,5
274,0
275,15
276,0
277,3
278,0
279,1
28,0
280,2
281,12
282,0
283,15
284,16
285,0
286,18
287,2
288,-1
289,7
29,0
290,11
291,6
292,5
293,9
294,9
295,0
296,0
297,5
298,0
299,0
3,0
30,0
300,0
301,0
302,0
303,6
304,0
305,15
306,2
307,10
308,11
309,0
31,15
310,20
311,3
312,0
313,13
314,4
315,2
316,0
317,0
318,8
319,0
32,2
320,0
321,12
322,0
323,21
324,24
325,3
326,1
327,5
328,11
329,9
33,0
330,9
331,9
332,23
333,14
334,3
335,18
336,2
337,17
338,0
339,2
34,15
340,0
341,15
342,0
343,14
344,9
345,0
346,0
347,15
348,0
349,0
35,20
350,0
351,2
352,16
353,0
354,0
355,20
356,0
357,15
358,1
359,0
36,0
360,4
361,0
362,5
363,0
364,15
365,10
366,0
367,0
368,19
369,0
37,17
370,21
371,20
372,0
373,15
374,2
375,3
376,15
377,0
378,0
379,12
38,0
380,5
381,0
382,1
383,23
384,1
385,9
386,22
387,24
388,0
389,3
39,12
390,0
391,0
392,0
393,0
394,16
395,1
396,1
397,10
398,0
399,13
4,0
40,10
400,11
401,9
402,17
403,0
404,15
405,16
406,9
407,16
408,22
409,2
41,2
410,8
411,0
412,0
413,5
414,13
415,2
416,0
417,4
418,6
419,6
42,21
420,0
421,0
422,2
423,11
424,3
425,2
426,1
427,15
428,0
429,17
43,0
430,5
431,0
432,0
433,9
434,15
435,17
436,22
437,6
438,10
439,-1
44,0
440,5
441,0
442,19
443,0
444,24
445,8
446,9
447,20
448,0
449,3
45,5
450,9
451,1
452,5
453,0
454,16
455,6
456,0
457,9
458,0
459,0
46,9
460,14
461,0
462,5
463,1
464,0
465,10
466,15
467,9
468,17
469,0
47,20
470,0
471,0
472,2
473,16
474,21
475,20
476,0
477,9
478,5
479,9
48,0
480,2
481,2
482,15
483,13
484,12
485,0
486,16
487,15
488,0
489,1
49,9
490,0
491,0
492,1
493,0
494,22
495,7
496,14
497,4
498,-1
499,0
5,2
50,1
500,24
501,1
502,0
503,0
504,21
505,21
506,21
507,0
508,18
509,21
51,9
510,5
511,0
512,7
513,3
514,0
515,15
516,5
517,0
518,1
519,3
52,24
520,0
521,19
522,0
523,15
524,0
525,0
526,0
527,5
528,0
529,12
53,0
530,0
531,0
532,22
533,9
534,0
535,9
536,15
537,0
538,0
539,2
54,17
540,0
541,0
542,1
543,11
544,3
545,22
546,0
547,7
548,1
549,0
55,15
550,10
551,0
552,2
553,18
554,1
555,14
556,9
557,0
558,8
559,0
56,15
560,0
561,1
562,0
563,0
564,10
565,15
566,0
567,0
568,2
569,0
57,9
570,0
571,2
572,1
573,5
574,16
575,0
576,20
577,11
578,12
579,0
58,10
580,2
581,4
582,5
583,11
584,15
585,2
586,15
587,14
588,7
589,0
59,21
590,5
591,21
592,0
593,1
594,15
595,5
596,0
597,21
598,0
599,-1
6,5
60,0
600,15
601,10
602,6
603,0
604,8
605,14
606,0
607,5
608,4
609,23
61,5
610,4
611,7
612,7
613,0
614,16
615,0
616,4
617,8
618,0
619,0
62,0
620,5
621,0
622,15
623,24
624,9
625,0
626,0
627,2
628,0
629,0
63,2
630,15
631,3
632,9
633,5
634,0
635,19
636,0
637,2
638,9
639,1
64,16
640,17
641,0
642,0
643,0
644,9
645,0
646,18
647,0
648,5
649,14
65,3
650,0
651,5
652,16
653,0
654,0
655,6
656,0
657,0
658,2
659,0
66,24
660,0
661,11
662,9
663,17
664,0
665,19
666,0
667,7
668,22
669,2
67,0
670,0
671,11
672,6
673,0
674,0
675,0
676,21
677,0
678,6
679,6
68,0
680,23
681,1
682,0
683,6
684,1
685,1
686,15
687,22
688,0
689,4
69,7
690,0
691,21
692,22
693,9
694,0
695,0
696,21
697,1
698,13
699,0
7,0
70,0
700,11
701,13
702,2
703,13
704,12
705,9
706,10
707,0
708,21
709,0
71,6
710,18
711,2
712,6
713,12
714,1
715,19
716,0
717,2
718,23
719,19
72,11
720,0
721,2
722,5
723,5
724,8
725,20
726,13
727,1
728,12
729,0
73,0
730,0
731,9
732,0
733,3
734,1
735,15
736,10
737,17
738,0
739,0
74,11
740,13
741,5
742,15
743,11
744,10
745,1
746,21
747,23
748,14
749,8
75,2
750,0
751,5
752,1
753,21
754,15
755,24
756,9
757,0
758,16
759,2
76,15
760,9
761,0
762,0
763,9
764,7
765,8
766,20
767,0
768,2
769,1
77,2
770,24
771,9
772,0
773,5
774,21
775,0
776,0
777,0
778,13
779,0
78,5
780,2
781,9
782,0
783,16
784,22
785,10
786,0
787,5
788,9
789,0
79,1
790,0
791,0
792,14
793,0
794,24
795,13
796,0
797,4
798,0
799,0
8,9
80,5
800,0
801,20
802,0
803,5
804,21
805,10
806,0
807,2
808,0
809,12
81,1
810,11
811,3
812,2
813,13
814,0
815,0
816,5
817,2
818,24
819,2
82,0
820,5
821,5
822,-1
823,0
824,2
825,0
826,0
827,0
828,15
829,20
83,0
830,18
831,8
832,24
833,22
834,23
835,0
836,4
837,0
838,23
839,19
84,2
840,10
841,2
842,0
843,0
844,0
845,0
846,16
847,20
848,13
849,17
85,-1
850,7
851,0
852,13
853,5
854,12
855,9
856,0
857,8
858,-1
859,9
86,0
860,23
861,0
862,11
863,24
864,0
865,12
866,24
867,18
868,12
869,2
87,16
870,1
871,22
872,12
873,0
874,0
875,0
876,2
877,0
878,9
879,0
88,1
880,0
881,0
882,20
883,0
884,14
885,23
886,0
887,9
888,10
889,2
89,0
890,0
891,5
892,0
893,9
894,1
895,0
896,21
897,15
898,0
899,0
9,15
90,17
900,0
901,6
902,23
903,14
904,16
905,15
906,10
907,24
908,5
909,9
91,0
910,0
911,18
912,0
913,0
914,2
915,11
916,0
917,6
918,1
919,0
92,15
920,24
921,5
922,15
923,0
924,9
925,2
926,9
927,2
928,23
929,13
93,17
930,1
931,17
932,0
933,0
934,0
935,15
936,18
937,0
938,5
939,5
94,7
940,0
941,2
942,21
943,0
944,0
945,10
946,2
947,4
948,0
949,2
95,0
950,17
951,0
952,1
953,23
954,5
955,3
956,9
957,7
958,0
959,0
96,8
960,0
961,1
962,2
963,0
964,2
965,2
966,7
967,0
968,2
969,22
97,21
970,0
971,0
972,0
973,16
974,9
975,0
976,3
977,18
978,5
979,15
98,5
980,0
981,21
982,4
983,20
984,0
985,5
986,5
987,0
988,17
989,4
99,5
990,0
991,0
992,0
993,4
994,15
995,1
996,0
997,22
998,2
999,15
