CaseIds,Labels
0,0
1,1
10,1
100,2
101,1
102,3
103,1
104,4
105,1
106,5
107,6
108,6
109,7
11,1
110,1
111,1
112,1
113,8
114,9
115,1
116,10
117,11
118,1
119,12
12,1
120,11
121,10
122,13
123,6
124,2
125,10
126,14
127,15
128,1
129,1
13,6
130,4
131,16
132,2
133,14
134,3
135,1
136,17
137,2
138,6
139,1
14,18
140,3
141,8
142,6
143,19
144,1
145,16
146,20
147,2
148,21
149,3
15,1
150,3
151,10
152,1
153,1
154,1
155,1
156,10
157,22
158,23
159,2
16,16
160,1
161,3
162,2
163,22
164,1
165,16
166,8
167,3
168,13
169,1
17,13
170,3
171,16
172,5
173,1
174,21
175,1
176,2
177,16
178,24
179,1
18,12
180,1
181,2
182,13
183,20
184,16
185,10
186,17
187,2
188,2
189,1
19,19
190,10
191,11
192,1
193,6
194,1
195,5
196,17
197,16
198,3
199,1
2,10
20,3
200,1
201,1
202,5
203,5
204,16
205,12
206,13
207,7
208,12
209,1
21,1
210,19
211,1
212,10
213,3
214,10
215,1
216,1
217,19
218,10
219,1
22,3
220,1
221,10
222,4
223,1
224,19
225,1
226,1
227,6
228,15
229,11
23,1
230,1
231,1
232,0
233,20
234,21
235,1
236,1
237,13
238,14
239,1
24,1
240,1
241,25
242,1
243,3
244,17
245,1
246,1
247,6
248,9
249,1
25,10
250,1
251,16
252,1
253,1
254,1
255,1
256,3
257,16
258,9
259,10
26,14
260,8
261,15
262,18
263,16
264,2
265,1
266,1
267,1
268,1
269,11
27,1
270,17
271,1
272,1
273,6
274,1
275,16
276,1
277,4
278,1
279,2
28,1
280,3
281,13
282,1
283,16
284,17
285,1
286,19
287,3
288,0
289,8
29,1
290,12
291,7
292,6
293,10
294,10
295,1
296,1
297,6
298,1
299,1
3,1
30,1
300,1
301,1
302,1
303,7
304,1
305,16
306,3
307,11
308,12
309,1
31,16
310,21
311,4
312,1
313,14
314,5
315,3
316,1
317,1
318,9
319,1
32,3
320,1
321,13
322,1
323,22
324,25
325,4
326,2
327,6
328,12
329,10
33,1
330,10
331,10
332,24
333,15
334,4
335,19
336,3
337,18
338,1
339,3
34,16
340,1
341,16
342,1
343,15
344,10
345,1
346,1
347,16
348,1
349,1
35,21
350,1
351,3
352,17
353,1
354,1
355,21
356,1
357,16
358,2
359,1
36,1
360,5
361,1
362,6
363,1
364,16
365,11
366,1
367,1
368,20
369,1
37,18
370,22
371,21
372,1
373,16
374,3
375,4
376,16
377,1
378,1
379,13
38,1
380,6
381,1
382,2
383,24
384,2
385,10
386,23
387,25
388,1
389,4
39,13
390,1
391,1
392,1
393,1
394,17
395,2
396,2
397,11
398,1
399,14
4,1
40,11
400,12
401,10
402,18
403,1
404,16
405,17
406,10
407,17
408,23
409,3
41,3
410,9
411,1
412,1
413,6
414,14
415,3
416,1
417,5
418,7
419,7
42,22
420,1
421,1
422,3
423,12
424,4
425,3
426,2
427,16
428,1
429,18
43,1
430,6
431,1
432,1
433,10
434,16
435,18
436,23
437,7
438,11
439,0
44,1
440,6
441,1
442,20
443,1
444,25
445,9
446,10
447,21
448,1
449,4
45,6
450,10
451,2
452,6
453,1
454,17
455,7
456,1
457,10
458,1
459,1
46,10
460,15
461,1
462,6
463,2
464,1
465,11
466,16
467,10
468,18
469,1
47,21
470,1
471,1
472,3
473,17
474,22
475,21
476,1
477,10
478,6
479,10
48,1
480,3
481,3
482,16
483,14
484,13
485,1
486,17
487,16
488,1
489,2
49,10
490,1
491,1
492,2
493,1
494,23
495,8
496,15
497,5
498,0
499,1
5,3
50,2
500,25
501,2
502,1
503,1
504,22
505,22
506,22
507,1
508,19
509,22
51,10
510,6
511,1
512,8
513,4
514,1
515,16
516,6
517,1
518,2
519,4
52,25
520,1
521,20
522,1
523,16
524,1
525,1
526,1
527,6
528,1
529,13
53,1
530,1
531,1
532,23
533,10
534,1
535,10
536,16
537,1
538,1
539,3
54,18
540,1
541,1
542,2
543,12
544,4
545,23
546,1
547,8
548,2
549,1
55,16
550,11
551,1
552,3
553,19
554,2
555,15
556,10
557,1
558,9
559,1
56,16
560,1
561,2
562,1
563,1
564,11
565,16
566,1
567,1
568,3
569,1
57,10
570,1
571,3
572,2
573,6
574,17
575,1
576,21
577,12
578,13
579,1
58,11
580,3
581,5
582,6
583,12
584,16
585,3
586,16
587,15
588,8
589,1
59,22
590,6
591,22
592,1
593,2
594,16
595,6
596,1
597,22
598,1
599,0
6,6
60,1
600,16
601,11
602,7
603,1
604,9
605,15
606,1
607,6
608,5
609,24
61,6
610,5
611,8
612,8
613,1
614,17
615,1
616,5
617,9
618,1
619,1
62,1
620,6
621,1
622,16
623,25
624,10
625,1
626,1
627,3
628,1
629,1
63,3
630,16
631,4
632,10
633,6
634,1
635,20
636,1
637,3
638,10
639,2
64,17
640,18
641,1
642,1
643,1
644,10
645,1
646,19
647,1
648,6
649,15
65,4
650,1
651,6
652,17
653,1
654,1
655,7
656,1
657,1
658,3
659,1
66,25
660,1
661,12
662,10
663,18
664,1
665,20
666,1
667,8
668,23
669,3
67,1
670,1
671,12
672,7
673,1
674,1
675,1
676,22
677,1
678,7
679,7
68,1
680,24
681,2
682,1
683,7
684,2
685,2
686,16
687,23
688,1
689,5
69,8
690,1
691,22
692,23
693,10
694,1
695,1
696,22
697,2
698,14
699,1
7,1
70,1
700,12
701,14
702,3
703,14
704,13
705,10
706,11
707,1
708,22
709,1
71,7
710,19
711,3
712,7
713,13
714,2
715,20
716,1
717,3
718,24
719,20
72,12
720,1
721,3
722,6
723,6
724,9
725,21
726,14
727,2
728,13
729,1
73,1
730,1
731,10
732,1
733,4
734,2
735,16
736,11
737,18
738,1
739,1
74,12
740,14
741,6
742,16
743,12
744,11
745,2
746,22
747,24
748,15
749,9
75,3
750,1
751,6
752,2
753,22
754,16
755,25
756,10
757,1
758,17
759,3
76,16
760,10
761,1
762,1
763,10
764,8
765,9
766,21
767,1
768,3
769,2
77,3
770,25
771,10
772,1
773,6
774,22
775,1
776,1
777,1
778,14
779,1
78,6
780,3
781,10
782,1
783,17
784,23
785,11
786,1
787,6
788,10
789,1
79,2
790,1
791,1
792,15
793,1
794,25
795,14
796,1
797,5
798,1
799,1
8,10
80,6
800,1
801,21
802,1
803,6
804,22
805,11
806,1
807,3
808,1
809,13
81,2
810,12
811,4
812,3
813,14
814,1
815,1
816,6
817,3
818,25
819,3
82,1
820,6
821,6
822,0
823,1
824,3
825,1
826,1
827,1
828,16
829,21
83,1
830,19
831,9
832,25
833,23
834,24
835,1
836,5
837,1
838,24
839,20
84,3
840,11
841,3
842,1
843,1
844,1
845,1
846,17
847,21
848,14
849,18
85,0
850,8
851,1
852,14
853,6
854,13
855,10
856,1
857,9
858,0
859,10
86,1
860,24
861,1
862,12
863,25
864,1
865,13
866,25
867,19
868,13
869,3
87,17
870,2
871,23
872,13
873,1
874,1
875,1
876,3
877,1
878,10
879,1
88,2
880,1
881,1
882,21
883,1
884,15
885,24
886,1
887,10
888,11
889,3
89,1
890,1
891,6
892,1
893,10
894,2
895,1
896,22
897,16
898,1
899,1
9,16
90,18
900,1
901,7
902,24
903,15
904,17
905,16
906,11
907,25
908,6
909,10
91,1
910,1
911,19
912,1
913,1
914,3
915,12
916,1
917,7
918,2
919,1
92,16
920,25
921,6
922,16
923,1
924,10
925,3
926,10
927,3
928,24
929,14
93,18
930,2
931,18
932,1
933,1
934,1
935,16
936,19
937,1
938,6
939,6
94,8
940,1
941,3
942,22
943,1
944,1
945,11
946,3
947,5
948,1
949,3
95,1
950,18
951,1
952,2
953,24
954,6
955,4
956,10
957,8
958,1
959,1
96,9
960,1
961,2
962,3
963,1
964,3
965,3
966,8
967,1
968,3
969,23
97,22
970,1
971,1
972,1
973,17
974,10
975,1
976,4
977,19
978,6
979,16
98,6
980,1
981,22
982,5
983,21
984,1
985,6
986,6
987,1
988,18
989,5
99,6
990,1
991,1
992,1
993,5
994,16
995,2
996,1
997,23
998,3
999,16
