CaseIds,Labels
0,71
1,60
10,60
100,102
101,60
102,31
103,60
104,95
105,60
106,72
107,32
108,15
109,2
11,60
110,60
111,60
112,60
113,13
114,98
115,60
116,17
117,30
118,60
119,41
12,60
120,30
121,17
122,101
123,9
124,102
125,17
126,47
127,25
128,60
129,33
13,9
130,56
131,49
132,27
133,18
134,31
135,60
136,44
137,3
138,15
139,60
14,20
140,31
141,43
142,9
143,55
144,60
145,49
146,88
147,27
148,22
149,31
15,60
150,31
151,24
152,60
153,8
154,60
155,60
156,17
157,34
158,10
159,27
16,49
160,60
161,31
162,86
163,64
164,60
165,49
166,13
167,31
168,6
169,60
17,101
170,31
171,49
172,64
173,60
174,54
175,60
176,102
177,49
178,101
179,60
18,35
180,60
181,58
182,101
183,88
184,49
185,17
186,26
187,3
188,3
189,33
19,62
190,17
191,30
192,60
193,9
194,60
195,64
196,41
197,49
198,31
199,60
2,17
20,31
200,60
201,60
202,21
203,72
204,29
205,44
206,101
207,25
208,35
209,60
21,60
210,62
211,60
212,17
213,31
214,17
215,60
216,60
217,55
218,17
219,60
22,31
220,60
221,17
222,80
223,60
224,62
225,60
226,60
227,42
228,61
229,79
23,60
230,60
231,60
232,73
233,88
234,54
235,33
236,60
237,90
238,18
239,60
24,60
240,60
241,82
242,60
243,31
244,35
245,60
246,60
247,92
248,98
249,60
25,17
250,60
251,49
252,60
253,60
254,60
255,60
256,31
257,49
258,98
259,17
26,23
260,13
261,25
262,83
263,49
264,3
265,60
266,60
267,60
268,60
269,57
27,60
270,87
271,60
272,60
273,9
274,60
275,49
276,60
277,56
278,60
279,102
28,60
280,31
281,66
282,60
283,49
284,65
285,60
286,62
287,31
288,73
289,43
29,60
290,41
291,74
292,9
293,17
294,17
295,8
296,8
297,75
298,60
299,60
3,60
30,60
300,60
301,60
302,60
303,81
304,33
305,4
306,31
307,30
308,35
309,60
31,49
310,54
311,95
312,60
313,89
314,64
315,1
316,60
317,60
318,98
319,60
32,31
320,60
321,66
322,60
323,91
324,75
325,56
326,58
327,92
328,87
329,17
33,60
330,17
331,17
332,90
333,78
334,56
335,57
336,31
337,37
338,60
339,31
34,49
340,60
341,49
342,60
343,78
344,17
345,60
346,60
347,49
348,60
349,60
35,54
350,60
351,31
352,68
353,60
354,60
355,54
356,60
357,49
358,27
359,60
36,60
360,21
361,60
362,9
363,60
364,49
365,57
366,60
367,5
368,88
369,60
37,83
370,34
371,54
372,60
373,49
374,31
375,56
376,49
377,60
378,60
379,66
38,60
380,15
381,60
382,102
383,66
384,58
385,17
386,10
387,82
388,60
389,56
39,66
390,60
391,60
392,60
393,60
394,51
395,58
396,58
397,30
398,60
399,89
4,60
40,57
400,41
401,17
402,28
403,60
404,49
405,51
406,17
407,68
408,67
409,31
41,31
410,98
411,60
412,60
413,9
414,89
415,31
416,60
417,14
418,100
419,2
42,34
420,60
421,60
422,31
423,51
424,80
425,31
426,58
427,49
428,60
429,37
43,60
430,15
431,60
432,60
433,17
434,49
435,37
436,99
437,25
438,30
439,53
44,60
440,42
441,60
442,88
443,60
444,75
445,98
446,17
447,54
448,60
449,95
45,96
450,17
451,102
452,32
453,60
454,68
455,74
456,60
457,17
458,60
459,60
46,17
460,78
461,60
462,32
463,102
464,60
465,57
466,49
467,17
468,20
469,60
47,22
470,60
471,60
472,31
473,87
474,91
475,22
476,60
477,17
478,9
479,24
48,33
480,31
481,31
482,49
483,18
484,66
485,60
486,65
487,49
488,60
489,58
49,17
490,60
491,60
492,102
493,60
494,10
495,38
496,61
497,72
498,71
499,60
5,31
50,27
500,75
501,27
502,60
503,60
504,34
505,91
506,70
507,60
508,79
509,34
51,17
510,32
511,33
512,43
513,80
514,60
515,49
516,15
517,60
518,102
519,80
52,75
520,60
521,88
522,60
523,49
524,60
525,8
526,60
527,9
528,60
529,101
53,60
530,60
531,60
532,67
533,17
534,60
535,17
536,49
537,60
538,60
539,31
54,20
540,60
541,60
542,102
543,44
544,56
545,99
546,60
547,13
548,58
549,60
55,49
550,57
551,60
552,31
553,30
554,3
555,61
556,17
557,60
558,98
559,60
56,49
560,60
561,3
562,60
563,60
564,30
565,4
566,60
567,60
568,31
569,60
57,24
570,60
571,31
572,58
573,15
574,26
575,60
576,54
577,97
578,45
579,60
58,62
580,31
581,14
582,15
583,35
584,49
585,31
586,49
587,25
588,43
589,60
59,34
590,15
591,91
592,60
593,27
594,49
595,15
596,60
597,34
598,60
599,71
6,42
60,60
600,49
601,30
602,2
603,60
604,98
605,2
606,60
607,92
608,64
609,101
61,15
610,21
611,14
612,43
613,60
614,87
615,60
616,14
617,98
618,60
619,60
62,60
620,9
621,60
622,49
623,82
624,17
625,60
626,60
627,31
628,60
629,60
63,31
630,49
631,80
632,17
633,9
634,60
635,88
636,8
637,1
638,17
639,27
64,68
640,28
641,60
642,60
643,60
644,24
645,60
646,62
647,60
648,9
649,61
65,80
650,60
651,9
652,68
653,60
654,60
655,100
656,60
657,60
658,31
659,60
66,75
660,60
661,41
662,17
663,20
664,60
665,88
666,60
667,13
668,99
669,31
67,60
670,60
671,87
672,25
673,8
674,60
675,60
676,34
677,33
678,81
679,25
68,60
680,76
681,27
682,60
683,2
684,58
685,86
686,49
687,67
688,33
689,64
69,72
690,60
691,34
692,99
693,17
694,60
695,60
696,34
697,102
698,18
699,60
7,60
70,60
700,87
701,23
702,1
703,18
704,101
705,17
706,57
707,60
708,34
709,60
71,78
710,46
711,31
712,25
713,6
714,102
715,88
716,60
717,31
718,45
719,88
72,68
720,60
721,31
722,9
723,15
724,98
725,54
726,47
727,27
728,90
729,60
73,60
730,60
731,17
732,5
733,56
734,86
735,49
736,57
737,28
738,60
739,60
74,97
740,47
741,32
742,49
743,26
744,30
745,102
746,34
747,66
748,74
749,98
75,31
750,5
751,42
752,58
753,70
754,49
755,75
756,17
757,60
758,44
759,31
76,29
760,17
761,60
762,60
763,17
764,43
765,98
766,54
767,60
768,31
769,58
77,31
770,75
771,17
772,60
773,9
774,91
775,60
776,60
777,60
778,47
779,60
78,92
780,31
781,17
782,60
783,44
784,10
785,62
786,60
787,96
788,17
789,60
79,58
790,60
791,60
792,25
793,5
794,82
795,23
796,60
797,21
798,60
799,60
8,17
80,15
800,60
801,22
802,60
803,92
804,70
805,46
806,8
807,31
808,60
809,101
81,27
810,35
811,95
812,31
813,18
814,60
815,60
816,9
817,31
818,82
819,31
82,60
820,82
821,9
822,73
823,60
824,31
825,60
826,60
827,60
828,49
829,22
83,60
830,30
831,98
832,82
833,10
834,76
835,60
836,14
837,60
838,101
839,88
84,31
840,79
841,31
842,60
843,60
844,60
845,60
846,87
847,39
848,18
849,37
85,71
850,43
851,60
852,23
853,9
854,101
855,17
856,60
857,98
858,73
859,17
86,60
860,76
861,60
862,35
863,75
864,60
865,101
866,82
867,62
868,76
869,31
87,6
870,3
871,10
872,101
873,60
874,60
875,60
876,31
877,60
878,17
879,60
88,27
880,60
881,60
882,54
883,60
884,25
885,45
886,60
887,17
888,30
889,31
89,60
890,60
891,32
892,33
893,24
894,102
895,8
896,34
897,49
898,60
899,60
9,49
90,37
900,60
901,74
902,90
903,25
904,87
905,49
906,79
907,82
908,92
909,17
91,60
910,60
911,79
912,60
913,60
914,31
915,26
916,60
917,61
918,27
919,60
92,49
920,75
921,15
922,49
923,60
924,17
925,31
926,17
927,31
928,101
929,23
93,37
930,102
931,37
932,33
933,60
934,60
935,49
936,62
937,60
938,9
939,9
94,13
940,60
941,31
942,91
943,60
944,60
945,57
946,31
947,21
948,60
949,31
95,60
950,83
951,60
952,102
953,66
954,9
955,93
956,17
957,43
958,60
959,60
96,98
960,60
961,27
962,31
963,60
964,31
965,31
966,43
967,60
968,31
969,10
97,34
970,60
971,60
972,60
973,65
974,17
975,60
976,95
977,57
978,32
979,49
98,96
980,60
981,34
982,38
983,54
984,60
985,15
986,9
987,60
988,37
989,14
99,15
990,33
991,60
992,60
993,72
994,29
995,58
996,60
997,99
998,31
999,49
