CaseIds,Labels
A,93
AA,8
AAA,91
AB,43
ABA,14
AC,9
ACA,43
AD,101
ADA,78
AE,10
AEA,52
AF,39
AFA,50
AG,7
AGA,0
AH,49
AHA,11
AI,69
AIA,100
AJ,51
AJA,7
AK,44
AKA,1
AL,21
ALA,2
AM,7
AMA,64
AN,43
ANA,64
AO,17
AP,44
AQ,33
AR,51
AS,38
AT,43
AU,11
AV,34
AW,22
AX,3
AY,28
AZ,0
B,81
BA,9
BAA,11
BB,3
BBA,0
BC,7
BCA,38
BD,11
BDA,31
BE,47
BEA,43
BF,9
BFA,38
BG,15
BGA,11
BH,25
BHA,0
BI,26
BIA,30
BJ,83
BJA,46
BK,9
BKA,70
BL,64
BLA,14
BM,40
BMA,89
BN,93
BNA,15
BO,3
BP,30
BQ,11
BR,91
BS,38
BT,9
BU,24
BV,80
BW,80
BX,39
BY,3
BZ,78
C,0
CA,43
CAA,8
CB,0
CBA,101
CC,18
CCA,43
CD,8
CDA,1
CE,31
CEA,25
CF,78
CFA,5
CG,27
CGA,40
CH,31
CHA,9
CI,79
CIA,7
CJ,94
CJA,64
CK,7
CKA,42
CL,88
CLA,43
CM,20
CMA,3
CN,59
CNA,51
CO,31
CP,19
CQ,79
CR,39
CS,68
CT,11
CU,82
CV,11
CW,0
CX,96
CY,78
CZ,84
D,9
DA,53
DAA,14
DB,11
DBA,0
DC,89
DCA,9
DD,26
DDA,5
DE,7
DEA,0
DF,7
DFA,64
DG,11
DGA,19
DH,21
DHA,95
DI,11
DIA,7
DJ,12
DJA,73
DK,9
DKA,47
DL,2
DLA,8
DM,43
DMA,1
DN,7
DNA,8
DO,16
DP,33
DQ,43
DR,0
DS,0
DT,60
DU,52
DV,43
DW,79
DX,103
DY,79
DZ,84
E,43
EA,46
EAA,55
EB,8
EBA,81
EC,14
ECA,83
ED,51
EDA,89
EE,15
EEA,9
EF,24
EFA,3
EG,7
EGA,79
EH,34
EHA,30
EI,86
EIA,89
EJ,49
EJA,31
EK,38
EKA,24
EL,79
ELA,0
EM,30
EMA,39
EN,43
ENA,7
EO,69
EP,43
EQ,51
ER,8
ES,56
ET,34
EU,9
EV,61
EW,51
EX,20
EY,35
EZ,3
F,34
FA,43
FAA,10
FB,43
FBA,32
FC,15
FCA,69
FD,77
FDA,70
FE,20
FEA,34
FF,43
FFA,1
FG,99
FGA,44
FH,102
FHA,102
FI,43
FIA,13
FJ,9
FJA,14
FK,5
FKA,13
FL,52
FLA,7
FM,14
FMA,6
FN,38
FNA,52
FO,30
FP,92
FQ,26
FR,52
FS,3
FT,84
FU,96
FV,43
FW,70
FX,70
FY,70
FZ,21
G,11
GA,11
GAA,14
GB,9
GBA,91
GC,11
GCA,9
GD,19
GDA,23
GE,0
GEA,33
GF,90
GFA,34
GG,21
GGA,43
GH,43
GHA,42
GI,31
GIA,68
GJ,12
GJA,70
GK,28
GKA,3
GL,102
GLA,96
GM,53
GMA,20
GN,51
GNA,83
GO,12
GP,34
GQ,49
GR,7
GS,94
GT,78
GU,35
GV,75
GW,77
GX,75
GY,79
GZ,7
H,55
HA,13
HAA,101
HB,0
HBA,21
HC,7
HCA,43
HD,84
HDA,89
HE,5
HEA,39
HF,79
HFA,43
HG,102
HGA,42
HH,11
HHA,42
HI,73
HIA,16
HJ,14
HJA,79
HK,52
HKA,19
HL,69
HLA,42
HM,94
HMA,1
HN,70
HNA,84
HO,93
HP,13
HQ,79
HR,34
HS,90
HT,33
HU,1
HV,14
HW,15
HX,34
HY,69
HZ,101
I,49
IA,8
IAA,73
IB,79
IBA,81
IC,91
ICA,7
ID,1
IDA,6
IE,15
IEA,9
IF,5
IFA,8
IG,85
IGA,16
IH,46
IHA,14
II,9
IIA,103
IJ,0
IJA,44
IK,3
IKA,8
IL,103
ILA,6
IM,90
IMA,7
IN,44
INA,1
IO,70
IP,70
IQ,9
IR,29
IS,93
IT,16
IU,0
IV,8
IW,11
IX,8
IY,70
IZ,15
J,99
JA,82
JAA,85
JB,43
JBA,43
JC,69
JCA,19
JD,47
JDA,43
JE,16
JEA,52
JF,43
JFA,23
JG,11
JGA,60
JH,6
JHA,17
JI,43
JIA,61
JJ,11
JJA,13
JK,58
JKA,75
JL,34
JLA,93
JM,55
JMA,25
JN,11
JNA,1
JO,6
JP,7
JQ,19
JR,39
JS,54
JT,96
JU,25
JV,42
JW,16
JX,42
JY,21
JZ,61
K,16
KA,14
KAA,65
KB,91
KBA,0
KC,103
KCA,11
KD,98
KDA,1
KE,16
KEA,8
KF,0
KFA,46
KG,14
KGA,15
KH,11
KHA,34
KI,16
KIA,103
KJ,3
KJA,7
KK,33
KKA,49
KL,7
KLA,53
KM,41
KMA,36
KN,79
KNA,42
KO,21
KP,34
KQ,32
KR,52
KS,5
KT,79
KU,43
KV,23
KW,47
KX,84
KY,7
KZ,96
L,100
LA,7
LAA,43
LB,19
LBA,36
LC,78
LCA,43
LD,24
LDA,0
LE,18
LEA,36
LF,7
LFA,34
LG,84
LGA,52
LH,78
LHA,79
LI,47
LIA,90
LJ,78
LJA,43
LK,11
LKA,51
LL,51
LLA,7
LM,90
LMA,4
LN,69
LNA,1
LO,8
LP,36
LQ,12
LR,11
LS,100
LT,30
LU,9
LV,28
LW,25
LX,11
LY,1
LZ,16
M,1
MA,24
MAA,20
MB,1
MBA,99
MC,9
MCA,7
MD,69
MDA,77
ME,69
MEA,5
MF,1
MFA,9
MG,76
MGA,18
MH,7
MHA,10
MI,43
MIA,9
MJ,0
MJA,97
MK,5
MKA,84
ML,101
MLA,7
MM,85
MMA,8
MN,101
MO,34
MP,12
MQ,102
MR,31
MS,47
MT,89
MU,24
MV,25
MW,78
MX,11
MY,3
MZ,10
N,11
NAA,1
NA_,56
NB,5
NBA,7
NC,37
NCA,70
ND,0
NDA,49
NE,7
NEA,54
NF,28
NFA,43
NG,3
NGA,54
NH,9
NHA,31
NI,69
NIA,9
NJ,47
NJA,0
NK,5
NKA,34
NL,3
NLA,7
NM,102
NMA,96
NN,27
NO,79
NP,39
NQ,7
NR,19
NS,3
NT,25
NU,5
NV,99
NW,80
NX,80
NY,43
NZ,84
O,91
OA,77
OAA,84
OB,14
OBA,45
OC,12
OCA,7
OD,41
ODA,36
OE,1
OEA,19
OF,1
OFA,22
OG,60
OGA,79
OH,16
OHA,103
OI,3
OIA,0
OJ,30
OJA,1
OK,21
OKA,11
OL,32
OLA,89
OM,70
OMA,101
ON,0
OO,49
OP,43
OQ,80
OR,12
OS,89
OT,16
OU,47
OV,52
OW,14
OX,69
OY,78
OZ,61
P,1
PA,3
PAA,8
PB,21
PBA,62
PC,7
PCA,13
PD,74
PDA,80
PE,43
PEA,34
PF,0
PFA,83
PG,9
PGA,71
PH,43
PHA,43
PI,99
PIA,51
PJ,38
PJA,43
PK,51
PKA,102
PL,3
PLA,51
PM,43
PMA,33
PN,76
PO,80
PP,7
PQ,65
PR,94
PS,34
PT,79
PU,28
PV,47
PW,81
PX,7
PY,43
PZ,86
Q,1
QA,67
QAA,19
QB,21
QBA,90
QC,14
QCA,0
QD,95
QDA,23
QE,12
QEA,37
QF,16
QFA,26
QG,9
QGA,22
QH,38
QHA,24
QI,60
QIA,16
QJ,33
QJA,74
QK,78
QKA,9
QL,3
QLA,22
QM,11
QMA,5
QN,0
QO,9
QP,25
QQ,49
QR,7
QS,11
QT,44
QU,70
QV,52
QW,47
QX,94
QY,96
QZ,31
R,7
RA,1
RAA,63
RB,15
RBA,80
RC,46
RCA,57
RD,37
RDA,43
RE,43
REA,3
RF,52
RFA,48
RG,54
RGA,24
RH,88
RHA,64
RI,16
RIA,79
RJ,22
RJA,8
RK,27
RKA,72
RL,15
RLA,78
RM,15
RN,36
RO,42
RP,51
RQ,43
RR,91
RS,34
RT,91
RU,78
RV,1
RW,0
RX,7
RY,101
RZ,25
S,10
SA,69
SAA,55
SB,46
SBA,49
SC,62
SCA,57
SD,24
SDA,24
SE,34
SEA,6
SF,6
SFA,16
SG,7
SGA,63
SH,82
SHA,42
SI,5
SIA,43
SJ,39
SJA,82
SK,28
SKA,1
SL,16
SLA,93
SM,30
SMA,14
SN,8
SO,39
SP,1
SQ,19
SR,103
SS,9
ST,10
SU,52
SV,48
SW,96
SX,5
SY,47
SZ,43
T,48
TA,20
TAA,14
TB,73
TBA,11
TC,12
TCA,51
TD,95
TDA,34
TE,7
TEA,79
TF,51
TFA,3
TG,49
TGA,0
TH,81
THA,11
TI,78
TIA,20
TJ,69
TJA,56
TK,7
TKA,99
TL,25
TLA,8
TM,37
TMA,34
TN,101
TO,58
TP,0
TQ,69
TR,26
TS,36
TT,7
TU,78
TV,39
TW,21
TX,69
TY,1
TZ,43
U,35
UA,34
UAA,7
UB,52
UBA,69
UC,101
UCA,7
UD,78
UDA,93
UE,5
UEA,1
UF,30
UFA,8
UG,8
UGA,20
UH,1
UHA,7
UI,24
UIA,103
UJ,39
UJA,43
UK,20
UKA,96
UL,22
ULA,0
UM,74
UMA,24
UN,7
UO,60
UP,31
UQ,32
UR,19
US,0
UT,11
UU,4
UV,69
UW,9
UX,43
UY,52
UZ,18
V,12
VA,79
VAA,12
VB,82
VBA,7
VC,103
VCA,69
VD,31
VDA,9
VE,83
VEA,43
VF,79
VFA,0
VG,20
VGA,8
VH,7
VHA,7
VI,70
VIA,90
VJ,79
VJA,1
VK,25
VKA,67
VL,33
VLA,43
VM,14
VMA,1
VN,101
VO,12
VP,75
VQ,67
VR,16
VS,0
VT,0
VU,24
VV,7
VW,47
VX,7
VY,25
VZ,76
W,99
WA,23
WAA,11
WB,7
WBA,87
WC,6
WCA,83
WD,1
WDA,90
WE,45
WEA,37
WF,70
WFA,9
WG,24
WGA,30
WH,7
WHA,11
WI,32
WIA,7
WJA,93
WK,31
WKA,63
WL,66
WLA,20
WM,21
WMA,7
WN,36
WO,39
WP,42
WQ,9
WR,36
WS,3
WT,21
WU,71
WV,24
WW,98
WX,8
WY,1
WZ,51
X,45
XA,1
XAA,79
XB,48
XBA,12
XC,43
XCA,78
XD,34
XDA,3
XE,43
XEA,11
XF,79
XFA,45
XG,43
XGA,69
XH,51
XHA,77
XI,30
XIA,7
XJ,100
XJA,51
XK,3
XKA,9
XL,9
XLA,8
XM,70
XMA,1
XN,16
XO,59
XP,2
XQ,47
XR,92
XS,51
XT,21
XU,43
XV,43
XW,14
XX,18
XY,9
XZ,63
Y,43
YA,3
YAA,11
YB,0
YBA,24
YC,61
YCA,44
YD,43
YDA,9
YE,79
YEA,34
YF,30
YFA,11
YG,56
YGA,47
YH,15
YHA,14
YI,24
YIA,28
YJ,64
YJA,11
YK,39
YKA,56
YL,39
YLA,54
YM,9
YMA,32
YN,0
YO,93
YP,28
YQ,11
YR,42
YS,12
YT,70
YU,1
YV,51
YW,20
YX,41
YY,96
YZ,46
Z,60
ZA,43
ZAA,25
ZB,21
ZBA,99
ZC,62
ZCA,62
ZD,15
ZDA,98
ZE,19
ZEA,98
ZF,49
ZFA,9
ZG,48
ZGA,93
ZH,81
ZHA,101
ZI,14
ZIA,43
ZJ,25
ZJA,93
ZK,11
